"Plot Title: 21223101"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 21223101, SEN S/N: 21223101)","Host Connected (LGR S/N: 21223101)","Coupler Attached (LGR S/N: 21223101)","Stopped (LGR S/N: 21223101)","End Of File (LGR S/N: 21223101)"
1,01/06/23 02:00:00 PM,10.063,,,,
2,01/06/23 03:00:00 PM,10.357,,,,
3,01/06/23 04:00:00 PM,10.357,,,,
4,01/06/23 05:00:00 PM,9.176,,,,
5,01/06/23 06:00:00 PM,8.978,,,,
6,01/06/23 07:00:00 PM,8.779,,,,
7,01/06/23 08:00:00 PM,7.882,,,,
8,01/06/23 09:00:00 PM,7.682,,,,
9,01/06/23 10:00:00 PM,7.582,,,,
10,01/06/23 11:00:00 PM,7.582,,,,
11,01/07/23 12:00:00 AM,7.280,,,,
12,01/07/23 01:00:00 AM,7.381,,,,
13,01/07/23 02:00:00 AM,7.481,,,,
14,01/07/23 03:00:00 AM,7.582,,,,
15,01/07/23 04:00:00 AM,7.481,,,,
16,01/07/23 05:00:00 AM,7.381,,,,
17,01/07/23 06:00:00 AM,7.582,,,,
18,01/07/23 07:00:00 AM,7.481,,,,
19,01/07/23 08:00:00 AM,7.481,,,,
20,01/07/23 09:00:00 AM,7.381,,,,
21,01/07/23 10:00:00 AM,7.682,,,,
22,01/07/23 11:00:00 AM,7.882,,,,
23,01/07/23 12:00:00 PM,7.983,,,,
24,01/07/23 01:00:00 PM,7.983,,,,
25,01/07/23 02:00:00 PM,8.082,,,,
26,01/07/23 03:00:00 PM,8.382,,,,
27,01/07/23 04:00:00 PM,8.282,,,,
28,01/07/23 05:00:00 PM,8.282,,,,
29,01/07/23 06:00:00 PM,8.382,,,,
30,01/07/23 07:00:00 PM,9.669,,,,
31,01/07/23 08:00:00 PM,8.182,,,,
32,01/07/23 09:00:00 PM,6.775,,,,
33,01/07/23 10:00:00 PM,5.962,,,,
34,01/07/23 11:00:00 PM,5.037,,,,
35,01/08/23 12:00:00 AM,5.450,,,,
36,01/08/23 01:00:00 AM,4.831,,,,
37,01/08/23 02:00:00 AM,4.831,,,,
38,01/08/23 03:00:00 AM,5.037,,,,
39,01/08/23 04:00:00 AM,5.037,,,,
40,01/08/23 05:00:00 AM,5.347,,,,
41,01/08/23 06:00:00 AM,5.141,,,,
42,01/08/23 07:00:00 AM,5.450,,,,
43,01/08/23 08:00:00 AM,5.962,,,,
44,01/08/23 09:00:00 AM,6.064,,,,
45,01/08/23 10:00:00 AM,6.674,,,,
46,01/08/23 11:00:00 AM,6.978,,,,
47,01/08/23 12:00:00 PM,7.582,,,,
48,01/08/23 01:00:00 PM,9.472,,,,
49,01/08/23 02:00:00 PM,10.063,,,,
50,01/08/23 03:00:00 PM,9.472,,,,
51,01/08/23 04:00:00 PM,8.382,,,,
52,01/08/23 05:00:00 PM,8.182,,,,
53,01/08/23 06:00:00 PM,7.582,,,,
54,01/08/23 07:00:00 PM,7.582,,,,
55,01/08/23 08:00:00 PM,7.682,,,,
56,01/08/23 09:00:00 PM,7.381,,,,
57,01/08/23 10:00:00 PM,5.757,,,,
58,01/08/23 11:00:00 PM,4.831,,,,
59,01/09/23 12:00:00 AM,5.347,,,,
60,01/09/23 01:00:00 AM,6.573,,,,
61,01/09/23 02:00:00 AM,5.860,,,,
62,01/09/23 03:00:00 AM,5.244,,,,
63,01/09/23 04:00:00 AM,5.757,,,,
64,01/09/23 05:00:00 AM,7.782,,,,
65,01/09/23 06:00:00 AM,7.582,,,,
66,01/09/23 07:00:00 AM,6.268,,,,
67,01/09/23 08:00:00 AM,5.141,,,,
68,01/09/23 09:00:00 AM,5.962,,,,
69,01/09/23 10:00:00 AM,6.674,,,,
70,01/09/23 11:00:00 AM,11.916,,,,
71,01/09/23 12:00:00 PM,13.365,,,,
72,01/09/23 01:00:00 PM,11.528,,,,
73,01/09/23 02:00:00 PM,10.161,,,,
74,01/09/23 03:00:00 PM,8.978,,,,
75,01/09/23 04:00:00 PM,8.779,,,,
76,01/09/23 05:00:00 PM,8.879,,,,
77,01/09/23 06:00:00 PM,8.481,,,,
78,01/09/23 07:00:00 PM,8.382,,,,
79,01/09/23 08:00:00 PM,7.682,,,,
80,01/09/23 09:00:00 PM,8.082,,,,
81,01/09/23 10:00:00 PM,7.582,,,,
82,01/09/23 11:00:00 PM,7.179,,,,
83,01/10/23 12:00:00 AM,6.978,,,,
84,01/10/23 01:00:00 AM,8.082,,,,
85,01/10/23 02:00:00 AM,7.882,,,,
86,01/10/23 03:00:00 AM,8.680,,,,
87,01/10/23 04:00:00 AM,7.582,,,,
88,01/10/23 05:00:00 AM,7.682,,,,
89,01/10/23 06:00:00 AM,7.481,,,,
90,01/10/23 07:00:00 AM,7.481,,,,
91,01/10/23 08:00:00 AM,6.573,,,,
