"Plot Title: 21223128"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 21223128, SEN S/N: 21223128)","Host Connected (LGR S/N: 21223128)","Coupler Attached (LGR S/N: 21223128)","Stopped (LGR S/N: 21223128)","End Of File (LGR S/N: 21223128)"
1,12/15/22 10:00:00 AM,-0.662,,,,
2,12/15/22 11:00:00 AM,1.980,,,,
3,12/15/22 12:00:00 PM,3.683,,,,
4,12/15/22 01:00:00 PM,5.552,,,,
5,12/15/22 02:00:00 PM,6.064,,,,
6,12/15/22 03:00:00 PM,5.655,,,,
7,12/15/22 04:00:00 PM,4.623,,,,
8,12/15/22 05:00:00 PM,1.221,,,,
9,12/15/22 06:00:00 PM,-0.213,,,,
10,12/15/22 07:00:00 PM,0.453,,,,
11,12/15/22 08:00:00 PM,0.563,,,,
12,12/15/22 09:00:00 PM,-1.228,,,,
13,12/15/22 10:00:00 PM,-2.145,,,,
14,12/15/22 11:00:00 PM,-2.377,,,,
15,12/16/22 12:00:00 AM,-2.844,,,,
16,12/16/22 01:00:00 AM,-3.434,,,,
17,12/16/22 02:00:00 AM,-3.553,,,,
18,12/16/22 03:00:00 AM,-3.553,,,,
19,12/16/22 04:00:00 AM,-3.553,,,,
20,12/16/22 05:00:00 AM,-3.434,,,,
21,12/16/22 06:00:00 AM,-2.494,,,,
22,12/16/22 07:00:00 AM,-3.197,,,,
23,12/16/22 08:00:00 AM,-3.553,,,,
24,12/16/22 09:00:00 AM,-1.799,,,,
25,12/16/22 10:00:00 AM,0.010,,,,
26,12/16/22 11:00:00 AM,2.195,,,,
27,12/16/22 12:00:00 PM,4.207,,,,
28,12/16/22 01:00:00 PM,6.370,,,,
29,12/16/22 02:00:00 PM,6.775,,,,
30,12/16/22 03:00:00 PM,6.573,,,,
31,12/16/22 04:00:00 PM,5.347,,,,
32,12/16/22 05:00:00 PM,0.674,,,,
33,12/16/22 06:00:00 PM,-0.549,,,,
34,12/16/22 07:00:00 PM,-1.114,,,,
35,12/16/22 08:00:00 PM,-1.570,,,,
36,12/16/22 09:00:00 PM,-1.341,,,,
37,12/16/22 10:00:00 PM,-1.570,,,,
38,12/16/22 11:00:00 PM,-1.684,,,,
39,12/17/22 12:00:00 AM,-2.727,,,,
40,12/17/22 01:00:00 AM,-2.145,,,,
41,12/17/22 02:00:00 AM,-1.001,,,,
42,12/17/22 03:00:00 AM,-0.437,,,,
43,12/17/22 04:00:00 AM,0.232,,,,
44,12/17/22 05:00:00 AM,0.453,,,,
45,12/17/22 06:00:00 AM,0.343,,,,
46,12/17/22 07:00:00 AM,0.121,,,,
47,12/17/22 08:00:00 AM,0.232,,,,
48,12/17/22 09:00:00 AM,0.121,,,,
49,12/17/22 10:00:00 AM,0.784,,,,
50,12/17/22 11:00:00 AM,1.003,,,,
51,12/17/22 12:00:00 PM,2.195,,,,
52,12/17/22 01:00:00 PM,2.943,,,,
53,12/17/22 02:00:00 PM,3.472,,,,
54,12/17/22 03:00:00 PM,3.683,,,,
55,12/17/22 04:00:00 PM,4.415,,,,
56,12/17/22 05:00:00 PM,4.102,,,,
57,12/17/22 06:00:00 PM,4.102,,,,
58,12/17/22 07:00:00 PM,3.998,,,,
