"Plot Title: 9768697"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9768697, SEN S/N: 9768697)","Intensity, Lux (LGR S/N: 9768697, SEN S/N: 9768697)","Bad Battery (LGR S/N: 9768697)","Good Battery (LGR S/N: 9768697)","Coupler Attached (LGR S/N: 9768697)","Host Connected (LGR S/N: 9768697)","Stopped (LGR S/N: 9768697)","End Of File (LGR S/N: 9768697)"
96,04/02/22 04:00:00 PM,15.760,2669.5,,,,,,
97,04/02/22 05:00:00 PM,16.618,4822.3,,,,,,
98,04/02/22 06:00:00 PM,15.187,1894.5,,,,,,
99,04/02/22 07:00:00 PM,12.401,667.4,,,,,,
100,04/02/22 08:00:00 PM,10.455,0.0,,,,,,
101,04/02/22 09:00:00 PM,9.571,0.0,,,,,,
102,04/02/22 10:00:00 PM,8.779,0.0,,,,,,
103,04/02/22 11:00:00 PM,8.382,0.0,,,,,,
104,04/03/22 12:00:00 AM,8.082,0.0,,,,,,
105,04/03/22 01:00:00 AM,7.782,0.0,,,,,,
106,04/03/22 02:00:00 AM,7.481,0.0,,,,,,
107,04/03/22 03:00:00 AM,7.280,0.0,,,,,,
108,04/03/22 04:00:00 AM,7.280,0.0,,,,,,
109,04/03/22 05:00:00 AM,6.978,0.0,,,,,,
110,04/03/22 06:00:00 AM,6.674,0.0,,,,,,
111,04/03/22 07:00:00 AM,6.471,10.8,,,,,,
112,04/03/22 08:00:00 AM,7.079,688.9,,,,,,
113,04/03/22 09:00:00 AM,8.382,1550.0,,,,,,
114,04/03/22 10:00:00 AM,11.236,2066.7,,,,,,
115,04/03/22 11:00:00 AM,12.110,1894.5,,,,,,
116,04/03/22 12:00:00 PM,13.365,2927.8,,,,,,
117,04/03/22 01:00:00 PM,13.654,2927.8,,,,,,
118,04/03/22 02:00:00 PM,13.654,2411.1,,,,,,
119,04/03/22 03:00:00 PM,12.883,1636.1,,,,,,
120,04/03/22 04:00:00 PM,12.690,1808.3,,,,,,
121,04/03/22 05:00:00 PM,12.690,2066.7,,,,,,
122,04/03/22 06:00:00 PM,11.528,688.9,,,,,,
123,04/03/22 07:00:00 PM,10.651,172.2,,,,,,
124,04/03/22 08:00:00 PM,9.669,0.0,,,,,,
125,04/03/22 09:00:00 PM,8.779,0.0,,,,,,
126,04/03/22 10:00:00 PM,8.282,0.0,,,,,,
127,04/03/22 11:00:00 PM,7.983,0.0,,,,,,
128,04/04/22 12:00:00 AM,7.782,0.0,,,,,,
129,04/04/22 01:00:00 AM,7.481,0.0,,,,,,
130,04/04/22 02:00:00 AM,7.582,0.0,,,,,,
131,04/04/22 03:00:00 AM,7.682,0.0,,,,,,
132,04/04/22 04:00:00 AM,7.882,0.0,,,,,,
133,04/04/22 05:00:00 AM,7.983,0.0,,,,,,
134,04/04/22 06:00:00 AM,7.782,0.0,,,,,,
135,04/04/22 07:00:00 AM,6.674,118.4,,,,,,
136,04/04/22 08:00:00 AM,7.179,236.8,,,,,,
137,04/04/22 09:00:00 AM,6.268,688.9,,,,,,
138,04/04/22 10:00:00 AM,9.077,2411.1,,,,,,
139,04/04/22 11:00:00 AM,5.757,2066.7,,,,,,
140,04/04/22 12:00:00 PM,7.079,2325.0,,,,,,
141,04/04/22 01:00:00 PM,8.779,3961.1,,,,,,
142,04/04/22 02:00:00 PM,10.063,4650.0,,,,,,
143,04/04/22 03:00:00 PM,9.373,2066.7,,,,,,
144,04/04/22 04:00:00 PM,11.625,4994.5,,,,,,
145,04/04/22 05:00:00 PM,3.893,107.6,,,,,,
146,04/04/22 06:00:00 PM,7.381,9644.5,,,,,,
147,04/04/22 07:00:00 PM,9.176,2927.8,,,,,,
148,04/04/22 08:00:00 PM,4.831,0.0,,,,,,
149,04/04/22 09:00:00 PM,4.311,0.0,,,,,,
150,04/04/22 10:00:00 PM,3.893,0.0,,,,,,
151,04/04/22 11:00:00 PM,3.683,0.0,,,,,,
152,04/05/22 12:00:00 AM,4.207,0.0,,,,,,
153,04/05/22 01:00:00 AM,3.683,0.0,,,,,,
154,04/05/22 02:00:00 AM,3.683,0.0,,,,,,
155,04/05/22 03:00:00 AM,3.893,0.0,,,,,,
156,04/05/22 04:00:00 AM,3.788,0.0,,,,,,
157,04/05/22 05:00:00 AM,3.788,0.0,,,,,,
158,04/05/22 06:00:00 AM,3.893,0.0,,,,,,
159,04/05/22 07:00:00 AM,3.998,53.8,,,,,,
160,04/05/22 08:00:00 AM,4.934,731.9,,,,,,
161,04/05/22 09:00:00 AM,6.573,947.2,,,,,,
162,04/05/22 10:00:00 AM,8.382,2583.4,,,,,,
163,04/05/22 11:00:00 AM,9.571,2411.1,,,,,,
164,04/05/22 12:00:00 PM,10.259,2066.7,,,,,,
165,04/05/22 01:00:00 PM,10.944,2583.4,,,,,,
166,04/05/22 02:00:00 PM,13.654,5166.7,,,,,,
167,04/05/22 03:00:00 PM,14.134,3788.9,,,,,,
168,04/05/22 04:00:00 PM,14.230,5166.7,,,,,,
169,04/05/22 05:00:00 PM,16.046,5166.7,,,,,,
170,04/05/22 06:00:00 PM,17.950,6200.0,,,,,,
171,04/05/22 07:00:00 PM,15.664,4477.8,,,,,,
172,04/05/22 08:00:00 PM,8.978,0.0,,,,,,
173,04/05/22 09:00:00 PM,7.782,0.0,,,,,,
174,04/05/22 10:00:00 PM,6.877,0.0,,,,,,
175,04/05/22 11:00:00 PM,5.757,0.0,,,,,,
176,04/06/22 12:00:00 AM,4.519,0.0,,,,,,
177,04/06/22 01:00:00 AM,3.472,0.0,,,,,,
178,04/06/22 02:00:00 AM,2.410,0.0,Logged,,,,,
179,04/06/22 03:00:00 AM,1.980,0.0,,,,,,
180,04/06/22 04:00:00 AM,1.330,0.0,,,,,,
181,04/06/22 05:00:00 AM,0.563,0.0,,,,,,
182,04/06/22 06:00:00 AM,0.010,0.0,,,,,,
183,04/06/22 07:00:00 AM,0.343,107.6,,,,,,
184,04/06/22 08:00:00 AM,3.367,645.8,,,,,,
185,04/06/22 09:00:00 AM,5.860,1011.8,,,,,,
186,04/06/22 10:00:00 AM,7.179,1334.7,,,,,,
187,04/06/22 11:00:00 AM,8.879,1377.8,,,,,,
188,04/06/22 12:00:00 PM,11.139,1636.1,,,,,,
189,04/06/22 01:00:00 PM,13.654,2755.6,,,,,,
190,04/06/22 02:00:00 PM,15.664,5166.7,,,,,,
191,04/06/22 03:00:00 PM,16.618,4477.8,,,,,,
192,04/06/22 04:00:00 PM,16.903,3616.7,,,,,,
193,04/06/22 05:00:00 PM,18.045,4133.4,,,,,,
194,04/06/22 06:00:00 PM,17.760,2927.8,,,,,,
195,04/06/22 07:00:00 PM,14.613,527.4,,,,,,
196,04/06/22 08:00:00 PM,12.980,0.0,,,,,,
197,04/06/22 09:00:00 PM,12.013,0.0,,,,,,
198,04/06/22 10:00:00 PM,12.110,0.0,,,,,,
199,04/06/22 11:00:00 PM,11.722,0.0,,,,,,
200,04/07/22 12:00:00 AM,10.748,0.0,,,,,,
201,04/07/22 01:00:00 AM,9.571,0.0,,,,,,
202,04/07/22 02:00:00 AM,9.373,0.0,,,,,,
203,04/07/22 03:00:00 AM,8.382,0.0,,,,,,
204,04/07/22 04:00:00 AM,7.782,0.0,,,,,,
205,04/07/22 05:00:00 AM,6.166,0.0,,,,,,
206,04/07/22 06:00:00 AM,5.655,0.0,,,,,,
207,04/07/22 07:00:00 AM,5.450,150.7,,,,,,
208,04/07/22 08:00:00 AM,6.877,710.4,,,,,,
209,04/07/22 09:00:00 AM,9.965,1313.2,,,,,,
210,04/07/22 10:00:00 AM,13.269,1550.0,,,,,,
211,04/07/22 11:00:00 AM,16.999,1808.3,,,,,,
212,04/07/22 12:00:00 PM,18.331,1808.3,,,,,,
213,04/07/22 01:00:00 PM,21.187,2325.0,,,,,,
214,04/07/22 02:00:00 PM,24.931,3616.7,,,,,,
215,04/07/22 03:00:00 PM,25.319,3272.2,,,,,,
216,04/07/22 04:00:00 PM,26.292,3616.7,,,,,,
217,04/07/22 05:00:00 PM,27.665,4650.0,,,,,,
218,04/07/22 06:00:00 PM,25.902,1722.2,,,,,,
219,04/07/22 07:00:00 PM,22.333,344.4,,,,,,
220,04/07/22 08:00:00 PM,20.710,0.0,,,,,,
221,04/07/22 09:00:00 PM,18.996,0.0,,,,,,
222,04/07/22 10:00:00 PM,17.379,0.0,,,,,,
223,04/07/22 11:00:00 PM,16.427,0.0,,,,,,
224,04/08/22 12:00:00 AM,14.230,0.0,,,,,,
225,04/08/22 01:00:00 AM,13.269,0.0,,,,,,
226,04/08/22 02:00:00 AM,12.304,0.0,,,,,,
227,04/08/22 03:00:00 AM,8.879,0.0,,,,,,
228,04/08/22 04:00:00 AM,7.983,0.0,,,,,,
229,04/08/22 05:00:00 AM,8.481,0.0,,,,,,
230,04/08/22 06:00:00 AM,8.382,0.0,,,,,,
231,04/08/22 07:00:00 AM,7.782,64.6,,,,,,
232,04/08/22 08:00:00 AM,8.481,1162.5,,,,,,
233,04/08/22 09:00:00 AM,8.779,1184.0,,,,,,
234,04/08/22 10:00:00 AM,7.782,667.4,,,,,,
235,04/08/22 11:00:00 AM,9.571,2927.8,,,,,,
236,04/08/22 12:00:00 PM,10.846,2411.1,,,,,,
237,04/08/22 01:00:00 PM,12.594,1550.0,,,,,,
238,04/08/22 02:00:00 PM,11.916,4477.8,,,,,,
239,04/08/22 03:00:00 PM,10.161,2583.4,,,,,,
240,04/08/22 04:00:00 PM,12.690,5166.7,,,,,,
241,04/08/22 05:00:00 PM,11.625,1636.1,,,,,,
242,04/08/22 06:00:00 PM,8.978,2325.0,,,,,,
243,04/08/22 07:00:00 PM,11.041,4822.3,,,,,,
244,04/08/22 08:00:00 PM,7.381,0.0,,,,,,
245,04/08/22 09:00:00 PM,6.471,0.0,,,,,,
246,04/08/22 10:00:00 PM,6.370,0.0,,,,,,
247,04/08/22 11:00:00 PM,5.860,0.0,,,,,,
248,04/09/22 12:00:00 AM,5.347,0.0,,,,,,
249,04/09/22 01:00:00 AM,4.934,0.0,,,,,,
250,04/09/22 02:00:00 AM,4.727,0.0,,,,,,
251,04/09/22 03:00:00 AM,4.415,0.0,,,,,,
252,04/09/22 04:00:00 AM,4.207,0.0,,,,,,
253,04/09/22 05:00:00 AM,3.893,0.0,,,,,,
254,04/09/22 06:00:00 AM,2.624,0.0,,,,,,
255,04/09/22 07:00:00 AM,2.624,139.9,,,,,,
256,04/09/22 08:00:00 AM,5.141,1001.0,,,,,,
257,04/09/22 09:00:00 AM,5.860,1291.7,,,,,,
258,04/09/22 10:00:00 AM,7.782,1808.3,,,,,,
259,04/09/22 11:00:00 AM,9.077,1636.1,,,,,,
260,04/09/22 12:00:00 PM,9.373,1894.5,,,,,,
261,04/09/22 01:00:00 PM,10.553,3272.2,,,,,,
262,04/09/22 02:00:00 PM,12.497,4822.3,,,,,,
263,04/09/22 03:00:00 PM,12.497,4650.0,,,,,,
264,04/09/22 04:00:00 PM,13.942,4133.4,,,,,,
265,04/09/22 05:00:00 PM,15.187,5166.7,,,,,,
266,04/09/22 06:00:00 PM,14.038,4477.8,,,,,,
267,04/09/22 07:00:00 PM,8.382,753.5,,,,,,
268,04/09/22 08:00:00 PM,6.877,0.0,,,,,,
269,04/09/22 09:00:00 PM,5.655,0.0,,,,,,
270,04/09/22 10:00:00 PM,3.788,0.0,,,,,,
271,04/09/22 11:00:00 PM,3.367,0.0,,,,,,
272,04/10/22 12:00:00 AM,3.367,0.0,,,,,,
273,04/10/22 01:00:00 AM,3.367,0.0,,,,,,
274,04/10/22 02:00:00 AM,3.578,0.0,,,,,,
275,04/10/22 03:00:00 AM,3.367,0.0,,,,,,
276,04/10/22 04:00:00 AM,3.472,0.0,,,,,,
277,04/10/22 05:00:00 AM,3.998,0.0,,,,,,
278,04/10/22 06:00:00 AM,4.207,0.0,,,,,,
279,04/10/22 07:00:00 AM,4.102,32.3,,,,,,
280,04/10/22 08:00:00 AM,4.102,473.6,,,,,,
281,04/10/22 09:00:00 AM,4.207,818.1,,,,,,
