"Plot Title: 21223109"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 21223109, SEN S/N: 21223109)","Coupler Detached (LGR S/N: 21223109)","Coupler Attached (LGR S/N: 21223109)","Host Connected (LGR S/N: 21223109)","Stopped (LGR S/N: 21223109)","End Of File (LGR S/N: 21223109)"
1,06/29/22 10:52:06 AM,15.855,,,,,
2,06/29/22 10:52:22 AM,,Logged,,,,
3,06/29/22 10:53:06 AM,16.046,,,,,
4,06/29/22 10:54:06 AM,15.951,,,,,
5,06/29/22 10:55:06 AM,15.951,,,,,
6,06/29/22 10:56:06 AM,15.855,,,,,
7,06/29/22 10:57:06 AM,15.855,,,,,
8,06/29/22 10:58:06 AM,15.855,,,,,
9,06/29/22 10:59:06 AM,15.760,,,,,
10,06/29/22 11:00:06 AM,15.760,,,,,
11,06/29/22 11:01:06 AM,15.664,,,,,
12,06/29/22 11:02:06 AM,15.760,,,,,
13,06/29/22 11:03:06 AM,15.760,,,,,
14,06/29/22 11:04:06 AM,15.760,,,,,
15,06/29/22 11:05:06 AM,15.760,,,,,
16,06/29/22 11:06:06 AM,15.760,,,,,
17,06/29/22 11:07:06 AM,15.760,,,,,
18,06/29/22 11:08:06 AM,15.760,,,,,
19,06/29/22 11:09:06 AM,15.760,,,,,
20,06/29/22 11:10:06 AM,15.760,,,,,
21,06/29/22 11:11:06 AM,15.855,,,,,
22,06/29/22 11:12:06 AM,15.855,,,,,
23,06/29/22 11:12:50 AM,,,Logged,,,
24,06/29/22 11:13:06 AM,15.855,,,,,
25,06/29/22 11:13:12 AM,,,,Logged,,
26,06/29/22 11:13:21 AM,,,,,Logged,Logged
