"Plot Title: 21162233"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 21162233, SEN S/N: 21162233)","Coupler Detached (LGR S/N: 21162233)","Coupler Attached (LGR S/N: 21162233)","Host Connected (LGR S/N: 21162233)","Stopped (LGR S/N: 21162233)","End Of File (LGR S/N: 21162233)"
1,06/29/22 10:53:40 AM,16.523,,,,,
2,06/29/22 10:53:45 AM,,Logged,,,,
3,06/29/22 10:54:40 AM,16.713,,,,,
4,06/29/22 10:55:40 AM,16.808,,,,,
5,06/29/22 10:56:40 AM,16.808,,,,,
6,06/29/22 10:57:40 AM,16.903,,,,,
7,06/29/22 10:58:40 AM,16.999,,,,,
8,06/29/22 10:59:40 AM,16.999,,,,,
9,06/29/22 11:00:40 AM,16.999,,,,,
10,06/29/22 11:01:40 AM,17.094,,,,,
11,06/29/22 11:02:40 AM,17.189,,,,,
12,06/29/22 11:03:40 AM,17.189,,,,,
13,06/29/22 11:04:40 AM,17.189,,,,,
14,06/29/22 11:05:40 AM,17.189,,,,,
15,06/29/22 11:06:40 AM,17.284,,,,,
16,06/29/22 11:07:40 AM,17.379,,,,,
17,06/29/22 11:08:40 AM,17.379,,,,,
18,06/29/22 11:09:40 AM,17.379,,,,,
19,06/29/22 11:09:49 AM,,,Logged,,,
20,06/29/22 11:09:57 AM,,,,Logged,,
21,06/29/22 11:10:40 AM,17.284,,,,,
22,06/29/22 11:10:44 AM,,,,,Logged,Logged
