Place Name,Longitude,Latitude,SensorIndex,Address,City,State,Zip,Comments,Data downloaded?
Baker Middle School,-122.4469426,47.1836638,173501,8001 S J St, Tacoma, WA 98408,,,yes
Carbonado Historical School 19,-122.05424,47.081331,171231,301 Oferrell Dr, Carbonado, WA 98323,,,no
Edison Elementary,-122.4742667,47.2036888,167029,5830 S Pine St, Tacoma, WA 98409,,"appears inactive (no status received on PurpleAir website since August 20, 2025",yes
Edison Elementary School,-122.4742667,47.2036888,136214,5830 S Pine St, Tacoma, WA 98409,,"appears inactive (no status received on PurpleAir website since June 25, 2023",no
Emerald Ridge High School,-122.2630571,47.0893161,167039,12405 184th Street E, Puyallup, WA 98374,,,no
Graham-Kapowsin High School,-122.2871437,47.0572832,167047,22100 108th Ave E, Graham, WA 98338,,,no
Lakewood Family YMCA,-122.5052203,47.1688993,171181,9715 Lakewood Dr SW, Lakewood, WA 98499,,,no
Manitou Park Elementary School,-122.4951023,47.1970288,167413,4330 S 66th St, Tacoma, WA 98409,,,yes
Mel Korum Family YMCA,-122.290041,47.149702,165429,302 43 Ave SE, Puyallup, WA 98374,,"no status received on PurpleAir since December 27, 2025",no
Pearl Street Family YMCA,-122.5167916,47.2520406,171177,1002 S Pearl St, Tacoma, WA 98465,,"no status received on PurpleAir since July 31, 2025",no
Peninsula School District 401,-122.618668,47.3848026,167051,14015 62nd Ave NW, Gig Harbor, WA 98332,,,no
Seabury School,-122.4230649,47.3050156,167409,1801 53rd St NE, Tacoma, WA 98422,,"Seabury Lower School, Seabury Middle School",yes
Spanaway Lake High School,-122.4130018,47.1055362,171221,1305 168th St E, Spanaway, WA 98387,,,no
Sparks Stadium,-122.3003422,47.1873578,167331,601 7th Ave SW, Puyallup, WA 98371,,"no status received on PurpleAir since December 15, 2025",no
Tacoma Center YMCA,-122.441583,47.251503,171217,1144 Market St, Tacoma, WA 98402,,,yes
Tom Taylor Family YMCA,-122.6008715,47.3536234,171237,10550 Harbor Hill Dr, Gig Harbor, WA 98332,,,no
YMCA Camp Seymour,-122.730278,47.3448944,137512,9725 Cramer Rd NW, Gig Harbor, WA 98329,,,no
