time_stamp,private,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,voc,voc_a,voc_b,analog_input,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,scattering_coefficient,scattering_coefficient_a,scattering_coefficient_b,deciviews,deciviews_a,deciviews_b,visual_range,visual_range_a,visual_range_b,0.3_um_count,0.3_um_count_a,0.3_um_count_b,0.5_um_count,0.5_um_count_a,0.5_um_count_b,1.0_um_count,1.0_um_count_a,1.0_um_count_b,2.5_um_count,2.5_um_count_a,2.5_um_count_b,5.0_um_count,5.0_um_count_a,5.0_um_count_b,10.0_um_count,10.0_um_count_a,10.0_um_count_b,pm1.0_cf_1,pm1.0_cf_1_a,pm1.0_cf_1_b,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b,latitude,longitude
2024-07-03T03:30:00Z,0,41,41,41,78,78,78,1011.17,1011.17,1011.17,50,,50,0,1.5,1.8,1.3,6.8,6.9,6.7,5.9,6,5.9,215.2,213.8,216.6,451.265,457.82,444.71,128.59,135.79,121.39,12.91,17.36,8.46,3.0600000000000000,3.59,2.53,1.95,2.09,1.81,0.9650000000000000,1.12,0.81,1.24,1.16,1.32,1.24,1.16,1.32,1.8650000000000000,2.12,1.61,1.8650000000000000,2.12,1.61,3.13,3.45,2.81,3.13,3.45,2.81,47.214961,-122.425289
2024-07-03T04:00:00Z,0,43.6,43.6,43.6,75.133,75.133,75.133,1011.241,1011.241,1011.241,50,,50,0.009,1.8,1.8,1.7,8,8,7.9,6.7,6.7,6.7,199.6,199,200.1,530.1415,533.039,527.244,149.10750000000000,148.641,149.574,12.933,13.775,12.091,2.2015000000000000,1.838,2.565,1.4205,1.151,1.69,0.505,0.382,0.628,1.9515,1.935,1.968,1.9515,1.935,1.968,2.5695000000000000,2.562,2.577,2.5695000000000000,2.562,2.577,3.523,3.305,3.741,3.523,3.305,3.741,47.214961,-122.425289
2024-07-03T04:30:00Z,0,48,48,48,71,71,71,1011.496,1011.496,1011.496,50.996,,50.996,0.01,1.7,1.8,1.7,7.6,7.8,7.4,6.5,6.6,6.4,204.3,201.9,206.7,505.21700000000000,517.589,492.845,142.52250000000000,143.833,141.212,13.008,13.291,12.725,2.27,2.064,2.476,1.4045,1.29,1.519,0.501,0.535,0.467,1.8765,1.868,1.885,1.8765,1.868,1.885,2.4785,2.468,2.489,2.4785,2.468,2.489,3.4445000000000000,3.344,3.545,3.4445000000000000,3.344,3.545,47.214961,-122.425289
2024-07-03T05:00:00Z,0,50.133,50.133,50.133,69.4,69.4,69.4,1011.591,1011.591,1011.591,53.67,,53.67,0.01,1.8,1.8,1.7,7.5,7.7,7.3,6.4,6.5,6.3,205.1,202.7,207.5,500.9185,513.151,488.686,140.805,142.123,139.487,14.015,14.397,13.633,2.216,1.837,2.595,1.484,1.198,1.77,0.6115000000000000,0.524,0.699,1.7945,1.781,1.808,1.7945,1.781,1.808,2.421,2.385,2.457,2.421,2.385,2.457,3.434,3.217,3.651,3.434,3.217,3.651,47.214961,-122.425289
2024-07-03T05:30:00Z,0,52,52,52,68.067,68.067,68.067,1011.665,1011.665,1011.665,57.016,,57.016,0.01,1.8,2,1.6,7.9,8.5,7.3,6.7,7,6.3,200.1,192.7,208,527.436,568.697,486.175,149.49350000000000,159.983,139.004,13.7505,15.271,12.23,2.3485,2.378,2.319,1.47,1.411,1.529,0.5185,0.672,0.365,2.0790000000000000,2.335,1.823,2.0790000000000000,2.335,1.823,2.7445,3.076,2.413,2.7445,3.076,2.413,3.7060000000000000,4.012,3.4,3.7060000000000000,4.012,3.4,47.214961,-122.425289
2024-07-03T06:00:00Z,0,53.867,53.867,53.867,66.667,66.667,66.667,1011.955,1011.955,1011.955,60.065,,60.065,0.01,1.9,2.1,1.7,8.2,8.7,7.7,6.9,7.2,6.6,196.2,190.3,202.4,548.8300000000000,582.779,514.881,155.964,164.799,147.129,14.4435,16.074,12.813,2.0905,1.944,2.237,1.35,1.237,1.463,0.4595,0.383,0.536,2.2280000000000000,2.445,2.011,2.2280000000000000,2.445,2.011,2.9140000000000000,3.159,2.669,2.9140000000000000,3.159,2.669,3.807,3.953,3.661,3.807,3.953,3.661,47.214961,-122.425289
2024-07-03T06:30:00Z,0,54.133,54.133,54.133,66.333,66.333,66.333,1012.193,1012.193,1012.193,62.863,,62.863,0.01,1.8,2,1.7,8.1,8.6,7.5,6.8,7.1,6.4,198.1,191.8,204.8,538.277,573.974,502.58,153.76350000000000,163.08,144.447,13.722000000000000,15.265,12.179,2.2075,2.055,2.36,1.446,1.371,1.521,0.538,0.529,0.547,2.1845,2.43,1.939,2.1845,2.43,1.939,2.791,3.07,2.512,2.791,3.07,2.512,3.8065000000000000,3.96,3.653,3.8065000000000000,3.96,3.653,47.214961,-122.425289
2024-07-03T07:00:00Z,0,55,55,55,65.8,65.8,65.8,1012.618,1012.618,1012.618,66.14,,66.14,0.01,2,2.1,1.8,8.4,9.1,7.8,7,7.4,6.6,193.7,186.7,201.4,562.817,605.174,520.46,160.176,169.992,150.36,15.190000000000000,16.843,13.537,2.1845,2.395,1.974,1.389,1.469,1.309,0.5045,0.594,0.415,2.3155,2.558,2.073,2.3155,2.558,2.073,3.0035,3.324,2.683,3.0035,3.324,2.683,3.968,4.307,3.629,3.968,4.307,3.629,47.214961,-122.425289
2024-07-03T07:30:00Z,0,54.867,54.867,54.867,66.067,66.067,66.067,1012.874,1012.874,1012.874,67.63,,67.63,0.01,2,2.2,1.8,8.7,9.3,8,7.1,7.5,6.7,191.4,184.3,199,576.7115,620.236,533.187,164.7585,175.159,154.358,15.485500000000000,17.222,13.749,2.55,2.291,2.809,1.652,1.519,1.785,0.6535,0.718,0.589,2.4075000000000000,2.653,2.162,2.4075000000000000,2.653,2.162,3.0775000000000000,3.391,2.764,3.0775000000000000,3.391,2.764,4.339,4.441,4.237,4.339,4.441,4.237,47.214961,-122.425289
2024-07-03T08:00:00Z,0,55,55,55,65.933,65.933,65.933,1013.146,1013.146,1013.146,68.392,,68.392,0.01,2,2.2,1.8,8.3,8.9,7.7,6.9,7.2,6.6,195.4,189.1,202.2,553.2545,590.389,516.12,157.9635,166.596,149.331,16.061,17.613,14.509,2.626,2.291,2.961,1.5115000000000000,1.23,1.793,0.4675,0.394,0.541,2.253,2.497,2.009,2.253,2.497,2.009,3.027,3.299,2.755,3.027,3.299,2.755,4.1175,4.114,4.121,4.1175,4.114,4.121,47.214961,-122.425289
