DateTime,Wind Speed,Gust,Direction
2024-08-01 00:15:00,0,,0
2024-08-01 01:15:00,0,,0
2024-08-01 02:15:00,0,,0
2024-08-01 03:15:00,0,,0
2024-08-01 04:15:00,0,,0
2024-08-01 05:15:00,0,,0
2024-08-01 06:15:00,0,,0
2024-08-01 07:15:00,0,,0
2024-08-01 08:15:00,0,,0
2024-08-01 09:15:00,0,,0
2024-08-01 10:15:00,0,,0
2024-08-01 11:15:00,0,,0
2024-08-01 12:15:00,0,,0
2024-08-01 13:15:00,0,,0
2024-08-01 14:15:00,3,12,0
2024-08-01 15:15:00,0,,0
2024-08-01 16:15:00,0,,0
2024-08-01 17:15:00,5,,0
2024-08-01 18:15:00,0,,0
2024-08-01 19:15:00,0,,0
2024-08-01 20:15:00,0,,0
2024-08-01 21:15:00,0,,0
2024-08-01 22:15:00,0,,0
2024-08-01 23:15:00,0,,0
2024-08-02 00:15:00,0,,0
2024-08-02 01:15:00,0,,0
2024-08-02 02:15:00,0,,0
2024-08-02 03:15:00,0,,0
2024-08-02 04:15:00,0,,0
2024-08-02 05:15:00,0,,0
2024-08-02 06:15:00,0,,0
2024-08-02 07:15:00,0,,0
2024-08-02 08:15:00,0,,0
2024-08-02 09:15:00,0,,0
2024-08-02 10:15:00,0,,0
2024-08-02 11:15:00,0,,0
2024-08-02 12:15:00,0,,0
2024-08-02 13:15:00,0,,0
2024-08-02 14:15:00,0,,0
2024-08-02 15:15:00,3,13,0
2024-08-02 16:15:00,0,,0
2024-08-02 17:15:00,0,,0
2024-08-02 18:15:00,0,,0
2024-08-02 19:15:00,0,,0
2024-08-02 20:15:00,0,,0
2024-08-02 21:15:00,0,,0
2024-08-02 22:15:00,0,,0
2024-08-02 23:15:00,0,,0
2024-08-03 00:15:00,0,,0
2024-08-03 01:15:00,0,,0
2024-08-03 02:15:00,0,,0
2024-08-03 03:15:00,0,,0
2024-08-03 04:15:00,0,,0
2024-08-03 05:15:00,0,,0
2024-08-03 06:15:00,0,,0
2024-08-03 07:15:00,0,,0
2024-08-03 08:15:00,0,,0
2024-08-03 09:15:00,0,,0
2024-08-03 10:15:00,0,,0
2024-08-03 11:15:00,0,,0
2024-08-03 12:15:00,0,,0
2024-08-03 13:15:00,0,,0
2024-08-03 14:15:00,0,,0
2024-08-03 15:15:00,0,,0
2024-08-03 16:15:00,0,,0
2024-08-03 17:15:00,0,,0
2024-08-03 18:15:00,0,,0
2024-08-03 19:15:00,0,,0
2024-08-03 20:15:00,0,,0
2024-08-03 21:15:00,0,,0
2024-08-03 22:15:00,0,,0
2024-08-03 23:15:00,0,,0
2024-08-04 00:15:00,0,,0
2024-08-04 01:15:00,0,,0
2024-08-04 02:15:00,0,,0
2024-08-04 03:15:00,0,,0
2024-08-04 04:15:00,0,,0
2024-08-04 05:15:00,0,,0
2024-08-04 06:15:00,0,,0
2024-08-04 07:15:00,0,,0
2024-08-04 08:15:00,0,,0
2024-08-04 09:15:00,0,,0
2024-08-04 10:15:00,0,,0
2024-08-04 11:15:00,0,,0
2024-08-04 13:15:00,0,,0
2024-08-04 14:15:00,0,,0
2024-08-04 15:15:00,0,,0
2024-08-04 16:15:00,0,,0
2024-08-04 17:15:00,0,,0
2024-08-04 18:15:00,0,,0
2024-08-04 19:15:00,0,,0
2024-08-04 20:15:00,0,,0
2024-08-04 21:15:00,0,,0
2024-08-04 22:15:00,0,,0
2024-08-04 23:15:00,0,,0
2024-08-05 00:15:00,0,,0
2024-08-05 01:15:00,0,,0
2024-08-05 02:15:00,0,,0
2024-08-05 03:15:00,0,,0
2024-08-05 04:15:00,0,,0
2024-08-05 05:15:00,0,,0
2024-08-05 06:15:00,0,,0
2024-08-05 07:15:00,0,,0
2024-08-05 08:15:00,0,,0
2024-08-05 09:15:00,0,,0
2024-08-05 10:15:00,0,,0
2024-08-05 11:15:00,0,,0
2024-08-05 12:15:00,0,,0
2024-08-05 13:15:00,3,,260
2024-08-05 14:15:00,0,,0
2024-08-05 15:15:00,0,,0
2024-08-05 16:15:00,0,,0
2024-08-05 17:15:00,6,,280
2024-08-05 18:15:00,6,,0
2024-08-05 19:15:00,0,,0
2024-08-05 20:15:00,0,,0
2024-08-05 21:15:00,0,,0
2024-08-05 22:15:00,0,,0
2024-08-05 23:15:00,0,,0
2024-08-06 00:15:00,0,,0
2024-08-06 01:15:00,0,,0
2024-08-06 02:15:00,0,,0
2024-08-06 03:15:00,0,,0
2024-08-06 04:15:00,0,,0
2024-08-06 05:15:00,0,,0
2024-08-06 06:15:00,0,,0
2024-08-06 07:15:00,0,,0
2024-08-06 08:15:00,0,,0
2024-08-06 09:15:00,0,,0
2024-08-06 10:15:00,0,,0
2024-08-06 11:15:00,0,,0
2024-08-06 12:15:00,6,,240
2024-08-06 13:15:00,0,,0
2024-08-06 14:15:00,0,,0
2024-08-06 15:15:00,6,,0
2024-08-06 16:15:00,5,,0
2024-08-06 17:15:00,0,,0
2024-08-06 18:15:00,6,12,270
2024-08-06 19:15:00,0,,0
2024-08-06 20:15:00,0,,0
2024-08-06 21:15:00,0,,0
2024-08-06 22:15:00,0,,0
2024-08-06 23:15:00,0,,0
2024-08-07 00:15:00,0,,0
2024-08-07 01:15:00,0,,0
2024-08-07 02:15:00,0,,0
2024-08-07 03:15:00,0,,0
2024-08-07 04:15:00,0,,0
2024-08-07 05:15:00,0,,0
2024-08-07 06:15:00,0,,0
2024-08-07 07:15:00,0,,0
2024-08-07 08:15:00,0,,0
2024-08-07 09:15:00,0,,0
2024-08-07 10:15:00,0,,0
2024-08-07 11:15:00,0,,0
2024-08-07 12:15:00,0,,0
2024-08-07 13:15:00,3,,0
2024-08-07 14:15:00,0,,0
2024-08-07 15:15:00,0,12,0
2024-08-07 16:15:00,0,12,0
2024-08-07 17:15:00,0,,0
2024-08-07 18:15:00,3,,0
2024-08-07 19:15:00,5,,0
2024-08-07 20:15:00,0,,0
2024-08-07 21:15:00,0,,0
2024-08-07 22:15:00,0,,0
2024-08-07 23:15:00,0,,0
2024-08-08 00:15:00,0,,0
2024-08-08 01:15:00,0,,0
2024-08-08 02:15:00,0,,0
2024-08-08 03:15:00,0,,0
2024-08-08 04:15:00,0,,0
2024-08-08 05:15:00,0,,0
2024-08-08 06:15:00,0,,0
2024-08-08 07:15:00,0,,0
2024-08-08 08:15:00,0,,0
2024-08-08 09:15:00,0,,0
2024-08-08 10:15:00,0,,0
2024-08-08 11:15:00,0,,0
2024-08-08 12:15:00,0,,0
2024-08-08 13:15:00,0,,0
2024-08-08 14:15:00,0,,0
2024-08-08 15:15:00,0,,0
2024-08-08 16:15:00,0,,0
2024-08-08 17:15:00,0,,0
2024-08-08 18:15:00,0,,0
2024-08-08 19:15:00,0,,0
2024-08-08 20:15:00,0,,0
2024-08-08 21:15:00,0,,0
2024-08-08 22:15:00,0,,0
2024-08-08 23:15:00,0,,0
2024-08-09 00:15:00,0,,0
2024-08-09 01:15:00,0,,0
2024-08-09 02:15:00,0,,0
2024-08-09 03:15:00,0,,0
2024-08-09 04:15:00,0,,0
2024-08-09 05:15:00,0,,0
2024-08-09 06:15:00,0,,0
2024-08-09 07:15:00,0,,0
2024-08-09 08:15:00,0,,0
2024-08-09 09:15:00,0,,0
2024-08-09 10:15:00,0,,0
2024-08-09 11:15:00,0,,0
2024-08-09 12:15:00,0,,0
2024-08-09 13:15:00,0,,0
2024-08-09 14:15:00,0,,0
2024-08-09 15:15:00,0,,0
2024-08-09 16:15:00,0,,0
2024-08-09 17:15:00,0,,0
2024-08-09 18:15:00,0,,0
2024-08-09 19:15:00,0,,0
2024-08-09 20:15:00,0,,0
2024-08-09 21:15:00,0,,0
2024-08-09 22:15:00,0,,0
2024-08-09 23:15:00,0,,0
2024-08-10 00:15:00,0,,0
2024-08-10 01:15:00,0,,0
2024-08-10 02:15:00,0,,0
2024-08-10 03:15:00,0,,0
2024-08-10 04:15:00,0,,0
2024-08-10 05:15:00,0,,0
2024-08-10 06:15:00,0,,0
2024-08-10 07:15:00,0,,0
2024-08-10 08:15:00,0,,0
2024-08-10 09:15:00,0,,0
2024-08-10 10:15:00,0,,0
2024-08-10 11:15:00,0,,0
2024-08-10 12:15:00,0,,0
2024-08-10 13:15:00,0,,0
2024-08-10 14:15:00,0,,0
2024-08-10 15:15:00,0,,0
2024-08-10 16:15:00,0,,0
2024-08-10 17:15:00,0,,0
2024-08-10 18:15:00,0,,0
2024-08-10 19:15:00,0,,0
2024-08-10 20:15:00,0,,0
2024-08-10 21:15:00,0,,0
2024-08-10 22:15:00,0,,0
2024-08-10 23:15:00,0,,0
2024-08-11 00:15:00,3,,250
2024-08-11 01:15:00,0,,0
2024-08-11 02:15:00,0,,0
2024-08-11 03:15:00,0,,0
2024-08-11 04:15:00,0,,0
2024-08-11 05:15:00,0,,0
2024-08-11 06:15:00,0,,0
2024-08-11 07:15:00,0,,0
2024-08-11 08:15:00,0,,0
2024-08-11 09:15:00,0,,0
2024-08-11 10:15:00,0,,0
2024-08-11 11:15:00,0,,0
2024-08-11 12:15:00,3,,230
2024-08-11 13:15:00,7,,0
2024-08-11 14:15:00,0,13,0
2024-08-11 15:15:00,3,,0
2024-08-11 16:15:00,5,,0
2024-08-11 17:15:00,0,,0
2024-08-11 18:15:00,0,,0
2024-08-11 19:15:00,0,,0
2024-08-11 20:15:00,0,,0
2024-08-11 21:15:00,0,,0
2024-08-11 22:15:00,0,,0
2024-08-11 23:15:00,0,,0
2024-08-12 00:15:00,0,,0
2024-08-12 01:15:00,0,,0
2024-08-12 02:15:00,0,,0
2024-08-12 03:15:00,0,,0
2024-08-12 04:15:00,0,,0
2024-08-12 05:15:00,0,,0
2024-08-12 06:15:00,0,,0
2024-08-12 07:15:00,0,,0
2024-08-12 08:15:00,0,,0
2024-08-12 09:15:00,0,,0
2024-08-12 10:15:00,8,,190
2024-08-12 11:15:00,6,,0
2024-08-12 12:15:00,6,,0
2024-08-12 13:15:00,0,,0
2024-08-12 14:15:00,6,15,0
2024-08-12 15:15:00,6,14,0
2024-08-12 16:15:00,3,12,0
2024-08-12 17:15:00,7,,250
2024-08-12 18:15:00,6,,0
2024-08-12 19:15:00,6,13,250
2024-08-12 20:15:00,0,,0
2024-08-12 21:15:00,0,,0
2024-08-12 22:15:00,0,,0
2024-08-12 23:15:00,0,,0
2024-08-13 00:55:00,0,,0
2024-08-13 01:55:00,0,,0
2024-08-13 02:55:00,0,,0
2024-08-13 03:55:00,0,,0
2024-08-13 04:55:00,0,,0
2024-08-13 05:55:00,0,,0
2024-08-13 06:55:00,0,,0
2024-08-13 07:55:00,0,,0
2024-08-13 08:55:00,5,,250
2024-08-13 09:55:00,0,,0
2024-08-13 10:55:00,0,,0
2024-08-13 11:55:00,0,,0
2024-08-13 12:55:00,0,,0
2024-08-13 13:55:00,0,,0
2024-08-13 14:55:00,0,,0
2024-08-13 15:55:00,0,,0
2024-08-13 16:55:00,0,,0
2024-08-13 17:55:00,0,,0
2024-08-13 18:55:00,0,,0
2024-08-13 19:55:00,0,,0
2024-08-13 20:55:00,0,,0
2024-08-13 21:55:00,0,,0
2024-08-13 22:55:00,0,,0
2024-08-13 23:55:00,0,,0
2024-08-14 00:55:00,0,,0
2024-08-14 01:55:00,0,,0
2024-08-14 02:55:00,0,,0
2024-08-14 03:55:00,0,,0
2024-08-14 04:55:00,0,,0
2024-08-14 05:55:00,0,,0
2024-08-14 06:55:00,0,,0
2024-08-14 07:55:00,0,,0
2024-08-14 08:55:00,0,,0
2024-08-14 09:55:00,0,,0
2024-08-14 10:55:00,0,,0
2024-08-14 11:55:00,0,,0
2024-08-14 12:55:00,0,,0
2024-08-14 13:55:00,0,,0
2024-08-14 14:55:00,0,,0
2024-08-14 15:55:00,0,,0
2024-08-14 16:55:00,0,,0
2024-08-14 17:55:00,0,,0
2024-08-14 18:55:00,0,,0
2024-08-14 19:55:00,0,,0
