"time_stamp","humidity","humidity_a","humidity_b","temperature","temperature_a","temperature_b","pressure","pressure_a","pressure_b","pm2.5_cf_1","pm2.5_cf_1_a","pm2.5_cf_1_b","sensor_index","pm2.5_correct"
"2024-07-03T00:00:00Z",29.9,29.9,NA,86.534,86.534,NA,1009.568,1009.568,NA,3.8325,2.79,4.875,101109,5.18075
"2024-07-03T01:00:00Z",31.467,31.467,NA,84.567,84.567,NA,1009.347,1009.347,NA,4.1715,3.097,5.246,101109,5.2248776
"2024-07-03T02:00:00Z",33.667,33.667,NA,81.967,81.967,NA,1009.326,1009.326,NA,3.274,2.185,4.363,101109,4.5671476
"2024-07-03T03:00:00Z",40.667,40.667,NA,75.233,75.233,NA,1009.568,1009.568,NA,3.0615,1.905,4.218,101109,3.8593976
"2024-07-03T04:00:00Z",47.534,47.534,NA,68.233,68.233,NA,1009.959,1009.959,NA,2.5605,1.542,3.579,101109,3.0118052
"2024-07-03T05:00:00Z",52.166,52.166,NA,64.6,64.6,NA,1010.25,1010.25,NA,2.911,1.848,3.974,101109,2.8008208
"2024-07-03T06:00:00Z",54.567,54.567,NA,63.367,63.367,NA,1010.783,1010.783,NA,3.46,2.431,4.489,101109,2.8839316
"2024-07-03T07:00:00Z",56.767,56.767,NA,61.4,61.4,NA,1011.222,1011.222,NA,2.8475,1.719,3.976,101109,2.3755416
"2024-07-03T08:00:00Z",58.633,58.633,NA,60.434,60.434,NA,1011.971,1011.971,NA,3.1085,1.994,4.223,101109,2.3533224
"2024-07-03T09:00:00Z",59,59,NA,60.034,60.034,NA,1012.065,1012.065,NA,3.079,1.953,4.205,101109,2.306596
"2024-07-03T10:00:00Z",59.367,59.367,NA,59.467,59.467,NA,1012.018,1012.018,NA,3.135,1.97,4.3,101109,2.3046716
"2024-07-03T11:00:00Z",59.966,59.966,NA,58.767,58.767,NA,1012.009,1012.009,NA,3.371,2.139,4.603,101109,2.3773008
"2024-07-03T12:00:00Z",61,61,NA,57.767,57.767,NA,1012.514,1012.514,NA,4.513,3.429,5.597,101109,2.887612
"2024-07-03T13:00:00Z",58.266,58.266,NA,61.334,61.334,NA,1012.661,1012.661,NA,3.769,2.682,4.856,101109,2.7306928
"2024-07-03T14:00:00Z",57.467,57.467,NA,62,62,NA,1012.755,1012.755,NA,3.44,2.489,4.391,101109,2.6263716
"2024-07-03T15:00:00Z",55.8,55.8,NA,63.733,63.733,NA,1013.011,1013.011,NA,3.645,2.585,4.705,101109,2.87582
"2024-07-03T16:00:00Z",51.8,51.8,NA,66.466,66.466,NA,1013.151,1013.151,NA,4.2515,3.348,5.155,101109,3.534426
"2024-07-03T17:00:00Z",48.434,48.434,NA,69.334,69.334,NA,1013.186,1013.186,NA,4.729,3.846,5.612,101109,4.0714192
"2024-07-03T18:00:00Z",43.367,43.367,NA,73.8,73.8,NA,1012.866,1012.866,NA,5.3725,4.458,6.287,101109,4.8403216
"2024-07-03T19:00:00Z",38.833,38.833,NA,77.8,77.8,NA,1012.601,1012.601,NA,5.8355,4.942,6.729,101109,5.4692304
"2024-07-03T20:00:00Z",34.5,34.5,NA,82.2,82.2,NA,1011.965,1011.965,NA,5.9955,4.893,7.098,101109,5.922242
"2024-07-03T21:00:00Z",29.85,29.85,NA,87.684,87.684,NA,1011.513,1011.513,NA,5.789,4.721,6.857,101109,6.210216
"2024-07-03T22:00:00Z",26.867,26.867,NA,91.133,91.133,NA,1011.243,1011.243,NA,5.6275,4.699,6.556,101109,6.3797416
"2024-07-03T23:00:00Z",24.233,24.233,NA,93.8,93.8,NA,1010.864,1010.864,NA,4.665,3.689,5.641,101109,6.0998084
"2024-07-03T00:00:00Z",31.834,31.834,NA,83.767,83.767,NA,1010.691,1010.691,NA,0.0845,0.033,0.136,136172,3.0520212
"2024-07-03T01:00:00Z",33.6,33.6,NA,81.333,81.333,NA,1010.482,1010.482,NA,0.105,0.097,0.113,136172,2.9123
"2024-07-03T02:00:00Z",37.566,37.566,NA,78.166,78.166,NA,1010.477,1010.477,NA,0.1185,0.116,0.121,136172,2.5814708
"2024-07-03T03:00:00Z",40.367,40.367,NA,74.933,74.933,NA,1010.669,1010.669,NA,0.1635,0.204,0.123,136172,2.3664056
"2024-07-03T04:00:00Z",43.733,43.733,NA,71.367,71.367,NA,1010.936,1010.936,NA,0.9,0.935,0.865,136172,2.4655484
"2024-07-03T05:00:00Z",47.567,47.567,NA,67.767,67.767,NA,1011.246,1011.246,NA,0.031,0.021,0.041,136172,1.6835356
"2024-07-03T06:00:00Z",50.1,50.1,NA,65.767,65.767,NA,1011.666,1011.666,NA,0.0375,0.019,0.056,136172,1.47113
"2024-07-03T07:00:00Z",51.934,51.934,NA,64.467,64.467,NA,1012.285,1012.285,NA,0.0415,0.034,0.049,136172,1.3169692
"2024-07-03T08:00:00Z",52.8,52.8,NA,64.334,64.334,NA,1012.822,1012.822,NA,0.1575,0.096,0.219,136172,1.30397
"2024-07-03T09:00:00Z",52.034,52.034,NA,65,65,NA,1012.904,1012.904,NA,0.2515,0.245,0.258,136172,1.4184892
"2024-07-03T10:00:00Z",52.633,52.633,NA,64.233,64.233,NA,1012.974,1012.974,NA,0.0885,0.072,0.105,136172,1.2820424
"2024-07-03T11:00:00Z",53.2,53.2,NA,63.834,63.834,NA,1012.972,1012.972,NA,0.2585,0.215,0.302,136172,1.322814
"2024-07-03T12:00:00Z",54.5,54.5,NA,62.767,62.767,NA,1013.354,1013.354,NA,0.95,0.867,1.033,136172,1.5744
"2024-07-03T13:00:00Z",53.8,53.8,NA,63.8,63.8,NA,1013.576,1013.576,NA,0.4835,0.387,0.58,136172,1.389594
"2024-07-03T14:00:00Z",52.167,52.167,NA,65.367,65.367,NA,1013.766,1013.766,NA,0.2545,0.307,0.202,136172,1.4087296
"2024-07-03T15:00:00Z",50.933,50.933,NA,66.2,66.2,NA,1013.936,1013.936,NA,0.3325,0.303,0.362,136172,1.5547384
"2024-07-03T16:00:00Z",48.867,48.867,NA,68.4,68.4,NA,1013.99,1013.99,NA,0.7145,0.776,0.653,136172,1.9309296
"2024-07-03T17:00:00Z",46.267,46.267,NA,70.434,70.434,NA,1014.154,1014.154,NA,1.169,1.155,1.183,136172,2.3906076
"2024-07-03T18:00:00Z",43.267,43.267,NA,73.433,73.433,NA,1013.926,1013.926,NA,1.668,1.672,1.664,136172,2.9076836
"2024-07-03T19:00:00Z",40.067,40.067,NA,76.733,76.733,NA,1013.544,1013.544,NA,2.2635,2.341,2.186,136172,3.4923656
"2024-07-03T20:00:00Z",36.066,36.066,NA,81.2,81.2,NA,1013.116,1013.116,NA,3.0845,2.997,3.172,136172,4.2634548
"2024-07-03T21:00:00Z",29.5,29.5,NA,89.733,89.733,NA,1012.663,1012.663,NA,1.5745,1.615,1.534,136172,4.031638
"2024-07-03T22:00:00Z",26.566,26.566,NA,90.733,90.733,NA,1012.427,1012.427,NA,0.8045,0.824,0.785,136172,3.8781348
"2024-07-03T23:00:00Z",24.333,24.333,NA,91.567,91.567,NA,1012.043,1012.043,NA,0.2045,0.19,0.219,136172,3.7539864
"2024-07-03T00:00:00Z",40.1,40.1,NA,87.1,87.1,NA,1023.034,1023.034,NA,3.61,3.809,3.411,15203,4.19512
"2024-07-03T01:00:00Z",42.733,42.733,NA,83.567,83.567,NA,1022.814,1022.814,NA,3.283,3.495,3.071,15203,3.7994404
"2024-07-03T02:00:00Z",48.367,48.367,NA,79.567,79.567,NA,1022.728,1022.728,NA,3.344,3.486,3.202,15203,3.3513876
"2024-07-03T03:00:00Z",52.133,52.133,NA,77.434,77.434,NA,1022.822,1022.822,NA,2.9375,2.944,2.931,15203,2.8175184
"2024-07-03T04:00:00Z",55.159,55.159,NA,74.566,74.566,NA,1023.129,1023.129,NA,2.6225,2.614,2.631,15203,2.3946432
"2024-07-03T05:00:00Z",61,61,NA,70.633,70.633,NA,1023.609,1023.609,NA,2.1045,1.929,2.28,15203,1.625558
"2024-07-03T06:00:00Z",68.367,68.367,NA,68,68,NA,1024.187,1024.187,NA,1.964,1.736,2.192,15203,0.924267599999999
"2024-07-03T07:00:00Z",76.767,76.767,NA,65.867,65.867,NA,1024.923,1024.923,NA,2.0715,1.819,2.324,15203,0.2649176
