time_stamp,private,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,voc,voc_a,voc_b,analog_input,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,scattering_coefficient,scattering_coefficient_a,scattering_coefficient_b,deciviews,deciviews_a,deciviews_b,visual_range,visual_range_a,visual_range_b,0.3_um_count,0.3_um_count_a,0.3_um_count_b,0.5_um_count,0.5_um_count_a,0.5_um_count_b,1.0_um_count,1.0_um_count_a,1.0_um_count_b,2.5_um_count,2.5_um_count_a,2.5_um_count_b,5.0_um_count,5.0_um_count_a,5.0_um_count_b,10.0_um_count,10.0_um_count_a,10.0_um_count_b,pm1.0_cf_1,pm1.0_cf_1_a,pm1.0_cf_1_b,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b,latitude,longitude,day
2024-07-03T00:00:00Z,0,36.133,36.133,36.133,84.333,84.333,84.333,1012.07,1012.07,1012.07,86.417,,86.417,0.01,2.4,2.5,2.3,9.6,9.5,9.7,7.7,7.6,7.7,181.2,181.8,180.5,640.4930000000000,635.935,645.051,181.2595,182.41,180.109,18.54,20.021,17.059,1.178,1.361,0.995,0.554,0.569,0.539,0.273,0.187,0.359,2.7165,2.727,2.706,2.7165,2.727,2.706,3.4035,3.442,3.365,3.4035,3.442,3.365,3.817,3.868,3.766,3.817,3.868,3.766,47.268584,-122.480575,July 3rd
2024-07-03T00:30:00Z,0,35.333,35.333,35.333,84.267,84.267,84.267,1011.953,1011.953,1011.953,85.763,,85.763,0.01,2.3,2.4,2.2,9.2,9.4,9.1,7.5,7.6,7.4,184.9,183.2,186.6,616.1315,626.812,605.451,174.45350000000000,177,171.907,16.853,18.153,15.553,0.8805000000000000,0.906,0.855,0.4405,0.53,0.351,0.16650000000000000,0.152,0.181,2.615,2.636,2.594,2.615,2.636,2.594,3.202,3.243,3.161,3.202,3.243,3.161,3.5265,3.598,3.455,3.5265,3.598,3.455,47.268584,-122.480575,July 3rd
2024-07-03T01:00:00Z,0,36.933,36.933,36.933,82.8,82.8,82.8,1011.804,1011.804,1011.804,84.349,,84.349,0.01,2.1,2.2,2,8.4,8.5,8.4,7,7,7,193.8,193.5,194,562.5355,563.914,561.157,159.54500000000000,160.699,158.391,15.6355,17.164,14.107,1.017,1.041,0.993,0.502,0.581,0.423,0.16800000000000000,0.131,0.205,2.313,2.317,2.309,2.313,2.317,2.309,2.9135,2.956,2.871,2.9135,2.956,2.871,3.2640000000000000,3.318,3.21,3.2640000000000000,3.318,3.21,47.268584,-122.480575,July 3rd
2024-07-03T01:30:00Z,0,39,39,39,80.8,80.8,80.8,1011.764,1011.764,1011.764,88.713,,88.713,0.01,2.2,2.3,2.1,8.9,9.1,8.7,7.3,7.4,7.2,188.8,186.9,190.7,592.113,603.679,580.547,167.9665,172.037,163.896,17.387,18.815,15.959,1.0980000000000000,1.037,1.159,0.581,0.519,0.643,0.2535,0.167,0.34,2.4745,2.567,2.382,2.4745,2.567,2.382,3.1710000000000000,3.309,3.033,3.1710000000000000,3.309,3.033,3.576,3.669,3.483,3.576,3.669,3.483,47.268584,-122.480575,July 3rd
2024-07-03T02:00:00Z,0,39.133,39.133,39.133,80.733,80.733,80.733,1011.735,1011.735,1011.735,84.034,,84.034,0.01,2,2.2,1.9,8.1,8.3,7.8,6.8,6.9,6.6,197.9,194.8,201.1,539.284,556.605,521.963,153.05450000000000,158.31,147.799,16.21,18.199,14.221,1.2270000000000000,1.134,1.32,0.51,0.556,0.464,0.1735,0.12,0.227,2.1475,2.279,2.016,2.1475,2.279,2.016,2.824,3.042,2.606,2.824,3.042,2.606,3.153,3.371,2.935,3.153,3.371,2.935,47.268584,-122.480575,July 3rd
2024-07-03T02:30:00Z,0,39.667,39.667,39.667,79.933,79.933,79.933,1011.746,1011.746,1011.746,84.103,,84.103,0.01,2.1,2.2,1.9,7.9,8.2,7.6,6.7,6.8,6.5,200.3,197.2,203.6,525.895,543.406,508.384,149.925,155.752,144.098,17.2825,18.979,15.586,1.531,1.503,1.559,0.7515000000000000,0.715,0.788,0.293,0.103,0.483,2.073,2.225,1.921,2.073,2.225,1.921,2.81,3.037,2.583,2.81,3.037,2.583,3.331,3.48,3.182,3.331,3.48,3.182,47.268584,-122.480575,July 3rd
2024-07-03T03:00:00Z,0,40.667,40.667,40.667,78.467,78.467,78.467,1011.779,1011.779,1011.779,85.853,,85.853,0.01,1.8,1.9,1.8,7,7.1,7,6.1,6.2,6.1,211.4,210.5,212.4,469.244,473.943,464.545,134.1055,136.222,131.989,15.7125,16.224,15.201,1.7715,1.649,1.894,1.008,0.867,1.149,0.442,0.243,0.641,1.766,1.791,1.741,1.766,1.791,1.741,2.4415,2.492,2.391,2.4415,2.492,2.391,3.1385,3.081,3.196,3.1385,3.081,3.196,47.268584,-122.480575,July 3rd
2024-07-03T03:30:00Z,0,42.4,42.4,42.4,76.733,76.733,76.733,1011.871,1011.871,1011.871,86.854,,86.854,0.01,1.8,1.9,1.7,7.1,7.3,6.9,6.2,6.3,6,210.4,207.4,213.4,474.2205,488.911,459.53,135.913,140.267,131.559,15.647,16.887,14.407,2.17,1.887,2.453,1.229,1.055,1.403,0.6560000000000000,0.475,0.837,1.7455000000000000,1.878,1.613,1.7455000000000000,1.878,1.613,2.4245,2.624,2.225,2.4245,2.624,2.225,3.2885,3.322,3.255,3.2885,3.322,3.255,47.268584,-122.480575,July 3rd
2024-07-03T04:00:00Z,0,43.533,43.533,43.533,75.267,75.267,75.267,1011.983,1011.983,1011.983,87.65,,87.65,0.01,1.7,1.9,1.6,7,7.2,6.7,6.1,6.2,5.9,212.6,209.2,216.3,463.3375,480.343,446.332,132.678,138.331,127.025,14.6015,15.883,13.32,2.2275,2.005,2.45,1.281,1.14,1.422,0.6540000000000000,0.357,0.951,1.7000000000000000,1.802,1.598,1.7000000000000000,1.802,1.598,2.3675000000000000,2.492,2.243,2.3675000000000000,2.492,2.243,3.266,3.241,3.291,3.266,3.241,3.291,47.268584,-122.480575,July 3rd
2024-07-03T04:30:00Z,0,45.2,45.2,45.2,74,74,74,1012.152,1012.152,1012.152,87.769,,87.769,0.01,1.7,1.8,1.6,6.8,7.1,6.5,6,6.1,5.8,214.8,210.9,218.9,452.947,471.689,434.205,130.167,137.981,122.353,14.343500000000000,15.789,12.898,1.9955000000000000,2.045,1.946,1.25,1.257,1.243,0.581,0.307,0.855,1.611,1.821,1.401,1.611,1.821,1.401,2.223,2.453,1.993,2.223,2.453,1.993,3.0775,3.277,2.878,3.0775,3.277,2.878,47.268584,-122.480575,July 3rd
