"time_stamp","humidity","humidity_a","humidity_b","temperature","temperature_a","temperature_b","pressure","pressure_a","pressure_b","pm2.5_cf_1","pm2.5_cf_1_a","pm2.5_cf_1_b","sensor_index","pm2.5_correct"
"2024-07-04T00:00:00Z",20.667,20.667,NA,95.6,95.6,NA,1010.609,1010.609,NA,3.228,2.223,4.233,101109,5.6506436
"2024-07-04T01:00:00Z",20,20,NA,95.967,95.967,NA,1010.166,1010.166,NA,3.128,1.95,4.306,101109,5.655072
"2024-07-04T02:00:00Z",22.9,22.9,NA,95.2,95.2,NA,1009.931,1009.931,NA,4.17,3.255,5.085,101109,5.954
"2024-07-04T03:00:00Z",27.1,27.1,NA,89.667,89.667,NA,1009.803,1009.803,NA,5.351,4.435,6.267,101109,6.215004
"2024-07-04T04:00:00Z",34.3,34.3,NA,80.833,80.833,NA,1010.14,1010.14,NA,10.8325,10.285,11.38,101109,8.47387
"2024-07-04T05:00:00Z",42.666,42.666,NA,74.267,74.267,NA,1010.392,1010.392,NA,15.1415,14.843,15.44,101109,10.0190028
"2024-07-04T06:00:00Z",47.767,47.767,NA,70.767,70.767,NA,1010.534,1010.534,NA,12.0525,11.735,12.37,101109,7.9657616
"2024-07-04T07:00:00Z",51,51,NA,68,68,NA,1010.811,1010.811,NA,10.6295,10.214,11.045,101109,6.944658
"2024-07-04T08:00:00Z",52.733,52.733,NA,66.2,66.2,NA,1011.04,1011.04,NA,16.4365,16.093,16.78,101109,9.8398744
"2024-07-04T09:00:00Z",55.166,55.166,NA,63.966,63.966,NA,1011.112,1011.112,NA,16.4035,16.233,16.574,101109,9.6152908
"2024-07-04T10:00:00Z",57.833,57.833,NA,62.034,62.034,NA,1011.279,1011.279,NA,14.7565,14.422,15.091,101109,8.5250344
"2024-07-04T11:00:00Z",59.966,59.966,NA,60.267,60.267,NA,1011.181,1011.181,NA,15.7285,15.244,16.213,101109,8.8526308
"2024-07-04T12:00:00Z",61.233,61.233,NA,59.334,59.334,NA,1011.588,1011.588,NA,19.852,19.37,20.334,101109,10.9053964
"2024-07-04T13:00:00Z",60.733,60.733,NA,61.066,61.066,NA,1011.87,1011.87,NA,17.0635,16.735,17.392,101109,9.4868224
"2024-07-04T14:00:00Z",55.567,55.567,NA,66.4,66.4,NA,1011.818,1011.818,NA,17.3235,17.047,17.6,101109,10.0632056
"2024-07-04T15:00:00Z",48.733,48.733,NA,71.8,71.8,NA,1011.779,1011.779,NA,7.2555,6.493,8.018,101109,5.3698304
"2024-07-04T16:00:00Z",42.4,42.4,NA,76.133,76.133,NA,1011.602,1011.602,NA,6.299,5.447,7.151,101109,5.408196
"2024-07-04T17:00:00Z",38.067,38.067,NA,80.166,80.166,NA,1011.391,1011.391,NA,5.7725,4.756,6.789,101109,5.5014816
"2024-07-04T18:00:00Z",33.2,33.2,NA,83.567,83.567,NA,1011.102,1011.102,NA,5.1195,4.131,6.108,101109,5.573978
"2024-07-04T19:00:00Z",29.566,29.566,NA,87,87,NA,1010.787,1010.787,NA,4.691,3.661,5.721,101109,5.6590608
"2024-07-04T20:00:00Z",27.433,27.433,NA,90.1,90.1,NA,1010.457,1010.457,NA,4.723,3.708,5.738,101109,5.8575604
"2024-07-04T21:00:00Z",24.267,24.267,NA,93.467,93.467,NA,1010.023,1010.023,NA,5.371,4.514,6.228,101109,6.4668556
