time_stamp,private,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,voc,voc_a,voc_b,analog_input,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,scattering_coefficient,scattering_coefficient_a,scattering_coefficient_b,deciviews,deciviews_a,deciviews_b,visual_range,visual_range_a,visual_range_b,0.3_um_count,0.3_um_count_a,0.3_um_count_b,0.5_um_count,0.5_um_count_a,0.5_um_count_b,1.0_um_count,1.0_um_count_a,1.0_um_count_b,2.5_um_count,2.5_um_count_a,2.5_um_count_b,5.0_um_count,5.0_um_count_a,5.0_um_count_b,10.0_um_count,10.0_um_count_a,10.0_um_count_b,pm1.0_cf_1,pm1.0_cf_1_a,pm1.0_cf_1_b,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b,latitude,longitude
2024-07-03T00:00:00Z,0,34.8,34.8,34.8,83.933,83.933,83.933,1009.665,1009.665,1009.665,95.025,,95.025,0.02,2.5,2.5,2.5,10.8,11,10.6,8.3,8.4,8.2,169.7,167.8,171.7,721.2115,735.807,706.616,206.733,208.354,205.112,17.174,17.221,17.127,1.376,1.377,1.375,0.9805000000000000,0.908,1.053,0.47050000000000000,0.54,0.401,3.2245,3.314,3.135,3.2245,3.314,3.135,3.9065000000000000,3.967,3.846,3.9065000000000000,3.967,3.846,4.5810000000000000,4.641,4.521,4.5810000000000000,4.641,4.521,47.173307,-122.437636
2024-07-03T00:30:00Z,0,34.467,34.467,34.467,84.667,84.667,84.667,1009.51,1009.51,1009.51,92.983,,92.983,0.02,2.3,2.3,2.3,9.8,10,9.6,7.8,7.9,7.7,178.8,176.8,180.9,656.0175000000000,669.778,642.257,188.32300000000000,190.231,186.415,15.482,15.589,15.375,1.0875,1.04,1.135,0.641,0.591,0.691,0.373,0.373,0.373,2.74,2.761,2.719,2.74,2.761,2.719,3.359,3.391,3.327,3.359,3.391,3.327,3.833,3.835,3.831,3.833,3.835,3.831,47.173307,-122.437636
2024-07-03T01:00:00Z,0,33.867,33.867,33.867,84.867,84.867,84.867,1009.425,1009.425,1009.425,90.697,,90.697,0.02,2,2.1,2,8.7,8.9,8.6,7.2,7.2,7.1,190.4,189.1,191.8,582.441,590.515,574.367,167.05850000000000,168.391,165.726,13.487,14.183,12.791,1.035,1.009,1.061,0.6125,0.597,0.628,0.3225,0.259,0.386,2.246,2.231,2.261,2.246,2.231,2.261,2.8155,2.786,2.845,2.8155,2.786,2.845,3.2505,3.208,3.293,3.2505,3.208,3.293,47.173307,-122.437636
2024-07-03T01:30:00Z,0,33.733,33.733,33.733,84.933,84.933,84.933,1009.317,1009.317,1009.317,90.873,,90.873,0.02,2,2,2,8.6,8.6,8.6,7.1,7.1,7.1,191.9,191.7,192.1,573.523,574.797,572.249,165.462,163.873,167.051,13.89,13.297,14.483,0.9925,0.877,1.108,0.5885,0.579,0.598,0.354,0.329,0.379,2.349,2.372,2.326,2.349,2.372,2.326,2.956,2.906,3.006,2.956,2.906,3.006,3.364,3.307,3.421,3.364,3.307,3.421,47.173307,-122.437636
2024-07-03T02:00:00Z,0,34.267,34.267,34.267,84,84,84,1009.325,1009.325,1009.325,91.333,,91.333,0.02,2.1,2.2,2,8.8,9,8.7,7.2,7.3,7.1,189.3,187.6,191.1,588.9795,599.638,578.321,169.7585,171.506,168.011,15.124,15.928,14.32,1.278,1.422,1.134,0.7785,0.84,0.717,0.409,0.407,0.411,2.456,2.535,2.377,2.456,2.535,2.377,3.0985,3.16,3.037,3.0985,3.16,3.037,3.662,3.79,3.534,3.662,3.79,3.534,47.173307,-122.437636
2024-07-03T02:30:00Z,0,36.267,36.267,36.267,82.133,82.133,82.133,1009.432,1009.432,1009.432,90.748,,90.748,0.02,1.9,2,1.8,8,8.2,7.9,6.8,6.8,6.7,198.4,197.1,199.8,536.2515000000000,543.519,528.984,154.333,155.317,153.349,14.8355,16.037,13.634,2.0415,2.055,2.028,1.263,1.309,1.217,0.776,0.877,0.675,2.121,2.133,2.109,2.12,2.131,2.109,2.827,2.904,2.75,2.827,2.904,2.75,3.7075,3.857,3.558,3.7075,3.857,3.558,47.173307,-122.437636
2024-07-03T03:00:00Z,0,37.933,37.933,37.933,80.2,80.2,80.2,1009.514,1009.514,1009.514,92.213,,92.213,0.02,1.9,1.9,1.8,7.6,7.7,7.4,6.5,6.6,6.4,204.2,202.5,206,505.45500000000000,514.561,496.349,146.74650000000000,147.931,145.562,15.778,16.867,14.689,2.877,2.744,3.01,1.811,1.745,1.877,0.9705000000000000,0.955,0.986,1.9305000000000000,1.939,1.922,1.9305000000000000,1.939,1.922,2.6790000000000000,2.739,2.619,2.6790000000000000,2.739,2.619,3.981,3.983,3.979,3.981,3.983,3.979,47.173307,-122.437636
2024-07-03T03:30:00Z,0,39.4,39.4,39.4,78.333,78.333,78.333,1009.615,1009.615,1009.615,92.021,,92.021,0.02,1.8,1.9,1.7,7.4,7.6,7.3,6.4,6.5,6.3,206.1,204.3,207.9,495.81400000000000,504.829,486.799,142.32350000000000,144.056,140.591,14.819000000000000,15.795,13.843,2.4175,2.544,2.291,1.4955000000000000,1.553,1.438,0.7995,0.834,0.765,1.807,1.853,1.761,1.807,1.853,1.761,2.5570000000000000,2.603,2.511,2.5570000000000000,2.603,2.511,3.643,3.75,3.536,3.643,3.75,3.536,47.173307,-122.437636
2024-07-03T04:00:00Z,0,40.733,40.733,40.733,76.6,76.6,76.6,1009.726,1009.726,1009.726,92.339,,92.339,0.02,1.7,1.8,1.7,7.4,7.5,7.3,6.3,6.4,6.3,206.9,205.4,208.5,491.61200000000000,499.39,483.834,141.151,143.393,138.909,13.601000000000000,14.197,13.005,2.223,2.133,2.313,1.4795,1.356,1.603,0.8,0.781,0.819,1.8345,1.92,1.749,1.8345,1.92,1.749,2.463,2.545,2.381,2.463,2.545,2.381,3.511,3.517,3.505,3.511,3.517,3.505,47.173307,-122.437636
2024-07-03T04:30:00Z,0,42.283,42.283,42.283,75.117,75.117,75.117,1009.999,1009.999,1009.999,91.466,,91.466,0.02,1.8,1.8,1.7,7.3,7.5,7.1,6.3,6.4,6.2,208.1,205.8,210.4,485.667,497.131,474.203,139.971,141.166,138.776,14.8865,15.608,14.165,2.9220000000000000,2.592,3.252,1.953,1.791,2.115,0.8050000000000000,0.661,0.949,1.7105000000000000,1.745,1.676,1.7105000000000000,1.745,1.676,2.3715,2.408,2.335,2.3715,2.408,2.335,3.6985,3.63,3.767,3.6985,3.63,3.767,47.173307,-122.437636
