time_stamp,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b
2024-07-01T00:00:00Z,28.2,28.2,,89.933,89.933,,1016.685,1016.685,,0.211,0.298,0.124
2024-07-01T00:30:00Z,28.933,28.933,,88.667,88.667,,1016.343,1016.343,,0.3875,0.548,0.227
2024-07-01T01:00:00Z,30.2,30.2,,87.467,87.467,,1016.322,1016.322,,0.4285,0.553,0.304
2024-07-01T01:30:00Z,31.4,31.4,,85.6,85.6,,1016.267,1016.267,,0.6375,0.693,0.582
2024-07-01T02:00:00Z,32.867,32.867,,84.333,84.333,,1016.231,1016.231,,0.2965,0.375,0.218
2024-07-01T02:30:00Z,35.2,35.2,,82.8,82.8,,1016.119,1016.119,,0.2905,0.383,0.198
2024-07-01T03:00:00Z,37.867,37.867,,81.267,81.267,,1016.311,1016.311,,0.2025,0.269,0.136
2024-07-01T03:30:00Z,40.133,40.133,,79.533,79.533,,1016.468,1016.468,,0.145,0.173,0.117
2024-07-01T04:00:00Z,41.933,41.933,,78.333,78.333,,1016.649,1016.649,,0.31,0.353,0.267
2024-07-01T04:30:00Z,43.067,43.067,,77.067,77.067,,1017.015,1017.015,,0.16849999999999998,0.18,0.157
2024-07-01T05:00:00Z,44.067,44.067,,75.533,75.533,,1017.216,1017.216,,0.6655,0.701,0.63
2024-07-01T05:30:00Z,46.267,46.267,,75,75,,1017.315,1017.315,,1.294,1.357,1.231
2024-07-01T06:00:00Z,48.133,48.133,,75,75,,1017.116,1017.116,,1.137,1.205,1.069
2024-07-01T06:30:00Z,48.733,48.733,,75,75,,1017.148,1017.148,,1.5030000000000001,1.705,1.301
2024-07-01T07:00:00Z,50.4,50.4,,74.067,74.067,,1017.24,1017.24,,1.5985,1.756,1.441
2024-07-01T07:30:00Z,50.8,50.8,,73.867,73.867,,1017.312,1017.312,,3.2395,3.497,2.982
2024-07-01T08:00:00Z,51.533,51.533,,73.067,73.067,,1017.311,1017.311,,2.492,2.661,2.323
2024-07-01T08:30:00Z,52.267,52.267,,73,73,,1017.303,1017.303,,1.0739999999999998,1.148,1
2024-07-01T09:00:00Z,54.133,54.133,,72,72,,1017.135,1017.135,,0.418,0.481,0.355
2024-07-01T09:30:00Z,55,55,,71.733,71.733,,1016.946,1016.946,,0.4105,0.467,0.354
2024-07-01T10:00:00Z,55,55,,72,72,,1017.295,1017.295,,0.3945,0.515,0.274
2024-07-01T10:30:00Z,55.067,55.067,,72,72,,1017.337,1017.337,,0.41950000000000004,0.558,0.281
2024-07-01T11:00:00Z,54.933,54.933,,72,72,,1017.503,1017.503,,0.36050000000000004,0.392,0.329
2024-07-01T11:30:00Z,55.4,55.4,,71.933,71.933,,1017.579,1017.579,,0.509,0.623,0.395
2024-07-01T12:00:00Z,56.533,56.533,,71.867,71.867,,1017.574,1017.574,,0.6785,0.825,0.532
2024-07-01T12:30:00Z,57.4,57.4,,71.067,71.067,,1017.765,1017.765,,0.6745,0.753,0.596
2024-07-01T13:00:00Z,58,58,,71.067,71.067,,1017.888,1017.888,,0.5145,0.66,0.369
2024-07-01T13:30:00Z,58,58,,71,71,,1017.973,1017.973,,0.8999999999999999,1.023,0.777
2024-07-01T14:00:00Z,58.067,58.067,,71,71,,1018.107,1018.107,,1.2294999999999998,1.382,1.077
2024-07-01T14:30:00Z,58.933,58.933,,71.067,71.067,,1018.325,1018.325,,1.4874999999999998,1.688,1.287
2024-07-01T15:00:00Z,58.267,58.267,,71.467,71.467,,1018.328,1018.328,,1.291,1.465,1.117
2024-07-01T15:30:00Z,57.467,57.467,,72,72,,1018.44,1018.44,,1.072,1.227,0.917
2024-07-01T16:00:00Z,56.067,56.067,,72.467,72.467,,1018.757,1018.757,,0.631,0.665,0.597
2024-07-01T16:30:00Z,54.467,54.467,,73.2,73.2,,1019.013,1019.013,,0.6140000000000001,0.68,0.548
