name,longitude,latitude,sensor_index
PA_PSUStarLabTitlow,-122.544304482717,47.2534630639203,9732
PA_PointWoodworth,-122.375810739917,47.2751529494637,17663
PA_MillersSkylineTerrace,-122.523105302807,47.2765418097639,98105
PA_Broadway,-122.445722789705,47.2642214357175,190605
PA_Norpoint,-122.407948409197,47.2973731416045,194473
PA_TacomaCenterYMCA,-122.441356589767,47.2513239295534,171217
PA_OwlsRoost,-122.429219760075,47.300200463549,156499
PA_TacomaAlexander,-122.385207514474,47.2654688706901,15203
PA_ MorganFamilyYMCA,-122.516855400273,47.251639799814,171177
PA_Rustin,-122.500872631858,47.2968232065361,174613
PA_ NTacomaN9thStevens,-122.498634311366,47.259186758036,177979
PA_S9thSt,-122.45477945788,47.2535337077424,50485
PA_CentralTacoma19thMullen,-122.501362368562,47.2443548953653,51969
PA_ManitouParkElementarySchool,-122.49510699962,47.1973003001248,167413
PA_PTOI,-122.403252086736,47.2357366006406,185377
PA_WhitmanElementarySchool,-122.448556613315,47.2216372544041,136172
PA_BozeElementarySchool,-122.414498001308,47.1979028295585,167065
PA_BakerMiddleSchool,-122.446942056569,47.1836640216342,173501
PA_6thAveSprague,-122.462215482341,47.2544416982283,192199
PA_ProctorNorthEnd,-122.500449771254,47.2729949430792,154963
PA_PSUStarLabsSouthTacoma,-122.498678529282,47.1987446932387,7384
PA_CheneyStadium,-122.49165301654,47.2402785310818,224449
PA_Trents,-122.456952787003,47.1714207976848,94745
PA_EdisonElementary,-122.47456,47.2077,167029
GRIT01,-122.425289,47.214961,183853
GRIT02,-122.480575,47.268584,183863
GRIT03,-122.437637819248,47.1733110506403,183883
GRIT04,-122.556395426113,47.1462073608558,183851
