time_stamp,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,sensor_index
2024-07-01T00:00:00Z,30.933,30.933,,87,87,,1008.621,1008.621,,0.261,0.225,0.297,173501
2024-07-01T00:30:00Z,30.067,30.067,,88.467,88.467,,1008.614,1008.614,,0.2395,0.253,0.226,173501
2024-07-01T01:00:00Z,29.4,29.4,,89.533,89.533,,1008.391,1008.391,,0.29000000000000000,0.335,0.245,173501
2024-07-01T01:30:00Z,28.267,28.267,,90.667,90.667,,1008.251,1008.251,,0.248,0.251,0.245,173501
2024-07-01T02:00:00Z,28.267,28.267,,90.867,90.867,,1008.409,1008.409,,0.3145,0.328,0.301,173501
2024-07-01T02:30:00Z,30.533,30.533,,88.667,88.667,,1008.331,1008.331,,0.402,0.403,0.401,173501
2024-07-01T03:00:00Z,35.467,35.467,,84.2,84.2,,1008.418,1008.418,,0.5940000000000000,0.659,0.529,173501
2024-07-01T03:30:00Z,39.667,39.667,,80.867,80.867,,1008.482,1008.482,,0.541,0.543,0.539,173501
2024-07-01T04:00:00Z,42.733,42.733,,78.867,78.867,,1008.759,1008.759,,0.8215,0.81,0.833,173501
2024-07-01T04:30:00Z,45.333,45.333,,77.267,77.267,,1009.128,1009.128,,2.512,2.534,2.49,173501
2024-07-01T05:00:00Z,47.333,47.333,,76,76,,1009.224,1009.224,,2.0015,2.085,1.918,173501
2024-07-01T05:30:00Z,49.733,49.733,,74.8,74.8,,1009.193,1009.193,,1.1625,1.303,1.022,173501
2024-07-01T06:00:00Z,52.8,52.8,,73.6,73.6,,1009.147,1009.147,,0.7870000000000000,0.837,0.737,173501
2024-07-01T06:30:00Z,54.6,54.6,,72.467,72.467,,1009.13,1009.13,,0.6925,0.745,0.64,173501
2024-07-01T07:00:00Z,56.2,56.2,,72,72,,1009.171,1009.171,,0.4275,0.447,0.408,173501
2024-07-01T07:30:00Z,57.333,57.333,,71.267,71.267,,1009.256,1009.256,,0.3755,0.441,0.31,173501
2024-07-01T08:00:00Z,58.267,58.267,,70.6,70.6,,1009.091,1009.091,,0.377,0.351,0.403,173501
2024-07-01T08:30:00Z,59,59,,70.867,70.867,,1009.329,1009.329,,0.508,0.531,0.485,173501
2024-07-01T09:00:00Z,59.867,59.867,,70,70,,1009.135,1009.135,,0.6285000000000000,0.672,0.585,173501
2024-07-01T09:30:00Z,60.2,60.2,,70,70,,1009.146,1009.146,,0.6775,0.663,0.692,173501
2024-07-01T10:00:00Z,61.2,61.2,,69.667,69.667,,1009.283,1009.283,,0.8825000000000000,0.837,0.928,173501
2024-07-01T10:30:00Z,61.933,61.933,,69.067,69.067,,1009.285,1009.285,,0.833,0.737,0.929,173501
2024-07-01T11:00:00Z,62.267,62.267,,69,69,,1009.445,1009.445,,0.509,0.515,0.503,173501
2024-07-01T11:30:00Z,62.067,62.067,,68.8,68.8,,1009.435,1009.435,,0.4465,0.46,0.433,173501
2024-07-01T12:00:00Z,63,63,,68.733,68.733,,1009.541,1009.541,,0.467,0.397,0.537,173501
2024-07-01T12:30:00Z,63,63,,69,69,,1009.634,1009.634,,0.49450000000000000,0.547,0.442,173501
2024-07-01T13:00:00Z,63.133,63.133,,69,69,,1009.789,1009.789,,0.984,1.008,0.96,173501
2024-07-01T13:30:00Z,63.933,63.933,,68.4,68.4,,1009.881,1009.881,,1.4965000000000000,1.427,1.566,173501
2024-07-01T14:00:00Z,64.533,64.533,,68.067,68.067,,1009.841,1009.841,,1.4695,1.43,1.509,173501
2024-07-01T14:30:00Z,65,65,,68.667,68.667,,1010.109,1010.109,,1.2805,1.18,1.381,173501
2024-07-01T15:00:00Z,65.333,65.333,,68.733,68.733,,1010.105,1010.105,,1.526,1.587,1.465,173501
2024-07-01T15:30:00Z,63.8,63.8,,69.133,69.133,,1010.269,1010.269,,1.6535,1.573,1.734,173501
2024-07-01T16:00:00Z,62.467,62.467,,69.467,69.467,,1010.461,1010.461,,1.5510000000000000,1.491,1.611,173501
2024-07-01T16:30:00Z,61.133,61.133,,69.933,69.933,,1010.879,1010.879,,1.524,1.505,1.543,173501
2024-07-01T17:00:00Z,59.4,59.4,,70.933,70.933,,1010.928,1010.928,,1.6360000000000000,1.643,1.629,173501
2024-07-01T17:30:00Z,54.667,54.667,,73.467,73.467,,1010.728,1010.728,,1.1255000000000000,1.139,1.112,173501
2024-07-01T18:00:00Z,53.133,53.133,,74.067,74.067,,1010.839,1010.839,,1.033,0.976,1.09,173501
