time_stamp,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b
2024-07-01T00:00:00Z,36.2,36.2,,81.2,81.2,,1012.276,1012.276,,9.455,9.554,9.356
2024-07-01T00:30:00Z,36.467,36.467,,80.733,80.733,,1012.064,1012.064,,1.2334999999999998,1.329,1.138
2024-07-01T01:00:00Z,37.933,37.933,,80,80,,1011.97,1011.97,,1.1035,1.241,0.966
2024-07-01T01:30:00Z,38.8,38.8,,79.133,79.133,,1011.914,1011.914,,1.2835,1.356,1.211
2024-07-01T02:00:00Z,39.333,39.333,,78.667,78.667,,1011.801,1011.801,,1.079,1.132,1.026
2024-07-01T02:30:00Z,41.133,41.133,,77.867,77.867,,1011.779,1011.779,,1.1935,1.316,1.071
2024-07-01T03:00:00Z,44.133,44.133,,76.733,76.733,,1011.821,1011.821,,0.9019999999999999,0.951,0.853
2024-07-01T03:30:00Z,47.2,47.2,,75.333,75.333,,1011.902,1011.902,,0.8075,0.797,0.818
2024-07-01T04:00:00Z,50.067,50.067,,73.8,73.8,,1012.153,1012.153,,2.1205,2.24,2.001
2024-07-01T04:30:00Z,52.333,52.333,,72.733,72.733,,1012.591,1012.591,,2.9455,3.093,2.798
2024-07-01T05:00:00Z,55.6,55.6,,71.6,71.6,,1012.837,1012.837,,4.004,4.055,3.953
2024-07-01T05:30:00Z,57.733,57.733,,70.933,70.933,,1012.739,1012.739,,4.5615000000000006,4.489,4.634
2024-07-01T06:00:00Z,58.533,58.533,,70.867,70.867,,1012.602,1012.602,,4.381,4.439,4.323
2024-07-01T06:30:00Z,59.333,59.333,,69.6,69.6,,1012.193,1012.193,,3.4154999999999998,3.463,3.368
2024-07-01T07:00:00Z,61.2,61.2,,69.067,69.067,,1012.681,1012.681,,4.75,4.761,4.739
2024-07-01T07:30:00Z,61.267,61.267,,69,69,,1012.764,1012.764,,5.627000000000001,5.663,5.591
2024-07-01T08:00:00Z,61.2,61.2,,69.4,69.4,,1012.677,1012.677,,3.954,3.99,3.918
2024-07-01T08:30:00Z,61.867,61.867,,69.2,69.2,,1012.747,1012.747,,1.895,1.845,1.945
2024-07-01T09:00:00Z,62.667,62.667,,69,69,,1012.542,1012.542,,1.1724999999999999,1.192,1.153
2024-07-01T09:30:00Z,63.267,63.267,,68.933,68.933,,1012.599,1012.599,,0.81,0.905,0.715
2024-07-01T10:00:00Z,63.267,63.267,,68.867,68.867,,1012.626,1012.626,,0.835,0.868,0.802
2024-07-01T10:30:00Z,63,63,,69,69,,1012.799,1012.799,,1.9304999999999999,2.029,1.832
2024-07-01T11:00:00Z,63.4,63.4,,68.933,68.933,,1012.88,1012.88,,2.275,2.207,2.343
2024-07-01T11:30:00Z,64,64,,68.667,68.667,,1013.03,1013.03,,2.1535,2.133,2.174
2024-07-01T12:00:00Z,63.8,63.8,,68.733,68.733,,1012.924,1012.924,,1.77,1.757,1.783
2024-07-01T12:30:00Z,64,64,,68.533,68.533,,1013.045,1013.045,,1.615,1.591,1.639
2024-07-01T13:00:00Z,64.4,64.4,,68.133,68.133,,1013.193,1013.193,,2.3914999999999997,2.379,2.404
2024-07-01T13:30:00Z,65,65,,67.867,67.867,,1013.17,1013.17,,1.935,1.925,1.945
2024-07-01T14:00:00Z,65,65,,68.133,68.133,,1013.476,1013.476,,1.548,1.491,1.605
