time_stamp,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,sensor_index
2024-07-01T00:00:00Z,37.133,37.133,37.133,83.733,83.733,83.733,1010.865,1010.865,1010.865,0.2375,0.159,0.316,183851
2024-07-01T00:30:00Z,38.4,38.4,38.4,83,83,83,1010.751,1010.751,1010.751,0.0665,0.014,0.119,183851
2024-07-01T01:00:00Z,38.067,38.067,38.067,82.933,82.933,82.933,1010.605,1010.605,1010.605,0.2095,0.13,0.289,183851
2024-07-01T01:30:00Z,38.333,38.333,38.333,82.4,82.4,82.4,1010.566,1010.566,1010.566,0.1685,0.064,0.273,183851
2024-07-01T02:00:00Z,40.133,40.133,40.133,81.867,81.867,81.867,1010.58,1010.58,1010.58,0.19,0.143,0.237,183851
2024-07-01T02:30:00Z,42.267,42.267,42.267,81,81,81,1010.529,1010.529,1010.529,0.023,0,0.046,183851
2024-07-01T03:00:00Z,43.867,43.867,43.867,80.4,80.4,80.4,1010.601,1010.601,1010.601,0.139,0.089,0.189,183851
2024-07-01T03:30:00Z,45.467,45.467,45.467,79.067,79.067,79.067,1010.731,1010.731,1010.731,0.067,0.095,0.039,183851
2024-07-01T04:00:00Z,47.733,47.733,47.733,77.733,77.733,77.733,1010.906,1010.906,1010.906,0.0825,0.139,0.026,183851
2024-07-01T04:30:00Z,49.067,49.067,49.067,77.2,77.2,77.2,1011.231,1011.231,1011.231,0.1895,0.321,0.058,183851
2024-07-01T05:00:00Z,51.067,51.067,51.067,76.133,76.133,76.133,1011.484,1011.484,1011.484,0.2745,0.434,0.115,183851
2024-07-01T05:30:00Z,53.8,53.8,53.8,74.8,74.8,74.8,1011.445,1011.445,1011.445,0.4445,0.489,0.4,183851
2024-07-01T06:00:00Z,55.133,55.133,55.133,74.133,74.133,74.133,1011.306,1011.306,1011.306,0.39150000000000000,0.591,0.192,183851
2024-07-01T06:30:00Z,56.467,56.467,56.467,73.267,73.267,73.267,1011.326,1011.326,1011.326,0.257,0.424,0.09,183851
2024-07-01T07:00:00Z,56.933,56.933,56.933,73.4,73.4,73.4,1011.415,1011.415,1011.415,0.18000000000000000,0.279,0.081,183851
2024-07-01T07:30:00Z,56.867,56.867,56.867,73.267,73.267,73.267,1011.49,1011.49,1011.49,0.188,0.315,0.061,183851
2024-07-01T08:00:00Z,57.6,57.6,57.6,73,73,73,1011.592,1011.592,1011.592,0.20100000000000000,0.299,0.103,183851
2024-07-01T08:30:00Z,57.2,57.2,57.2,73.4,73.4,73.4,1011.519,1011.519,1011.519,0.171,0.269,0.073,183851
2024-07-01T09:00:00Z,57.333,57.333,57.333,73.333,73.333,73.333,1011.311,1011.311,1011.311,0.17850000000000000,0.279,0.078,183851
2024-07-01T09:30:00Z,56.933,56.933,56.933,73.4,73.4,73.4,1011.323,1011.323,1011.323,0.202,0.331,0.073,183851
2024-07-01T10:00:00Z,57.133,57.133,57.133,73.4,73.4,73.4,1011.431,1011.431,1011.431,0.235,0.365,0.105,183851
2024-07-01T10:30:00Z,56.867,56.867,56.867,73.533,73.533,73.533,1011.469,1011.469,1011.469,0.175,0.229,0.121,183851
2024-07-01T11:00:00Z,56.867,56.867,56.867,73.733,73.733,73.733,1011.567,1011.567,1011.567,0.262,0.313,0.211,183851
2024-07-01T11:30:00Z,56.8,56.8,56.8,73.667,73.667,73.667,1011.666,1011.666,1011.666,0.354,0.483,0.225,183851
2024-07-01T12:00:00Z,57.133,57.133,57.133,73.133,73.133,73.133,1011.712,1011.712,1011.712,0.6215,0.796,0.447,183851
2024-07-01T12:30:00Z,57.133,57.133,57.133,73.267,73.267,73.267,1011.866,1011.866,1011.866,0.9240000000000000,1.041,0.807,183851
2024-07-01T13:00:00Z,58.6,58.6,58.6,72.733,72.733,72.733,1011.956,1011.956,1011.956,0.784,0.928,0.64,183851
2024-07-01T13:30:00Z,58.8,58.8,58.8,72.733,72.733,72.733,1012.053,1012.053,1012.053,0.87,1.022,0.718,183851
2024-07-01T14:00:00Z,58.6,58.6,58.6,73.133,73.133,73.133,1012.195,1012.195,1012.195,0.8440000000000000,0.931,0.757,183851
2024-07-01T14:30:00Z,58.467,58.467,58.467,73.2,73.2,73.2,1012.407,1012.407,1012.407,0.7835,0.948,0.619,183851
2024-07-01T15:00:00Z,56.467,56.467,56.467,74.067,74.067,74.067,1012.418,1012.418,1012.418,0.307,0.42,0.194,183851
2024-07-01T15:30:00Z,55.533,55.533,55.533,74.4,74.4,74.4,1012.471,1012.471,1012.471,0.5700000000000000,0.673,0.467,183851
2024-07-01T16:00:00Z,55.8,55.8,55.8,74.333,74.333,74.333,1012.844,1012.844,1012.844,0.8815,1.07,0.693,183851
2024-07-01T16:30:00Z,52.933,52.933,52.933,77.067,77.067,77.067,1013.049,1013.049,1013.049,0.10300000000000000,0.157,0.049,183851
2024-07-01T17:00:00Z,44,44,44,83.6,83.6,83.6,1012.995,1012.995,1012.995,0.054,0.011,0.097,183851
2024-07-01T17:30:00Z,40.333,40.333,40.333,85.8,85.8,85.8,1012.903,1012.903,1012.903,0.2285,0.115,0.342,183851
2024-07-01T18:00:00Z,42.4,42.4,42.4,84.333,84.333,84.333,1012.955,1012.955,1012.955,0.221,0.022,0.42,183851
2024-07-01T18:30:00Z,35.333,35.333,35.333,91.933,91.933,91.933,1012.859,1012.859,1012.859,0.372,0.169,0.575,183851
2024-07-01T19:00:00Z,33.733,33.733,33.733,92.067,92.067,92.067,1012.727,1012.727,1012.727,0.45250000000000000,0.214,0.691,183851
2024-07-01T19:30:00Z,33.467,33.467,33.467,92.733,92.733,92.733,1012.553,1012.553,1012.553,0.5035000000000000,0.266,0.741,183851
