time_stamp,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b
2024-07-01T00:00:00Z,29.2,29.2,,87.4,87.4,,1006.783,1006.783,,0,0,0
2024-07-01T00:30:00Z,30.333,30.333,,86.2,86.2,,1006.638,1006.638,,0.0125,0.017,0.008
2024-07-01T01:00:00Z,32.067,32.067,,84.8,84.8,,1006.501,1006.501,,0.009,0.015,0.003
2024-07-01T01:30:00Z,32.8,32.8,,83.733,83.733,,1006.455,1006.455,,0.023,0.021,0.025
2024-07-01T02:00:00Z,34.6,34.6,,81.933,81.933,,1006.385,1006.385,,0.006,0.001,0.011
2024-07-01T02:30:00Z,37.533,37.533,,79.733,79.733,,1006.365,1006.365,,0.004,0,0.008
2024-07-01T03:00:00Z,41,41,,78.2,78.2,,1006.449,1006.449,,0.0145,0,0.029
2024-07-01T03:30:00Z,43.067,43.067,,77.067,77.067,,1006.602,1006.602,,0.018,0.005,0.031
2024-07-01T04:00:00Z,44.733,44.733,,76.133,76.133,,1006.804,1006.804,,0.028499999999999998,0.013,0.044
2024-07-01T04:30:00Z,46.2,46.2,,74.733,74.733,,1007.237,1007.237,,0.237,0.157,0.317
2024-07-01T05:00:00Z,49.4,49.4,,73.067,73.067,,1007.4,1007.4,,0.8635,0.673,1.054
2024-07-01T05:30:00Z,52,52,,71.867,71.867,,1007.365,1007.365,,1.7875,1.614,1.961
2024-07-01T06:00:00Z,52.733,52.733,,72,72,,1007.2,1007.2,,11.872499999999999,11.639,12.106
2024-07-01T06:30:00Z,54.467,54.467,,71.4,71.4,,1007.179,1007.179,,0.221,0.133,0.309
2024-07-01T07:00:00Z,54.867,54.867,,71,71,,1007.247,1007.247,,1.346,1.131,1.561
2024-07-01T07:30:00Z,55,55,,71,71,,1007.314,1007.314,,1.463,1.29,1.636
2024-07-01T08:00:00Z,55.933,55.933,,70.333,70.333,,1007.367,1007.367,,0.3435,0.247,0.44
2024-07-01T08:30:00Z,57.067,57.067,,70,70,,1007.333,1007.333,,0.1425,0.104,0.181
2024-07-01T09:00:00Z,57.867,57.867,,69.667,69.667,,1007.121,1007.121,,0.062,0.014,0.11
2024-07-01T09:30:00Z,59.067,59.067,,69,69,,1007.212,1007.212,,0.0555,0.026,0.085
2024-07-01T10:00:00Z,59.667,59.667,,69,69,,1007.295,1007.295,,0.064,0.047,0.081
2024-07-01T10:30:00Z,60,60,,68.933,68.933,,1007.337,1007.337,,0.1225,0.082,0.163
2024-07-01T11:00:00Z,59.867,59.867,,69,69,,1007.499,1007.499,,0.093,0.035,0.151
2024-07-01T11:30:00Z,60,60,,68.8,68.8,,1007.611,1007.611,,0.093,0.089,0.097
2024-07-01T12:00:00Z,60.467,60.467,,68.333,68.333,,1007.539,1007.539,,0.1275,0.094,0.161
2024-07-01T12:30:00Z,61.8,61.8,,68,68,,1007.728,1007.728,,0.084,0.035,0.133
2024-07-01T13:00:00Z,63.2,63.2,,68,68,,1007.855,1007.855,,0.157,0.125,0.189
2024-07-01T13:30:00Z,63.8,63.8,,68,68,,1007.919,1007.919,,0.7045,0.654,0.755
2024-07-01T14:00:00Z,61.6,61.6,,68.8,68.8,,1008.067,1008.067,,1.2335,0.99,1.477
2024-07-01T14:30:00Z,59.667,59.667,,69.933,69.933,,1008.251,1008.251,,0.72,0.564,0.876
2024-07-01T15:00:00Z,59.933,59.933,,70,70,,1008.272,1008.272,,0.7555000000000001,0.635,0.876
2024-07-01T15:30:00Z,60.933,60.933,,69.733,69.733,,1008.31,1008.31,,0.5545,0.412,0.697
2024-07-01T16:00:00Z,59.933,59.933,,70,70,,1008.689,1008.689,,0.226,0.19,0.262
2024-07-01T16:30:00Z,59,59,,70.667,70.667,,1008.958,1008.958,,0.067,0.039,0.095
2024-07-01T17:00:00Z,56.533,56.533,,72.667,72.667,,1008.953,1008.953,,0.1335,0.124,0.143
2024-07-01T17:30:00Z,52.067,52.067,,76.133,76.133,,1008.869,1008.869,,0.243,0.143,0.343
2024-07-01T18:00:00Z,44,44,,82.333,82.333,,1008.865,1008.865,,0.278,0.171,0.385
2024-07-01T18:30:00Z,36.467,36.467,,88.267,88.267,,1008.723,1008.723,,0.6505000000000001,0.622,0.679
2024-07-01T19:00:00Z,30.267,30.267,,93.4,93.4,,1008.617,1008.617,,0.5965,0.357,0.836
2024-07-01T19:30:00Z,26.467,26.467,,97,97,,1008.499,1008.499,,0.39199999999999996,0.215,0.569
2024-07-01T20:00:00Z,24.867,24.867,,98,98,,1008.379,1008.379,,0.21,0.116,0.304
2024-07-01T20:30:00Z,23.867,23.867,,98.267,98.267,,1008.305,1008.305,,0.034999999999999996,0.009,0.061
2024-07-01T21:00:00Z,23.867,23.867,,97.2,97.2,,1008.183,1008.183,,0.0305,0.012,0.049
2024-07-01T21:30:00Z,25.8,25.8,,95.2,95.2,,1008.063,1008.063,,0.0175,0.01,0.025
2024-07-01T22:00:00Z,25.2,25.2,,94.933,94.933,,1007.971,1007.971,,0.063,0.05,0.076
2024-07-01T22:30:00Z,28.067,28.067,,93.267,93.267,,1007.928,1007.928,,0.408,0.077,0.739
2024-07-01T23:00:00Z,26.933,26.933,,93.133,93.133,,1007.683,1007.683,,0.3795,0.049,0.71
2024-07-01T23:30:00Z,28.533,28.533,,90.6,90.6,,1007.659,1007.659,,0.3775,0.25,0.505
2024-07-02T00:00:00Z,30.133,30.133,,89.533,89.533,,1007.429,1007.429,,0.3355,0.286,0.385
2024-07-02T00:30:00Z,31,31,,88.867,88.867,,1007.276,1007.276,,0.5529999999999999,0.499,0.607
2024-07-02T01:00:00Z,32.267,32.267,,87.733,87.733,,1007.192,1007.192,,0.9305,0.8,1.061
2024-07-02T01:30:00Z,34,34,,86.267,86.267,,1007.315,1007.315,,1.3895,1.211,1.568
2024-07-02T02:00:00Z,35.733,35.733,,83.533,83.533,,1007.499,1007.499,,1.254,1.127,1.381
2024-07-02T02:30:00Z,37.133,37.133,,80.467,80.467,,1007.621,1007.621,,0.9730000000000001,0.842,1.104
2024-07-02T03:00:00Z,38.2,38.2,,78.6,78.6,,1007.747,1007.747,,1.095,0.965,1.225
2024-07-02T03:30:00Z,41.4,41.4,,76.133,76.133,,1007.817,1007.817,,1.295,1.18,1.41
2024-07-02T04:00:00Z,42.6,42.6,,74.933,74.933,,1008.109,1008.109,,0.94,0.901,0.979
2024-07-02T04:30:00Z,42.867,42.867,,74,74,,1008.437,1008.437,,0.857,0.685,1.029
2024-07-02T05:00:00Z,42.733,42.733,,72.867,72.867,,1008.711,1008.711,,0.9235,0.794,1.053
2024-07-02T05:30:00Z,42.867,42.867,,70.933,70.933,,1008.915,1008.915,,1.5135,1.437,1.59
2024-07-02T06:00:00Z,44.4,44.4,,69.867,69.867,,1009.243,1009.243,,1.306,1.161,1.451
2024-07-02T06:30:00Z,46,46,,68.467,68.467,,1009.397,1009.397,,1.3900000000000001,1.256,1.524
2024-07-02T07:00:00Z,47.933,47.933,,67.333,67.333,,1009.479,1009.479,,1.608,1.351,1.865
2024-07-02T07:30:00Z,49.333,49.333,,66.533,66.533,,1009.491,1009.491,,1.948,1.825,2.071
2024-07-02T08:00:00Z,50.6,50.6,,66,66,,1009.537,1009.537,,1.928,1.675,2.181
2024-07-02T08:30:00Z,51,51,,66,66,,1009.532,1009.532,,2.0149999999999997,1.859,2.171
2024-07-02T09:00:00Z,52.267,52.267,,65.133,65.133,,1009.765,1009.765,,2.395,2.315,2.475
2024-07-02T09:30:00Z,53.4,53.4,,64.733,64.733,,1009.87,1009.87,,2.7735,2.788,2.759
2024-07-02T10:00:00Z,54.2,54.2,,64.067,64.067,,1009.957,1009.957,,2.9219999999999997,2.771,3.073
2024-07-02T10:30:00Z,54.933,54.933,,63.733,63.733,,1010.127,1010.127,,2.906,2.749,3.063
2024-07-02T11:00:00Z,55.533,55.533,,63,63,,1010.211,1010.211,,3.1065,2.859,3.354
2024-07-02T11:30:00Z,55.667,55.667,,63,63,,1010.491,1010.491,,3.1905,2.947,3.434
2024-07-02T12:00:00Z,55.667,55.667,,63,63,,1010.653,1010.653,,2.936,2.793,3.079
2024-07-02T12:30:00Z,55.067,55.067,,63,63,,1010.861,1010.861,,3.555,3.491,3.619
2024-07-02T13:00:00Z,55.2,55.2,,63.333,63.333,,1010.953,1010.953,,3.3994999999999997,3.315,3.484
2024-07-02T13:30:00Z,54.067,54.067,,64.133,64.133,,1010.976,1010.976,,3.488,3.457,3.519
2024-07-02T14:00:00Z,53.067,53.067,,65,65,,1011.007,1011.007,,3.745,3.544,3.946
2024-07-02T14:30:00Z,52.067,52.067,,65.267,65.267,,1011.093,1011.093,,3.6580000000000004,3.499,3.817
2024-07-02T15:00:00Z,50.933,50.933,,65.667,65.667,,1011.135,1011.135,,4.3485,4.32,4.377
2024-07-02T15:30:00Z,50.267,50.267,,66.267,66.267,,1011.306,1011.306,,4.8175,4.623,5.012
2024-07-02T16:00:00Z,48.133,48.133,,67.533,67.533,,1011.379,1011.379,,4.439,4.181,4.697
2024-07-02T16:30:00Z,47,47,,68,68,,1011.447,1011.447,,4.2495,4.019,4.48
2024-07-02T17:00:00Z,46,46,,69.267,69.267,,1011.705,1011.705,,5.452500000000001,5.296,5.609
2024-07-02T17:30:00Z,44.067,44.067,,70.867,70.867,,1011.771,1011.771,,5.134,4.814,5.454
2024-07-02T18:00:00Z,42.4,42.4,,72.4,72.4,,1011.758,1011.758,,5.045999999999999,4.717,5.375
2024-07-02T18:30:00Z,40.467,40.467,,74.533,74.533,,1011.753,1011.753,,11.606000000000002,11.303,11.909
2024-07-02T19:00:00Z,38.6,38.6,,76.133,76.133,,1012.101,1012.101,,11.145,10.575,11.715
2024-07-02T19:30:00Z,35.333,35.333,,79.467,79.467,,1011.861,1011.861,,3.72,3.423,4.017
2024-07-02T20:00:00Z,31,31,,84.6,84.6,,1011.433,1011.433,,3.7095,3.356,4.063
2024-07-02T20:30:00Z,28.133,28.133,,87.267,87.267,,1011.408,1011.408,,3.629,3.387,3.871
2024-07-02T21:00:00Z,28,28,,86.933,86.933,,1011.279,1011.279,,3.5940000000000003,3.341,3.847
