time_stamp,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,sensor_index
2024-07-01T00:00:00Z,27.4,27.4,,92.4,92.4,,1010.367,1010.367,,0.9025000000000000,1.02,0.785,7384
2024-07-01T00:30:00Z,30.267,30.267,,89.067,89.067,,1010.214,1010.214,,0.659,0.757,0.561,7384
2024-07-01T01:00:00Z,32.667,32.667,,85.667,85.667,,1009.527,1009.527,,0.263,0.327,0.199,7384
2024-07-01T01:30:00Z,33.8,33.8,,84.733,84.733,,1010.023,1010.023,,0.185,0.277,0.093,7384
2024-07-01T02:00:00Z,36.067,36.067,,83.2,83.2,,1009.928,1009.928,,0.198,0.251,0.145,7384
2024-07-01T02:30:00Z,38.267,38.267,,82.333,82.333,,1009.951,1009.951,,0.139,0.226,0.052,7384
2024-07-01T03:00:00Z,40.733,40.733,,81,81,,1010.003,1010.003,,0.194,0.277,0.111,7384
2024-07-01T03:30:00Z,42.733,42.733,,80.067,80.067,,1010.143,1010.143,,0.3635,0.504,0.223,7384
2024-07-01T04:00:00Z,44.667,44.667,,78.533,78.533,,1010.358,1010.358,,0.1785,0.263,0.094,7384
2024-07-01T04:30:00Z,46.2,46.2,,77.533,77.533,,1010.666,1010.666,,0.9695,1.103,0.836,7384
2024-07-01T05:00:00Z,46.6,46.6,,76.6,76.6,,1010.865,1010.865,,1.5645,1.672,1.457,7384
2024-07-01T05:30:00Z,47.733,47.733,,75.667,75.667,,1010.845,1010.845,,0.4435,0.58,0.307,7384
2024-07-01T06:00:00Z,49,49,,74.533,74.533,,1010.686,1010.686,,0.861,0.935,0.787,7384
2024-07-01T06:30:00Z,50.467,50.467,,73.4,73.4,,1010.714,1010.714,,3.569,3.833,3.305,7384
2024-07-01T07:00:00Z,54.6,54.6,,73,73,,1010.751,1010.751,,1.91,2.131,1.689,7384
2024-07-01T07:30:00Z,55.933,55.933,,73,73,,1010.817,1010.817,,1.6560000000000000,1.956,1.356,7384
2024-07-01T08:00:00Z,56.133,56.133,,73,73,,1010.893,1010.893,,0.4225,0.659,0.186,7384
2024-07-01T08:30:00Z,56,56,,73,73,,1010.878,1010.878,,0.28500000000000000,0.451,0.119,7384
2024-07-01T09:00:00Z,56.2,56.2,,73,73,,1010.661,1010.661,,0.38900000000000000,0.571,0.207,7384
2024-07-01T09:30:00Z,57,57,,73,73,,1010.697,1010.697,,0.4445,0.633,0.256,7384
2024-07-01T10:00:00Z,57,57,,72.8,72.8,,1010.84,1010.84,,0.5115000000000000,0.667,0.356,7384
2024-07-01T10:30:00Z,57,57,,72.667,72.667,,1010.851,1010.851,,0.398,0.547,0.249,7384
2024-07-01T11:00:00Z,57,57,,72.067,72.067,,1010.979,1010.979,,0.329,0.521,0.137,7384
2024-07-01T11:30:00Z,57.267,57.267,,72,72,,1011.09,1011.09,,0.23600000000000000,0.343,0.129,7384
2024-07-01T12:00:00Z,57.2,57.2,,72,72,,1011.066,1011.066,,0.27900000000000000,0.477,0.081,7384
2024-07-01T12:30:00Z,58.267,58.267,,72,72,,1011.243,1011.243,,0.36300000000000000,0.559,0.167,7384
2024-07-01T13:00:00Z,59.467,59.467,,72,72,,1011.362,1011.362,,0.544,0.815,0.273,7384
2024-07-01T13:30:00Z,60.2,60.2,,71.8,71.8,,1011.434,1011.434,,0.958,1.144,0.772,7384
2024-07-01T14:00:00Z,61.2,61.2,,72,72,,1011.617,1011.617,,1.1165000000000000,1.386,0.847,7384
2024-07-01T14:30:00Z,61.4,61.4,,72,72,,1011.825,1011.825,,1.2425000000000000,1.493,0.992,7384
2024-07-01T15:00:00Z,61.067,61.067,,72,72,,1011.868,1011.868,,1.042,1.283,0.801,7384
2024-07-01T15:30:00Z,60.333,60.333,,72.8,72.8,,1011.879,1011.879,,0.8265,1.056,0.597,7384
2024-07-01T16:00:00Z,57.867,57.867,,73,73,,1012.157,1012.157,,0.724,0.849,0.599,7384
2024-07-01T16:30:00Z,56.133,56.133,,73.867,73.867,,1012.487,1012.487,,0.6955,0.889,0.502,7384
2024-07-01T17:00:00Z,52.867,52.867,,75.6,75.6,,1012.421,1012.421,,0.9245,1.026,0.823,7384
2024-07-01T17:30:00Z,48.6,48.6,,78.2,78.2,,1012.29,1012.29,,0.9135,1.005,0.822,7384
2024-07-01T18:00:00Z,46.533,46.533,,79.733,79.733,,1012.384,1012.384,,0.6235000000000000,0.714,0.533,7384
2024-07-01T18:30:00Z,44.6,44.6,,81.133,81.133,,1012.345,1012.345,,1.0595000000000000,1.132,0.987,7384
2024-07-01T19:00:00Z,39.933,39.933,,85.133,85.133,,1012.16,1012.16,,1.3435000000000000,1.504,1.183,7384
2024-07-01T19:30:00Z,38.067,38.067,,85.333,85.333,,1011.981,1011.981,,1.282,1.459,1.105,7384
2024-07-01T20:00:00Z,36.867,36.867,,86.867,86.867,,1011.967,1011.967,,1.1695,1.282,1.057,7384
2024-07-01T20:30:00Z,31.267,31.267,,91.6,91.6,,1011.877,1011.877,,0.925,0.873,0.977,7384
2024-07-01T21:00:00Z,27.333,27.333,,96,96,,1011.681,1011.681,,1.112,1.197,1.027,7384
2024-07-01T21:30:00Z,27.067,27.067,,95.2,95.2,,1011.627,1011.627,,1.3215,1.376,1.267,7384
2024-07-01T22:00:00Z,26,26,,97.4,97.4,,1011.485,1011.485,,1.3325,1.263,1.402,7384
2024-07-01T22:30:00Z,25.267,25.267,,98.267,98.267,,1011.368,1011.368,,1.2270000000000000,1.271,1.183,7384
