"Plot Title: 21119953"
"#","Date Time, GMT-07:00","Line 1 Open (LGR S/N: 21119953)","Host Connected (LGR S/N: 21119953)","Line 1 Closed (LGR S/N: 21119953)","Line 2 Open (LGR S/N: 21119953)","Coupler Detached (LGR S/N: 21119953)","Ext. Line Event (LGR S/N: 21119953)","Undefined (LGR S/N: 21119953)","Bad Battery (LGR S/N: 21119953)","Line 3 Closed (LGR S/N: 21119953)","Stopped (LGR S/N: 21119953)","Good Battery (LGR S/N: 21119953)","Line 2 Closed (LGR S/N: 21119953)","Line 3 Open (LGR S/N: 21119953)","Undefined (LGR S/N: 21119953)","Started (LGR S/N: 21119953)","Undefined (LGR S/N: 21119953)","Undefined (LGR S/N: 21119953)","End Of File (LGR S/N: 21119953)"
1,01/01/70 12:00:00 AM,,,,,,,,,,,,,,,,,Logged,
2,01/01/70 12:00:00 AM,,,,,,,,,,,,,,,,,,Logged
3,01/01/70 12:00:00 AM,,,,,,,,,,,,,,,,Logged,,
4,01/01/70 12:00:00 AM,,,,,,,,,,,,,,,Logged,,,
5,01/01/70 12:00:00 AM,,,,,,,,,,,,,,,Logged,,,
6,01/01/70 12:00:00 AM,,,,,,,,,,,,,,,Logged,,,
7,01/01/70 12:00:00 AM,,,,,,,,,,,,,,Logged,,,,
8,01/01/70 12:00:00 AM,,,,,,,,,,,,,,Logged,,,,
9,01/01/70 12:00:00 AM,,,,,,,,,,,,,Logged,,,,,
10,01/01/70 12:00:00 AM,,,,,,,,,,,,Logged,,,,,,
11,01/01/70 12:00:00 AM,,Logged,,,,,,,,,,,,,,,,
12,01/01/70 12:00:00 AM,,,Logged,,,,,,,,,,,,,,,
13,01/01/70 12:00:00 AM,,,,Logged,,,,,,,,,,,,,,
14,01/01/70 12:00:00 AM,,,,,,,,,,,Logged,,,,,,,
15,01/01/70 12:00:00 AM,,,,,Logged,,,,,,,,,,,,,
16,10/07/76 06:09:59 AM,,,,,,,,,,Logged,,,,,,,,
17,01/01/70 12:00:00 AM,,,,,,,,,,Logged,,,,,,,,
18,04/19/85 12:42:24 PM,,,,,,,,Logged,,,,,,,,,,
19,01/01/70 12:00:00 AM,,,,,,,,Logged,,,,,,,,,,
20,04/19/85 12:46:14 PM,,,,Logged,,,,,,,,,,,,,,
21,01/01/70 12:00:00 AM,,,,Logged,,,,,,,,,,,,,,
22,01/01/70 12:00:00 AM,,,,Logged,,,,,,,,,,,,,,
23,01/01/70 12:00:00 AM,,,,Logged,,,,,,,,,,,,,,
24,01/01/70 12:00:00 AM,,,,Logged,,,,,,,,,,,,,,
25,01/01/70 12:00:00 AM,,,,Logged,,,,,,,,,,,,,,
26,01/01/70 12:00:00 AM,,,,Logged,,,,,,,,,,,,,,
27,02/26/04 10:53:59 AM,,,,,Logged,,,,,,,,,,,,,
28,01/11/05 08:20:37 PM,Logged,,,,,,,,,,,,,,,,,
29,01/01/70 12:00:00 AM,Logged,,,,,,,,,,,,,,,,,
30,02/26/04 10:51:46 AM,Logged,,,,,,,,,,,,,,,,,
31,11/12/23 12:05:09 AM,,,,,,,,,Logged,,,,,,,,,
32,01/01/70 12:00:00 AM,,,,,,,,,Logged,,,,,,,,,
33,05/05/40 12:16:15 PM,,,,,Logged,,,,,,,,,,,,,
34,01/01/70 12:00:00 AM,,,,,Logged,,,,,,,,,,,,,
35,01/01/70 12:00:00 AM,,,,,Logged,,,,,,,,,,,,,
36,01/01/70 12:00:00 AM,,,,,Logged,,,,,,,,,,,,,
37,01/01/70 12:00:00 AM,,,,,Logged,,,,,,,,,,,,,
38,10/22/68 09:43:12 PM,,,Logged,,,,,,,,,,,,,,,
39,05/12/32 02:47:03 AM,,,Logged,,,,,,,,,,,,,,,
40,10/22/68 09:44:09 PM,,,,,,Logged,,,,,,,,,,,,
41,01/01/70 12:00:00 AM,,,,,,Logged,,,,,,,,,,,,
42,01/01/70 12:00:00 AM,,,,,,Logged,,,,,,,,,,,,
43,01/01/70 12:00:00 AM,,,,,,Logged,,,,,,,,,,,,
44,01/01/70 12:00:00 AM,,,,,,Logged,,,,,,,,,,,,
45,04/26/79 02:44:51 AM,,,Logged,,,,,,,,,,,,,,,
46,01/01/70 12:00:00 AM,,,Logged,,,,,,,,,,,,,,,
47,01/01/70 12:00:00 AM,,,Logged,,,,,,,,,,,,,,,
48,01/01/70 12:00:00 AM,,,Logged,,,,,,,,,,,,,,,
49,01/01/70 12:00:00 AM,,,Logged,,,,,,,,,,,,,,,
50,01/01/70 12:00:00 AM,,,Logged,,,,,,,,,,,,,,,
51,01/01/70 12:00:00 AM,,,Logged,,,,,,,,,,,,,,,
52,01/01/70 12:00:00 AM,,,Logged,,,,,,,,,,,,,,,
53,01/01/70 12:00:00 AM,,,Logged,,,,,,,,,,,,,,,
54,01/01/70 12:00:00 AM,,,Logged,,,,,,,,,,,,,,,
55,01/01/70 12:00:00 AM,,,Logged,,,,,,,,,,,,,,,
