time_stamp,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b
2024-07-03T00:00:00Z,30.75,30.75,30.75,86.55,86.55,86.55,1010.386,1010.386,1010.386,3.1105,2.981,3.24
2024-07-03T01:00:00Z,35.666,35.666,35.666,81.067,81.067,81.067,1010.15,1010.15,1010.15,2.9125,2.833,2.992
2024-07-03T02:00:00Z,40.358,40.358,40.358,76.811,76.811,76.811,1010.129,1010.129,1010.129,2.8185000000000002,2.761,2.876
2024-07-03T03:00:00Z,45.411,45.411,45.411,72.678,72.678,72.678,1010.26,1010.26,1010.26,2.537,2.505,2.569
2024-07-03T04:00:00Z,49.433,49.433,49.433,68.811,68.811,68.811,1010.511,1010.511,1010.511,2.2359999999999998,2.196,2.276
2024-07-03T05:00:00Z,54.489,54.489,54.489,64.778,64.778,64.778,1010.808,1010.808,1010.808,2.374,2.378,2.37
2024-07-03T06:00:00Z,58.834,58.834,58.834,62.034,62.034,62.034,1011.224,1011.224,1011.224,2.5655,2.657,2.474
2024-07-03T07:00:00Z,60.3,60.3,60.3,61.2,61.2,61.2,1011.813,1011.813,1011.813,2.969,3.045,2.893
2024-07-03T08:00:00Z,59.966,59.966,59.966,61.267,61.267,61.267,1012.427,1012.427,1012.427,2.8689999999999998,2.92,2.818
2024-07-03T09:00:00Z,59.7,59.7,59.7,61.067,61.067,61.067,1012.519,1012.519,1012.519,3.367,3.455,3.279
2024-07-03T10:00:00Z,58.6,58.6,58.6,61.367,61.367,61.367,1012.606,1012.606,1012.606,3.3375,3.395,3.28
2024-07-03T11:00:00Z,58.567,58.567,58.567,60.834,60.834,60.834,1012.582,1012.582,1012.582,3.364,3.357,3.371
2024-07-03T12:00:00Z,57.85,57.85,57.85,61.191,61.191,61.191,1012.917,1012.917,1012.917,3.5235000000000003,3.553,3.494
2024-07-03T13:00:00Z,54.933,54.933,54.933,63.033,63.033,63.033,1013.172,1013.172,1013.172,3.7325,3.867,3.598
2024-07-03T14:00:00Z,47.867,47.867,47.867,69.492,69.492,69.492,1013.447,1013.447,1013.447,3.516,3.497,3.535
2024-07-03T15:00:00Z,44.875,44.875,44.875,71.175,71.175,71.175,1013.588,1013.588,1013.588,4.2695,4.268,4.271
2024-07-03T16:00:00Z,43.1,43.1,43.1,73.117,73.117,73.117,1013.703,1013.703,1013.703,4.254,4.228,4.28
2024-07-03T17:00:00Z,39.383,39.383,39.383,76.011,76.011,76.011,1013.89,1013.89,1013.89,4.641,4.538,4.744
2024-07-03T18:00:00Z,36.522,36.522,36.522,79.066,79.066,79.066,1013.648,1013.648,1013.648,4.8955,4.851,4.94
2024-07-03T19:00:00Z,35.325,35.325,35.325,80.608,80.608,80.608,1013.285,1013.285,1013.285,5.416,5.092,5.74
2024-07-03T20:00:00Z,33.531,33.531,33.531,82.475,82.475,82.475,1012.904,1012.904,1012.904,4.869,4.839,4.899
2024-07-03T21:00:00Z,31.733,31.733,31.733,84.578,84.578,84.578,1012.532,1012.532,1012.532,4.641,4.678,4.604
2024-07-03T22:00:00Z,29,29,29,86.675,86.675,86.675,1012.214,1012.214,1012.214,3.8965,3.777,4.016
2024-07-03T23:00:00Z,25.367,25.367,25.367,90.2,90.2,90.2,1011.769,1011.769,1011.769,2.9705,2.928,3.013
2024-07-04T00:00:00Z,25.145,25.145,25.145,88.023,88.023,88.023,1011.3,1011.3,1011.3,2.974,2.892,3.056
2024-07-04T01:00:00Z,29.067,29.067,29.067,86.6,86.6,86.6,1010.954,1010.954,1010.954,4.1545000000000005,4.03,4.279
2024-07-04T02:00:00Z,31.258,31.258,31.258,85.308,85.308,85.308,1010.796,1010.796,1010.796,4.662,4.548,4.776
2024-07-04T03:00:00Z,34.355,34.355,34.355,82.436,82.436,82.436,1010.692,1010.692,1010.692,4.975,4.914,5.036
2024-07-04T04:00:00Z,40.333,40.333,40.333,76.317,76.317,76.317,1010.918,1010.918,1010.918,5.7625,5.761,5.764
2024-07-04T05:00:00Z,47.166,47.166,47.166,72.433,72.433,72.433,1011.163,1011.163,1011.163,6.452,6.354,6.55
2024-07-04T06:00:00Z,49.567,49.567,49.567,70.434,70.434,70.434,1011.246,1011.246,1011.246,6.911,6.886,6.936
2024-07-04T07:00:00Z,51.8,51.8,51.8,67.867,67.867,67.867,1011.534,1011.534,1011.534,5.254,5.234,5.274
2024-07-04T08:00:00Z,53.466,53.466,53.466,67.034,67.034,67.034,1011.772,1011.772,1011.772,5.5515,5.52,5.583
2024-07-04T09:00:00Z,54.9,54.9,54.9,66.033,66.033,66.033,1011.882,1011.882,1011.882,6.6675,6.74,6.595
2024-07-04T10:00:00Z,56.367,56.367,56.367,64.934,64.934,64.934,1011.947,1011.947,1011.947,7.2385,7.171,7.306
2024-07-04T11:00:00Z,57.85,57.85,57.85,64.591,64.591,64.591,1011.932,1011.932,1011.932,8.2935,8.216,8.371
2024-07-04T12:00:00Z,57.466,57.466,57.466,65.6,65.6,65.6,1012.226,1012.226,1012.226,7.7735,7.787,7.76
2024-07-04T13:00:00Z,43.917,43.917,43.917,75.166,75.166,75.166,1012.426,1012.426,1012.426,6.734500000000001,6.7,6.769
2024-07-04T14:00:00Z,42.008,42.008,42.008,76.25,76.25,76.25,1012.491,1012.491,1012.491,5.411,5.295,5.527
2024-07-04T15:00:00Z,42.947,42.947,42.947,74.664,74.664,74.664,1012.57,1012.57,1012.57,4.2415,4.247,4.236
2024-07-04T16:00:00Z,39.058,39.058,39.058,77.489,77.489,77.489,1012.502,1012.502,1012.502,4.1325,4.074,4.191
2024-07-04T17:00:00Z,35.317,35.317,35.317,80,80,80,1012.375,1012.375,1012.375,3.6310000000000002,3.534,3.728
2024-07-04T18:00:00Z,33.433,33.433,33.433,82,82,82,1012.067,1012.067,1012.067,3.6319999999999997,3.546,3.718
2024-07-04T19:00:00Z,30.367,30.367,30.367,83.8,83.8,83.8,1011.706,1011.706,1011.706,2.6825,2.591,2.774
2024-07-04T20:00:00Z,28.434,28.434,28.434,86.1,86.1,86.1,1011.394,1011.394,1011.394,2.4025,2.283,2.522
2024-07-04T21:00:00Z,28.1,28.1,28.1,86.767,86.767,86.767,1010.911,1010.911,1010.911,2.3665000000000003,2.286,2.447
2024-07-04T22:00:00Z,26.7,26.7,26.7,88.933,88.933,88.933,1010.473,1010.473,1010.473,2.383,2.497,2.269
2024-07-04T23:00:00Z,25.209,25.209,25.209,90.93,90.93,90.93,1010.055,1010.055,1010.055,2.59,2.907,2.273
