"","Purple.Air.Name","sensor_index","Long","Lat"
"1","GRIT01",183853,-122.425289,47.21496104
"2","GRIT02",183863,-122.4805754,47.26858395
"3","GRIT03",183883,-122.4376598,47.1732918
"4","GRIT04",183851,-122.5563971,47.14620651
"5","GRIT05",183865,-122.4683736,47.26333983
"6","GRIT06",183855,-122.4701912,47.20748389
"7","GRIT07",183843,-122.4021333,47.1980794
"8","GRIT09",183499,-122.436422,47.23494147
"9","GRIT10",183639,-122.435674,47.22179202
"10","GRIT11",183869,-122.412236,47.21929448
"11","GRIT12",183877,-122.4555075,47.18123901
"12","GRIT13",183841,-122.4580004,47.20416904
"13","GRIT14",183885,-122.4462381,47.21389379
"14","GRIT15",183871,-122.4482335,47.19022791
"15","GRIT16",183873,-122.4125603,47.21200804
"16","GRIT17",183815,-122.423028,47.20063098
"17","GRIT18",183817,-122.4337605,47.21606794
"18","GRIT19",183879,-122.4544223,47.16815367
"19","GRIT20",183525,-122.4073649,47.18283149
"20","GRIT21",183515,-122.424112,47.21290494
"21","GRIT22",183523,-122.4443658,47.17710941
"22","GRIT23",183513,-122.4161099,47.21800193
"23","GRIT24",183545,-122.4399858,47.15272915
"24","GRIT25",183637,-122.4436343,47.17419709
"25","GRIT26",183493,-122.4832621,47.21201859
"26","GRIT31",183641,-122.4905417,47.28122931
"27","GRIT32",183479,-122.4483785,47.26041451
"28","GRIT33",183467,-122.4844209,47.27818761
"29","GRIT34",183473,-122.4912362,47.24073436
"30","GRIT35",183487,-122.4996313,47.27530093
"31","GRIT36",183867,-122.3861623,47.28789452
"33","N Tacoma N 9th and Stevens",177979,-122.4985212,47.25826896
"34","Edison Elementary",167029,-122.4742667,47.2036888
"81","Manitou Park Elementary School",167413,-122.4951023,47.1970288
"121","Seabury School",167409,-122.4230649,47.3050156
"151","Tacoma Center YMCA",171217,-122.441583,47.251503
