"sensor_index","avg_pm2.5","long","lat","name","cancov.10m","cancov.20m","cancov.30m","cancov.40m","cancov.50m","cancov.100m","cancov.200m","cancov.400m","cancov.800m","impcov.10m","impcov.20m","impcov.30m","impcov.40m","impcov.50m","impcov.100m","impcov.200m","impcov.400m","impcov.800m","shrubcov.10m","shrubcov.20m","shrubcov.30m","shrubcov.40m","shrubcov.50m","shrubcov.100m","shrubcov.200m","shrubcov.400m","shrubcov.800m","above9_hour","above9_days","pov_rate","FPLPct","RparkPct","CparkPct","NparkPct","PerOpSpc","AvgRdScr","TranRatScr","SelfRtHlth","PM2_5","PTRAF","AccIndx","Accessibil","EcoIndx","EconomicIn","EduIndx","EducationI","EquityInde","EquityIn_1","EnvIndx","Environmen","LivIndx","Livability"
135354,2.22221304919355,-122.532889,47.298695,"pa_135354",0,0,0.00175736853164218,0.00441764478266478,0.00581675335039489,0.00928246454464923,0.0102928332673247,0.0112272218337133,0.00917450770357419,0.00940438871473354,0.0106074400287946,0.00853962140072338,0.00669627496545993,0.00547073057330677,0.00301291966424315,0.00162749238272902,0.00130423630481617,0.00250733822353369,0,0,0.0684027777777778,0.166405638214565,0.21691592308659,0.344762622456669,0.669336088865926,0.422671249808709,0.342095247250672,37,1.54166666666667,0.05785124,0.03,1,0,0.05,1.04999995,69,1.22950665,16.29999924,7.82000017,155.83000183,"Very Low",-0.41930693,"High",0.14719742,"Very High",0.64076828,"High",0.16979491,"Very High",0.5354137,"Low",-0.05509791
136172,3.12863183834343,-122.448556211967,47.2216373793252,"pa_136172",0.00803941908713693,0.00277335855871351,0.00212985425302286,0.00408444043166086,0.00514598640578992,0.00436214770411015,0.00405340378842316,0.00330834035247467,0.0039033893662338,0.0161823265271541,0.02041032372806,0.021062520550519,0.0194906596227853,0.0188285441815794,0.0163559708159998,0.015518552416263,0.0158655481114717,0.0141577569159029,0.300940438871473,0.101018010963195,0.0808466342817488,0.153544849197023,0.189704959196485,0.161146516811603,0.142002989536622,0.123558215985477,0.146074308132941,84.5,3.52083333333333,0.06189555,0.12,1,0.5,0.81,2.30999994,54.13999939,79.32251932,17.29999924,8.10000038,1475.91003418,"Very High",0.58089345,"Low",-0.26939117,"Low",-0.15126971,"Very Low",-0.24726863,"Very Low",-1.02290303,"Very Low",-0.37367268
15203,3.66974995760161,-122.385214433034,47.2654743321575,"pa_15203",0,0.0000214989035559186,0.00000955091593283796,0.00000537426372586956,0.0000137593219406148,0.0000232212121472741,0.000274355147147674,0.000134057984647297,0.000294831731441135,0.0116072185037702,0.0142279435116767,0.0126074498567335,0.0136678118267332,0.0150003902816476,0.0145309102139758,0.0132782846531477,0.0136950910284822,0.0156403745455115,0,0.0555990602975724,0.109451007644197,0.119435183369288,0.141835069662357,0.149891723943132,0.89668465690054,0.0535714285714286,0.0288660400682848,80.5,3.35416666666667,0.07898894,0.37,1,0.28999999,0.20999999,1.5,46,12.44943425,19.02000046,8.19999981,1531.70996094,"Very High",0.23822691,"Moderate",-0.01332839,"High",0.19144829,"Very Low",-0.32032141,"Very Low",-1.17520835,"Very Low",-0.84274552
152162,3.91343030826613,-122.568029453636,47.3356694024408,"pa_152162",0.0274896265560166,0.0262286623382207,0.0235621096063112,0.0215293004858334,0.0215918159553097,0.021460700248553,0.0173852148377112,0.0118582188993807,0.0109104672628736,0,0,0.000817323500399267,0.00176273483280487,0.00165954544066192,0.00186748413996034,0.00115491933063463,0.00270604507561574,0.00227829691201329,1,0.969435736677116,0.869337979094077,0.797379229415216,0.808227768719428,0.809567155277943,0.982976865997381,0.444551033059473,0.409973892823739,80,3.33333333333333,0,0.01,1,0.86000001,0.22,2.07999992,93.61000061,1.10125984,13.5,7.46000004,69.36000061,"High",0.08768595,"Low",-0.06916786,"Very High",0.61960378,"Very High",0.38807923,"Very High",1.04758251,"High",0.25469177
156499,4.46087974711739,-122.429219760075,47.300200463549,"pa_156499",0,0.000408479167562454,0.00413554659891884,0.00602454963669977,0.0061056991111478,0.00606847677448763,0.00862735131606616,0.00906396457945086,0.00732578911699482,0.027027027027027,0.0146937392814042,0.0121095401380995,0.0107034529487431,0.00922082814371867,0.00985668480414325,0.00967077905619017,0.00744562761075946,0.00640566694707591,0,0.0156985871271586,0.155316191799861,0.240258468768357,0.27945239889475,0.276708630270304,0.836228287841191,0.36493693206001,0.288221867802901,96.5,4.02083333333333,0.05221519,0.08,1,0,0.57999998,1.58000004,86.37999725,0.48762662,16.44000053,8.18000031,170.36000061,"Low",-0.10708135,"Moderate",-0.01723408,"Very High",0.8912809,"High",0.14563876,"Low",-0.36411292,"Very High",0.32534126
167047,4.80932714317876,-122.287830319732,47.057738516886,"pa_167047",0,0,0,0,0,0.000228771941895367,0.00371777025809595,0.00598347979911728,0.00897339322350363,0.017453189866983,0.0202832885181343,0.0190051200150312,0.0202052818523008,0.0205899022259629,0.0196327648862073,0.0119999193995692,0.00787181777875327,0.00661485041135372,0,0,0,0,0,0.00835374662395578,0,0.240275057598034,0.347250844356364,108.5,4.52083333333333,0.02364066,0.04,1,0.98000002,0,1.98000002,0,0,16.70000076,7.40999985,111.19999695,"Very Low",-0.3439209,"Very Low",-0.34633995,"High",0.24324937,"Low",-0.0816759,"High",0.37728323,"Very Low",-0.33865123
167065,5.17197081792129,-122.414498001308,47.1979028295585,"pa_167065",0,0,0,0,0.000123833897465533,0.00174503109062293,0.00266722225734083,0.00320863002307582,0.00337379417315744,0.00313479623824451,0.00268891194342699,0.00531730001409178,0.00639983907766091,0.00651600663818176,0.00792471688651958,0.0109964440362575,0.0118362825229843,0.0135055764294936,0,0,0,0,0.00477326968973747,0.0646538195970121,0.0897435897435897,0.120244895717267,0.128361038790257,131,5.45833333333333,0.22380952,0.3,1,1,0.03,2.02999997,63.83000183,32.31570881,23.14999962,8.13000011,482.82998657,"Very Low",-0.40776305,"Very Low",-0.30344981,"Very Low",-0.75587649,"Very Low",-0.39909899,"Low",-0.33165886,"Low",-0.19674675
167257,4.65832600293011,-122.2180929,47.0485833333333,"pa_167257",0.0120159059474412,0.0133508191082255,0.0165421863956753,0.017756567350273,0.0179421558105617,0.0181452271808588,0.0175959264711005,0.0185019369604959,0.0195844463656735,0.0169448445310514,0.0110944083335098,0.00748743482549674,0.00569051034614183,0.00499560508927268,0.00419229401887508,0.00457258970244654,0.00376316850462613,0.00276933454723373,0.443396226415094,0.496476115896633,0.613754775963876,0.65604223699648,0.662900188323917,0.670662440769448,0.502706883217324,0.69385600703247,0.738152170979511,98,4.08333333333333,0.06300813,0.09,1,0,0,1,89.88999939,0,16.77000046,7.36999989,20.40999985,"Very Low",-0.30111799,"Low",-0.07113451,"High",0.41633857,"High",0.14031869,"Very High",0.44999438,"High",0.20751301
167399,4.89921113625798,-122.321116028117,47.2650850080418,"pa_167399",0.00631051175656985,0.0109429419099626,0.0115470573628011,0.00953931811341846,0.0066182338534357,0.00274010303337834,0.00508245060209774,0.0070698654958721,0.0112291650451369,0,0,0.0000845507069378552,0.00379014456543028,0.00517208026905677,0.0103360707828246,0.00984831211032078,0.00658136888760866,0.0042665605531182,0.2375,0.447761194029851,0.45985401459854,0.371232876712329,0.291279215883388,0.213593146945307,0.938050757842792,0.315674302951087,0.471881634117225,98.5,4.10416666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167413,4.60235764581818,-122.495108333333,47.1973,"pa_167413",0,0.000429978071118373,0.00129892456686596,0.0013059460853863,0.00174399405597292,0.00445245241801622,0.00482486638087289,0.00511113535932539,0.00449307970529942,0.0219435736677116,0.0236708941161525,0.0210437315045329,0.0196706385546633,0.01903556314248,0.0173664994896448,0.0134049121720437,0.0124478603763465,0.0113835573286572,0,0.016380655226209,0.0489753386592567,0.0503724029792238,0.0716616465863454,0.167054020100503,0.0999286224125625,0.189149632036288,0.182893416827941,110.5,4.60416666666667,0.125,0.11,1,1,0.81,2.80999994,69,19.46337412,18.20000076,7.98000002,579.98999023,"Very High",0.29661069,"Low",-0.20837927,"Very Low",-0.67203036,"Low",-0.1422905,"Moderate",-0.15897919,"Moderate",0.03132563
