"long","lat","name","sensor_index","0.10m","1.10m","2.10m","0.20m","1.20m","2.20m","0.30m","1.30m","2.30m","0.40m","1.40m","2.40m","0.50m","1.50m","2.50m","0.100m","1.100m","2.100m","0.200m","1.200m","2.200m","0.400m","1.400m","2.400m","0.800m","1.800m","2.800m","cancov.10m","cancov.20m","cancov.30m","cancov.40m","cancov.50m","cancov.100m","cancov.200m","cancov.400m","cancov.800m"
-122.321116028117,47.2650850080418,"pa_167399",167399,244,76,0,703,513,57,1554,1228,95,3213,1783,114,5640,1928,390,25062,3202,3605,703,513,10132,348692,133779,27070,1077672,852306,110610,0.2375,0.447761194029851,0.45985401459854,0.371232876712329,0.291279215883388,0.213593146945307,0.938050757842792,0.315674302951087,0.471881634117225
-122.292193,47.172614,"pa_175733",175733,155,157,6,638,530,106,1708,884,288,3401,1124,583,5735,1402,825,20456,10035,1363,638,530,3294,339359,160666,9814,1349688,663925,25927,0.512578616352201,0.499215070643642,0.406944444444444,0.334181675802663,0.279703592062296,0.357820053996358,0.857014791573286,0.334380069002175,0.338239014679781
-122.3391022,47.1619391,"pa_71029",71029,320,0,0,1260,21,0,2359,521,0,3755,1352,0,5841,2113,0,24174,7624,60,1260,21,106,372123,134748,2735,1389611,635867,12719,0,0.0163934426229508,0.180902777777778,0.264734677893088,0.265652501885844,0.24119530416222,0.0915645277577505,0.269782930342264,0.318215560124954
-122.2180929,47.0485833333333,"pa_167257",167257,177,141,0,643,634,0,1112,1767,0,1759,3355,0,2685,5280,0,10495,21372,0,643,634,16,156022,348305,5309,533621,1476872,27412,0.443396226415094,0.496476115896633,0.613754775963876,0.65604223699648,0.662900188323917,0.670662440769448,0.502706883217324,0.69385600703247,0.738152170979511
-122.287830319732,47.057738516886,"pa_167047",167047,318,0,0,1275,0,0,2870,0,0,5094,0,0,7975,0,0,31576,266,0,1275,0,0,387130,112664,9772,1330652,683604,24279,0,0,0,0,0,0.00835374662395578,0,0.240275057598034,0.347250844356364
-122.627148877822,47.3297135827278,"pa_80321",80321,123,198,0,590,686,0,1541,1332,0,2737,2361,3,4063,3889,3,10475,21394,3,590,686,76,76614,432464,570,355704,1675364,7712,0.616822429906542,0.537617554858934,0.46362687086669,0.463438541462458,0.489252042740415,0.671341616465863,0.563609467455621,0.849672715285844,0.825530954786686
-122.601055860682,47.3532795995699,"pa_171237",171237,214,45,63,748,401,127,1591,1084,198,2737,2094,274,4122,3467,371,13680,17455,709,748,401,1808,240005,259430,10304,1067074,945459,26618,0.335403726708075,0.413793103448276,0.44622345979812,0.463858961802155,0.4821608040201,0.570405727923628,0.747040919851201,0.529161002002986,0.476706727456672
-122.568029453636,47.3356694024408,"pa_152162",152162,0,319,0,39,1237,0,375,2495,0,1036,4077,0,1529,6379,65,6067,25301,491,39,1237,1015,283139,222870,3739,1203006,820067,15830,1,0.969435736677116,0.869337979094077,0.797379229415216,0.808227768719428,0.809567155277943,0.982976865997381,0.444551033059473,0.409973892823739
-122.572146397448,47.3477292901501,"pa_96765",96765,0,319,0,0,1279,0,0,2881,0,0,5109,0,0,7970,0,145,31699,0,0,1279,1,87743,421643,353,469565,1554771,13873,1,1,1,1,1,0.995446551940711,1,0.827866810269569,0.7696188173048
-122.611690108564,47.2927573043486,"pa_205579",205579,319,0,0,1171,105,0,2603,275,0,4742,351,0,7485,483,0,28360,3503,0,1171,105,585,361646,143528,4463,1095838,930285,12739,0,0.0822884012539185,0.095552466990966,0.0689181229138033,0.0606174698795181,0.109939428176882,0.370768404083826,0.290385117250121,0.462524682886826
-122.532889,47.298695,"pa_135354",135354,317,0,0,1280,0,0,2683,197,0,4258,850,0,6231,1726,0,20868,10980,0,1280,0,2591,294261,211720,3713,1341377,689519,7966,0,0,0.0684027777777778,0.166405638214565,0.21691592308659,0.344762622456669,0.669336088865926,0.422671249808709,0.342095247250672
-122.618546978306,47.2997478973324,"pa_177455",177455,317,2,0,1159,121,0,2484,397,0,4089,1019,0,5418,2544,0,13554,18298,0,1159,121,27,157292,351746,605,750969,1280420,7210,0.00626959247648903,0.09453125,0.137799375216939,0.199490994518402,0.319517709118312,0.57446942107246,0.113236419280796,0.691368271515551,0.631624954196485
