"long","lat","name","sensor_index","0.10m","1.10m","2.10m","0.20m","1.20m","2.20m","0.30m","1.30m","2.30m","0.40m","1.40m","2.40m","0.50m","1.50m","2.50m","0.100m","1.100m","2.100m","0.200m","1.200m","2.200m","0.400m","1.400m","2.400m","0.800m","1.800m","2.800m","cancov.10m","cancov.20m","cancov.30m","cancov.40m","cancov.50m","cancov.100m","cancov.200m","cancov.400m","cancov.800m"
-122.544304482717,47.2534630639203,"pa_9732",9732,320,0,0,1232,47,0,2793,89,0,4964,140,0,7675,282,0,25635,6054,168,1232,47,2386,341127,152046,16551,1466691,510347,61866,0,0.0367474589523065,0.03088133240805,0.0274294670846395,0.0354404926479829,0.195310292871268,0.663847203274216,0.33076135320291,0.280647347790774
-122.375813255184,47.2751526257446,"pa_17663",17663,320,0,0,1258,18,0,2792,81,0,4942,167,0,7176,789,0,22879,8466,517,1258,18,7790,292536,201751,15190,1288733,699836,50382,0,0.0141065830721003,0.0281935259310825,0.0326874143668037,0.0990583804143126,0.281934592932019,0.8612397970439,0.425811174989254,0.367943123694488
-122.523087499146,47.2765416418931,"pa_98105",98105,236,83,0,1180,100,0,2726,145,1,4726,374,1,7390,531,40,24855,6891,96,1180,100,796,292541,213506,3583,1332781,690776,15815,0.260188087774295,0.078125,0.0508356545961003,0.0735149970594001,0.0717246577063183,0.219427171660072,0.431599229287091,0.425973745658615,0.346474797143434
-122.407949717369,47.2973729050092,"pa_194473",194473,319,0,0,1082,193,0,2285,595,0,3823,1289,0,5612,2355,3,23242,8489,122,1082,193,875,255152,250956,3537,1258632,765492,14806,0,0.151372549019608,0.206597222222222,0.252151799687011,0.295859473023839,0.27033560418171,0.496744186046512,0.499353471534107,0.38269974937835
-122.441356589767,47.2513239295534,"pa_171217",171217,318,0,0,1270,0,0,2876,0,0,5109,0,0,7954,7,0,27423,4431,0,1270,0,93,466800,42014,983,1878096,155836,5468,0,0,0,0,0.000879286521793744,0.139103409304954,0.0682318415260455,0.0843414143276638,0.0790938511326861
-122.429219760075,47.300200463549,"pa_156499",156499,321,0,0,1254,20,0,2431,447,0,3880,1137,90,5737,1794,431,23039,7145,1669,1254,20,6383,323785,170532,15530,1451327,552616,35073,0,0.0156985871271586,0.155316191799861,0.240258468768357,0.27945239889475,0.276708630270304,0.836228287841191,0.36493693206001,0.288221867802901
-122.385214433034,47.2654743321575,"pa_15203",15203,318,0,0,1206,1,70,2563,1,314,4490,1,608,6837,4,1126,27087,31,4745,1206,1,10466,482353,2494,24809,1979676,22508,36336,0,0.0555990602975724,0.109451007644197,0.119435183369288,0.141835069662357,0.149891723943132,0.89668465690054,0.0535714285714286,0.0288660400682848
-122.516855555556,47.2516388888889,"pa_171177",171177,317,0,0,1272,0,0,2707,167,0,4720,385,0,7338,492,140,28078,3266,504,1272,0,3337,422126,71982,15559,1615285,361464,62240,0,0,0.058107167710508,0.0754162585700294,0.079297365119197,0.118374780205978,0.724018225211543,0.17176116954796,0.207801022957946
-122.500919469976,47.2966605181099,"pa_174613",174613,318,0,0,1277,0,0,2872,0,0,5108,0,0,7967,0,0,31854,0,0,1277,0,2117,424020,70125,15469,1813543,202379,23156,0,0,0,0,0,0,0.623747790218032,0.167958494075908,0.110606362287269
-122.498634442274,47.2591889599772,"pa_177979",177979,322,0,0,1262,14,0,2714,163,0,4722,383,0,7207,756,0,29154,2706,0,1262,14,306,458099,48811,2623,1745747,283623,9710,0,0.0109717868338558,0.056656239137991,0.075024485798237,0.0949390933065428,0.0849340866290019,0.202275600505689,0.100943412889842,0.143855562312415
-122.454978126868,47.2535593182578,"pa_50485",50485,290,27,0,1057,222,0,2249,629,0,4246,864,0,6598,1314,52,25084,6646,111,1057,222,167,428006,80687,1049,1736064,298371,4416,0.0851735015772871,0.17357310398749,0.218554551772064,0.16908023483366,0.171521848317428,0.212210671775384,0.269017980636238,0.160347783780815,0.14850864531052
-122.501353228968,47.2443566964095,"pa_51969",51969,305,13,0,1104,171,0,2400,472,0,4443,657,0,7162,810,0,28528,3312,0,1104,171,1961,327530,166337,15554,1340894,648033,49204,0.0408805031446541,0.134117647058824,0.164345403899721,0.128823529411765,0.101605619668841,0.104020100502513,0.658838071693449,0.357054381346666,0.342096263684719
-122.495108333333,47.1973,"pa_167413",167413,316,0,0,1261,21,0,2738,141,0,4845,244,13,7397,516,55,26521,5263,56,1261,21,119,413288,96048,361,1665635,338155,34665,0,0.016380655226209,0.0489753386592567,0.0503724029792238,0.0716616465863454,0.167054020100503,0.0999286224125625,0.189149632036288,0.182893416827941
-122.403252086736,47.2357366006406,"pa_185377",185377,320,0,0,1100,178,0,2152,731,0,3605,1501,0,5562,2405,0,20269,11569,1,1100,178,507,410274,97003,2280,1539953,480740,18646,0,0.139280125195618,0.25355532431495,0.293967880924403,0.301870214635371,0.363390810012877,0.38375350140056,0.194841793950431,0.244876403579787
-122.448556211967,47.2216373793252,"pa_136172",136172,223,96,0,1148,129,0,2649,233,0,4322,784,0,6454,1511,0,26720,5133,0,1148,129,61,446569,62618,338,1741473,294058,3842,0.300940438871473,0.101018010963195,0.0808466342817488,0.153544849197023,0.189704959196485,0.161146516811603,0.142002989536622,0.123558215985477,0.146074308132941
-122.414498001308,47.1979028295585,"pa_167065",167065,319,0,0,1278,0,0,2885,0,0,5113,0,0,7923,38,0,29802,2060,0,1278,0,126,448471,60686,611,1776388,253396,8202,0,0,0,0,0.00477326968973747,0.0646538195970121,0.0897435897435897,0.120244895717267,0.128361038790257
-122.446942056569,47.1836640216342,"pa_173501",173501,320,0,0,1238,37,0,2697,180,0,4779,329,0,7371,593,0,28961,2908,0,1238,37,244,409771,89731,10232,1650582,360617,27248,0,0.0290196078431373,0.0625651720542232,0.0644087705559906,0.0744600703164239,0.0912485487464307,0.184990125082291,0.196108166220028,0.190274753280316
-122.462216666667,47.2544416666667,"pa_192199",192199,199,120,0,1156,125,0,2634,246,0,4532,576,0,7228,735,0,27410,4429,9,1156,125,87,432127,75750,1597,1709192,323245,5702,0.376175548589342,0.0975800156128025,0.0854166666666667,0.112764291307753,0.0923018962702499,0.139349409696056,0.154970760233918,0.151817364576014,0.161395763488162
-122.49867257298,47.1987537962193,"pa_7384",7384,285,33,0,912,363,0,2253,615,0,4016,1092,0,6421,1545,0,24984,6890,0,912,363,68,403788,104567,1293,1584727,429566,23600,0.10377358490566,0.284705882352941,0.214435146443515,0.213782302270948,0.193949284458951,0.216163644349627,0.320923306031273,0.207711989451543,0.222369869271841
-122.49165301654,47.2402785310818,"pa_224449",224449,0,321,0,0,1280,0,0,2877,0,0,5094,5,2,7591,364,1694,23811,6350,0,1280,18439,215785,272026,22054,1335871,636242,66444,1,1,1,1,0.999748648988312,0.946821535080835,1,0.576780128073117,0.344697744532039
-122.457029019513,47.1715721683244,"pa_94745",94745,260,59,0,1058,215,0,2374,495,0,4182,900,23,6794,1122,41,28728,3082,41,1058,215,520,430564,76269,2742,1618445,405193,14952,0.184952978056426,0.168892380204242,0.172533983966539,0.180803134182174,0.146160613296469,0.0980502966939814,0.409927495817066,0.155052740028455,0.206095879995487
-122.425320224551,47.2149180813833,"pa_183853",183853,318,0,0,1271,0,0,2863,9,0,5005,98,0,7029,938,0,24342,7415,93,1271,0,1816,412528,94649,2624,1698449,333428,7251,0,0,0.00313370473537604,0.0192043895747599,0.117735659595833,0.235729984301413,0.588273404599935,0.190805824233377,0.167070924434366
-122.480456655621,47.2684692734047,"pa_183863",183863,319,0,0,1137,140,0,2650,232,0,4728,376,0,7304,660,0,28217,3604,24,1137,140,547,412379,95867,1747,1576019,451553,12256,0,0.109631949882537,0.080499653018737,0.0736677115987461,0.0828729281767956,0.113926833097818,0.376644736842105,0.191402627094882,0.227376523902996
-122.437638888889,47.1733111111111,"pa_183883",183883,317,0,0,1162,38,76,2469,335,76,4402,625,76,7111,762,78,27716,4068,78,1162,38,553,415111,92524,1993,1627657,401813,9144,0,0.0893416927899686,0.142708333333333,0.137370174407211,0.105647088416551,0.130123658276317,0.337136337706788,0.185462729677333,0.201586470023261
-122.556395426113,47.1462073608558,"pa_183851",183851,262,59,0,1013,262,0,2183,694,0,4138,969,0,6583,1388,0,24809,6989,46,1013,262,663,400930,107108,1687,1438540,589509,10422,0.18380062305296,0.205490196078431,0.241223496697949,0.189739573134913,0.174131225693138,0.220920738600678,0.477296181630547,0.213438618863112,0.294304407568221
