"month","day","hour","avg_pm","avg_rh","pm2.5_corrected","sensor_index"
1,2,13,3.85,70,1.7334,"183467"
1,2,14,3.55,70,1.5762,"183467"
1,3,6,1.94137931034483,74.5862068965517,0.33795172413793,"183467"
1,3,7,1.78,71.3666666666667,0.530913333333333,"183467"
1,3,8,1.87,70.8666666666667,0.621173333333334,"183467"
1,3,9,2.05,72.6,0.566080000000001,"183467"
1,3,10,1.35666666666667,71,0.340693333333334,"183467"
1,3,11,0.788333333333333,69,0.215286666666667,"183467"
1,3,12,0.105,66.0333333333333,0.112946666666667,"183467"
1,3,13,0.0583333333333333,64.1333333333333,0.252273333333333,"183467"
1,3,14,0.673333333333333,63.4,0.637746666666668,"183467"
1,3,15,0.813333333333333,66.1666666666667,0.472619999999999,"183467"
1,3,16,0.77,70.8333333333333,0.0476466666666671,"183467"
1,3,17,1.26607142857143,70.7857142857143,0.311692857142857,"183467"
1,3,18,2.47115384615385,68.5384615384615,1.13686923076923,"183467"
1,3,19,1.475,67.6785714285714,0.689007142857142,"183467"
1,3,20,2.05555555555556,67.1481481481482,1.03894074074074,"183467"
1,3,21,2.31363636363636,67.6363636363636,1.13209090909091,"183467"
1,3,22,2.85,69.5,1.2525,"183467"
1,3,23,1.06833333333333,69.8,0.293046666666667,"183467"
1,4,0,0.103333333333333,71.3666666666667,-0.347659999999999,"183467"
1,4,1,0.02,71.3666666666667,-0.391326666666666,"183467"
1,4,2,0.0166666666666667,69.0666666666667,-0.194813333333332,"183467"
1,4,3,0.0316666666666667,67.1,-0.0174266666666654,"183467"
1,4,4,0.0133333333333333,67.0666666666667,-0.0241600000000002,"183467"
1,4,5,0.0233333333333333,69.7666666666667,-0.251659999999999,"183467"
1,4,6,0.0216666666666667,75.5333333333333,-0.74962,"183467"
1,4,7,0.01,74.8333333333333,-0.695393333333334,"183467"
1,4,8,0.065,74.6333333333333,-0.649333333333334,"183467"
1,4,9,0.0233333333333333,72.7666666666667,-0.51026,"183467"
1,4,10,0.075,71.5333333333333,-0.376873333333333,"183467"
1,4,11,0.09,68.6666666666667,-0.121906666666667,"183467"
1,4,12,0.13,65.4666666666667,0.174893333333333,"183467"
1,4,13,0.251724137931034,65.448275862069,0.240262068965517,"183467"
1,4,14,0.408333333333333,69.3333333333333,-0.0125666666666664,"183467"
1,4,15,0.273333333333333,71.6,-0.278693333333332,"183467"
1,4,16,0.536666666666667,70.4333333333333,-0.0401400000000001,"183467"
1,4,17,1.63833333333333,68.7,0.686546666666667,"183467"
1,4,18,2.28653846153846,68.9615384615385,1.00366153846154,"183467"
1,4,19,2.26724137931034,69.7241379310345,0.927813793103449,"183467"
1,4,20,1.88666666666667,69.0666666666667,0.785066666666667,"183467"
1,4,21,2.38214285714286,68.4642857142857,1.09662142857143,"183467"
1,4,22,0.996666666666667,68.5,0.367553333333333,"183467"
