"ID","radius_m","total_imp"
"GRIT01",5,1346.96945385289
"GRIT01",10,8806.91410836228
"GRIT01",25,159189932.497295
"GRIT01",50,159202989.845121
"GRIT01",100,159292060.044936
"GRIT01",200,159548761.403039
"GRIT01",400,160947174.49237
"GRIT01",800,166206540.086103
"GRIT03",5,1950.00537314645
"GRIT03",10,2527.27918969951
"GRIT03",25,159186353.950465
"GRIT03",50,159217394.376038
"GRIT03",100,159340581.628104
"GRIT03",200,159829698.45505
"GRIT03",400,161758575.425743
"GRIT03",800,167577667.127606
"GRIT06",5,22988.6859396401
"GRIT06",10,22988.6859396401
"GRIT06",25,159233381.198153
"GRIT06",50,159266201.614536
"GRIT06",100,159373836.175195
"GRIT06",200,159726353.981861
"GRIT06",400,160964305.297175
"GRIT06",800,168897375.726813
"GRIT07",5,2353.56587212788
"GRIT07",10,3552.47318883649
"GRIT07",25,159184762.044672
"GRIT07",50,159213310.468763
"GRIT07",100,159281267.018788
"GRIT07",200,159640063.476261
"GRIT07",400,161375905.8815
"GRIT07",800,165554159.633598
"GRIT09",5,159178880.712316
"GRIT09",10,159178880.712316
"GRIT09",25,159183704.186399
"GRIT09",50,159202420.0792
"GRIT09",100,159294769.806949
"GRIT09",200,159893755.733946
"GRIT09",400,161277904.777002
"GRIT09",800,170244018.703204
"GRIT10",5,1464.20464935889
"GRIT10",10,4563.09789993252
"GRIT10",25,159186377.504249
"GRIT10",50,159307740.719104
"GRIT10",100,159406221.118024
"GRIT10",200,159905322.476932
"GRIT10",400,161771871.367105
"GRIT10",800,167589634.917008
"GRIT11",5,159183526.84511
"GRIT11",10,159185813.159636
"GRIT11",25,159197941.569636
"GRIT11",50,159251968.819735
"GRIT11",100,159369390.696486
"GRIT11",200,159870817.320046
"GRIT11",400,161176834.577641
"GRIT11",800,166196577.98446
"GRIT12",5,5210.5140973967
"GRIT12",10,7380.06876975254
"GRIT12",25,159183916.906413
"GRIT12",50,159219691.325719
"GRIT12",100,159290615.590806
"GRIT12",200,159627192.202034
"GRIT12",400,161328646.093194
"GRIT12",800,167438286.363751
"GRIT13",5,5009.95332038119
"GRIT13",10,5009.95332038119
"GRIT13",25,35817.937887831
"GRIT13",50,159226542.321525
"GRIT13",100,159350892.748188
"GRIT13",200,159690852.340241
"GRIT13",400,160890105.447632
"GRIT13",800,164969754.045347
"GRIT14",5,9930.39817126855
"GRIT14",10,159186179.594604
"GRIT14",25,159189114.494921
"GRIT14",50,159219182.438749
"GRIT14",100,159336134.863825
"GRIT14",200,159666531.036057
"GRIT14",400,161022116.762221
"GRIT14",800,166309371.591475
"GRIT15",5,7174.19859624727
"GRIT15",10,159183423.395029
"GRIT15",25,159190113.146327
"GRIT15",50,159231952.4655
"GRIT15",100,159306254.665939
"GRIT15",200,159624831.493811
"GRIT15",400,161066335.79687
"GRIT15",800,167045886.927469
"GRIT16",5,2634.28220951183
"GRIT16",10,159181549.97058
"GRIT16",25,159189499.579644
"GRIT16",50,159232276.447012
"GRIT16",100,159321537.552913
"GRIT16",200,159619601.275676
"GRIT16",400,161538654.982391
"GRIT16",800,166129922.389888
"GRIT17",5,1660.99066537216
"GRIT17",10,2260.15759132657
"GRIT17",25,13793.0855024389
"GRIT17",50,159209914.90149
"GRIT17",100,159546034.126696
"GRIT17",200,160119057.430337
"GRIT17",400,161616261.486966
"GRIT17",800,166612407.154732
"GRIT18",5,18836.7991184363
"GRIT18",10,20547.7172123118
"GRIT18",25,159203187.540191
"GRIT18",50,159270703.901179
"GRIT18",100,159362662.493812
"GRIT18",200,159838940.748149
"GRIT18",400,161262572.790451
"GRIT18",800,166773751.303903
"GRIT19",5,32928.2616315569
"GRIT19",10,32928.2616315569
"GRIT19",25,159209177.458064
"GRIT19",50,159247697.396432
"GRIT19",100,159338235.210782
"GRIT19",200,160063577.213885
"GRIT19",400,160938962.098905
"GRIT19",800,164493721.037597
"GRIT20",400,159401532.827755
"GRIT20",800,161820528.395227
"GRIT21",5,159180200.852537
"GRIT21",10,159182233.170004
"GRIT21",25,159190156.242607
"GRIT21",50,159232599.367198
"GRIT21",100,159333927.446462
"GRIT21",200,159684717.660188
"GRIT21",400,160913103.331686
"GRIT21",800,166280654.865535
"GRIT22",5,2050.12203553571
"GRIT22",10,2886.93643261423
"GRIT22",25,159193370.985854
"GRIT22",50,159245598.781175
"GRIT22",100,159334933.59618
"GRIT22",200,159640042.12358
"GRIT22",400,160942493.019057
"GRIT22",800,166551980.854998
"GRIT23",5,24520.3965417691
"GRIT23",10,24520.3965417691
"GRIT23",25,68823.6005830912
"GRIT23",50,159264676.281626
"GRIT23",100,159346453.364722
"GRIT23",200,159566843.791631
"GRIT23",400,160869538.89751
"GRIT23",800,166413788.439222
"GRIT25",5,8748.57427987915
"GRIT25",10,13714.9487701797
"GRIT25",25,159196628.910554
"GRIT25",50,159230359.403991
"GRIT25",100,159313074.888999
"GRIT25",200,159644420.89503
"GRIT25",400,160905329.108808
"GRIT25",800,167085091.310118
"GRIT26",5,33218.8724962076
"GRIT26",10,33218.8724962076
"GRIT26",25,33218.8724962076
"GRIT26",50,159437629.382001
"GRIT26",100,159619477.742293
"GRIT26",200,166859255.040409
"GRIT26",400,169628036.223289
"GRIT26",800,175911946.470826
"GRIT31",10,159190239.449672
"GRIT31",25,159194522.285447
"GRIT31",50,159228762.713259
"GRIT31",100,159381962.44287
"GRIT31",200,159743853.706122
"GRIT31",400,160689602.579439
"GRIT31",800,165061578.647775
"GRIT33",10,15288.7015704752
"GRIT33",25,159197192.837053
"GRIT33",50,159221259.871847
"GRIT33",100,159334323.949187
"GRIT33",200,159551222.110478
"GRIT33",400,160497440.925683
"GRIT33",800,165814400.455317
"GRIT34",5,2957.42647190309
"GRIT34",10,5633.42461534861
"GRIT34",25,6013.92610634621
"GRIT34",50,6013.92610634621
"GRIT34",100,13915.4779776419
"GRIT34",200,159227253.470929
"GRIT34",400,161655238.590227
"GRIT34",800,168003028.495649
"GRIT35",5,10916.1188142872
"GRIT35",10,10916.1188142872
"GRIT35",25,159193626.231782
"GRIT35",50,159212293.981873
"GRIT35",100,159341234.15814
"GRIT35",200,159696178.711362
"GRIT35",400,161099419.78807
"GRIT35",800,166788858.060643
"GRIT36",5,18413.1023071056
"GRIT36",10,23925.3430670358
"GRIT36",25,34775.5617949042
"GRIT36",50,7298239.28423715
"GRIT36",100,7370479.77777817
"GRIT36",200,7588355.98858545
"GRIT36",400,8924327.96912018
"GRIT36",800,172484252.505793
