"sensor_index","year","month","day","hour","avg_pm","avg_rh","avg_temp","pm2.5_corrected"
177979,2025,1,1,0,45.7877419354839,54.9032258064516,52.9677419354839,25.0101187096774
177979,2025,1,1,1,25.3833333333333,55.25,53,14.2883166666667
177979,2025,1,1,10,15.5668181818182,56.2272727272727,53.8636363636364,9.06022181818182
177979,2025,1,1,11,10.3436666666667,54.9333333333333,54.8666666666667,6.434828
177979,2025,1,1,12,10.8433870967742,54.2258064516129,55.9032258064516,6.75767032258065
177979,2025,1,1,13,10.9168333333333,54.7333333333333,55.4333333333333,6.75240733333333
177979,2025,1,1,14,8.37758064516129,54.9354838709677,55.4838709677419,5.4044135483871
177979,2025,1,1,15,9.63133333333333,56.1333333333333,54.9333333333333,5.95812533333333
177979,2025,1,1,16,15.1377419354839,57.0645161290323,54.7096774193548,8.76321548387097
177979,2025,1,1,17,12.3301666666667,57.8666666666667,54.0666666666667,7.22290066666667
177979,2025,1,1,18,13.9024137931034,58.2758620689655,53.9310344827586,8.01148551724138
177979,2025,1,1,19,12.7901612903226,58.1935483870968,54,7.43576064516129
177979,2025,1,1,20,16.0681666666667,58.0333333333333,53.7666666666667,9.167246
177979,2025,1,1,21,23.8725,58.5714285714286,52.6428571428571,13.2103328571429
177979,2025,1,2,2,29.5026315789474,58.8947368421053,53,16.1326526315789
177979,2025,1,2,3,27.2008333333333,58.6,53.0666666666667,14.9519166666667
177979,2025,1,2,4,24.2932258064516,58.6774193548387,53.5161290322581,13.4216567741935
177979,2025,1,2,5,25.3018333333333,58.9,53.9,13.9309806666667
177979,2025,1,2,6,16.1167741935484,58.9354838709677,53.8709677419355,9.11495096774194
177979,2025,1,2,7,3.38966666666667,58.7333333333333,53.9333333333333,2.463372
177979,2025,1,2,8,3.54629032258065,58.0967741935484,54.0645161290323,2.60031419354839
177979,2025,1,2,9,6.19183333333333,57.9,54.7666666666667,4.00354066666667
177979,2025,1,2,10,8.37209677419355,57.3548387096774,55.5483870967742,5.19299161290323
177979,2025,1,2,11,10.1151666666667,57.5,56.8333333333333,6.09384733333333
177979,2025,1,2,12,9.34616666666667,56.7,57.1333333333333,5.75985133333333
177979,2025,1,2,13,13.8651612903226,57.5806451612903,56.6129032258064,8.05189290322581
177979,2025,1,2,14,12.681,57.5666666666667,56.9333333333333,7.43259733333333
177979,2025,1,2,15,8.06112903225806,58.0322580645161,57,4.97165096774194
177979,2025,1,2,16,6.72583333333333,58.3,57,4.24887666666667
177979,2025,1,2,17,6.8541935483871,58.2258064516129,56.9677419354839,4.32253290322581
177979,2025,1,2,18,9.74683333333333,57.7333333333333,56.6666666666667,5.88072733333333
177979,2025,1,2,19,10.9316129032258,57.0645161290323,56,6.55920387096774
177979,2025,1,2,20,6.1505,56.7666666666667,54.8,4.07957533333333
177979,2025,1,2,21,4.65306451612903,57.1612903225806,54.0645161290323,3.26090258064516
177979,2025,1,2,22,3.2875,57.5,53.3333333333333,2.51615
177979,2025,1,2,23,3.2405,56.65,53.75,2.564792
177979,2025,1,3,0,3.46064516129032,57.8387096774194,53.8709677419355,2.57768129032258
177979,2025,1,3,1,1.7455,55.9333333333333,54.4,1.84318866666667
177979,2025,1,3,2,1.36629032258065,55.4838709677419,54.8709677419355,1.6832264516129
177979,2025,1,3,3,1.32133333333333,56.7,54.2333333333333,1.55483866666667
177979,2025,1,3,4,1.31306451612903,57.5483870967742,54.1290322580645,1.47737483870968
177979,2025,1,3,5,0.850833333333333,61.6,53.5,0.885916666666667
177979,2025,1,3,6,0.511190476190476,62.4761904761905,53.3333333333333,0.632416190476191
177979,2025,1,3,7,0.076,62,53.4,0.445424
177979,2025,1,3,8,0,61.0645161290323,53.9677419354839,0.486238709677419
177979,2025,1,3,9,0.0253333333333333,61.6333333333333,54.6333333333333,0.450481333333333
177979,2025,1,3,10,0.0111290322580645,61.1612903225806,55.258064516129,0.483728387096773
177979,2025,1,3,11,0.233333333333333,60.8666666666667,56.3666666666667,0.62556
177979,2025,1,3,12,2.64322580645161,59.9677419354839,57.8064516129032,1.96583096774194
177979,2025,1,3,13,2.914,59.2666666666667,58.6333333333333,2.16814933333333
177979,2025,1,3,14,5.2685,59.6333333333333,58.1333333333333,3.37030066666667
177979,2025,1,3,15,8.05661290322581,60,58.1935483870968,4.79966516129032
177979,2025,1,3,16,11.466,59.6333333333333,58.3,6.61779066666667
177979,2025,1,3,17,13.3067741935484,58.9677419354839,56.4193548387097,7.63973032258064
177979,2025,1,3,18,18.2348333333333,59.6666666666667,56.6666666666667,10.161786
177979,2025,1,3,19,25.0393548387097,58.8064516129032,55.1290322580645,13.8015058064516
177979,2025,1,3,20,32.9065517241379,59.1034482758621,53.6206896551724,17.898315862069
177979,2025,1,3,21,41.4145833333333,58.6666666666667,52.75,22.394175
177979,2025,1,4,2,17.34,59.0909090909091,53.6363636363636,9.74252363636364
177979,2025,1,4,3,17.3701666666667,58.7333333333333,53.5666666666667,9.789154
177979,2025,1,4,4,13.6191935483871,59.0967741935484,53.9354838709677,7.79231548387097
177979,2025,1,4,5,9.2765,58.9666666666667,54.1,5.52795933333333
177979,2025,1,4,6,6.71838709677419,59.0322580645161,54.6451612903226,4.18185419354839
177979,2025,1,4,7,5.5935,58.9666666666667,54.3333333333333,3.59806733333333
177979,2025,1,4,8,7.03870967741936,59.3548387096774,54.6129032258064,4.32189677419355
177979,2025,1,4,9,6.59166666666667,59.4333333333333,55.8666666666667,4.08088
177979,2025,1,4,10,5.49583333333333,58.5,56.9333333333333,3.58711666666667
177979,2025,1,4,11,4.07838709677419,58.6129032258064,57.7096774193548,2.83464258064516
177979,2025,1,4,12,1.14133333333333,58.3333333333333,58.3666666666667,1.31972533333333
177979,2025,1,4,13,1.84838709677419,59.0645161290323,58.5161290322581,1.6271935483871
177979,2025,1,4,14,0.257166666666667,61.9333333333333,57.0666666666667,0.546102
177979,2025,1,4,15,2.24709677419355,61.5161290322581,57.0322580645161,1.62478838709677
177979,2025,1,4,16,2.87583333333333,60.5333333333333,56.9666666666667,2.03896333333333
