"ID","radius_m","total_imp","total_canopy","mean_treeht_ft","total_conifers","total_nonconifer","n_trees"
"GRIT01",5,1346.96945385289,0,NA,0,0,0
"GRIT01",10,8806.91410836228,26.290769939842,62.5175,1,0,1
"GRIT01",25,159189932.497295,72.4785507852212,62.5175,1,0,1
"GRIT01",50,159202989.845121,993.157783362298,40.9664375,5,11,16
"GRIT01",100,159292060.044936,6863.2180469367,38.114902027027,30,118,148
"GRIT01",200,159548761.403039,32317.6781908876,43.4194425113464,158,503,661
"GRIT01",400,160947174.49237,99767.3851566051,39.4779377797672,425,1809,2234
"GRIT01",800,166206540.086103,357873.658249852,34.27514146429,1216,7143,8359
"GRIT03",5,1950.00537314645,0,NA,0,0,0
"GRIT03",10,2527.27918969951,16.6107755014527,18.2255,0,1,1
"GRIT03",25,159186353.950465,264.100852408912,19.40253125,1,15,16
"GRIT03",50,159217394.376038,970.75418186665,23.8932625,3,37,40
"GRIT03",100,159340581.628104,4293.89373750714,26.6455340909091,15,117,132
"GRIT03",200,159829698.45505,21517.5191759487,38.8646291913215,108,399,507
"GRIT03",400,161758575.425743,89324.2211349203,40.456104805726,395,1561,1956
"GRIT03",800,167577667.127606,387352.235062592,40.9661162304291,1812,6555,8367
"GRIT05",5,886.37827461817,63.6010903278657,50.35925,0,2,2
"GRIT05",10,3813.17642832108,184.274188405194,43.910625,0,4,4
"GRIT05",25,159186722.682971,978.995709073279,48.8043333333333,2,22,24
"GRIT05",50,159253087.273941,2065.89847007436,37.7852372881356,5,54,59
"GRIT05",100,159351068.87832,7919.11019232607,28.8564129464286,25,199,224
"GRIT05",200,159791973.125868,25466.5753910141,27.6418288732394,65,645,710
"GRIT05",400,161685908.025786,100015.696390203,27.0823280583215,255,2557,2812
"GRIT05",800,168377166.379649,431558.050956924,30.9147921230176,1228,10185,11413
"GRIT06",5,22988.6859396401,0,NA,0,0,0
"GRIT06",10,22988.6859396401,0,NA,0,0,0
"GRIT06",25,159233381.198153,62.8579531615032,13.07075,0,2,2
"GRIT06",50,159266201.614536,443.182952904201,20.25055,0,10,10
"GRIT06",100,159373836.175195,3454.08278371767,25.5930164835165,9,82,91
"GRIT06",200,159726353.981861,23095.1290506973,30.1798315018315,69,477,546
"GRIT06",400,160964305.297175,120942.295247369,28.2304754231771,350,2722,3072
"GRIT06",800,168897375.726813,444664.321850905,33.0117877490136,1283,9108,10391
"GRIT07",5,2353.56587212788,0,NA,0,0,0
"GRIT07",10,3552.47318883649,0,NA,0,0,0
"GRIT07",25,159184762.044672,76.2792756114031,71.653,1,0,1
"GRIT07",50,159213310.468763,1046.32444351913,46.59840625,5,11,16
"GRIT07",100,159281267.018788,5183.32087483425,40.3669166666667,25,65,90
"GRIT07",200,159640063.476261,20674.9722296427,43.6206007751938,103,284,387
"GRIT07",400,161375905.8815,103845.596058027,53.9878654686741,704,1355,2059
"GRIT07",800,165554159.633598,592692.793413949,65.6631699828473,4535,7125,11660
"GRIT09",5,159178880.712316,31.4591860392175,NA,0,0,0
"GRIT09",10,159178880.712316,140.321008036479,54.675,0,1,1
"GRIT09",25,159183704.186399,588.93480591954,34.6821071428571,2,12,14
"GRIT09",50,159202420.0792,1919.52353002256,31.6039204545455,3,41,44
"GRIT09",100,159294769.806949,6554.3082117199,29.4736533742331,16,147,163
"GRIT09",200,159893755.733946,23328.1341927945,32.5660746753247,69,547,616
"GRIT09",400,161277904.777002,70150.2576601819,42.4665029177719,320,1565,1885
"GRIT09",800,170244018.703204,286543.986618378,41.6927659392383,1035,5976,7011
"GRIT10",5,1464.20464935889,0,NA,0,0,0
"GRIT10",10,4563.09789993252,0,NA,0,0,0
"GRIT10",25,159186377.504249,214.963720377777,34.53125,0,6,6
"GRIT10",50,159307740.719104,1673.54125274264,30.9712205882353,5,29,34
"GRIT10",100,159406221.118024,6314.03892242357,30.3247542857143,19,156,175
"GRIT10",200,159905322.476932,19299.1870977678,30.7199951923077,49,471,520
"GRIT10",400,161771871.367105,74291.2436647288,28.3116271013754,185,1778,1963
"GRIT10",800,167589634.917008,350162.831899646,34.0189608475648,882,7023,7905
"GRIT11",5,159183526.84511,0,NA,0,0,0
"GRIT11",10,159185813.159636,0,NA,0,0,0
"GRIT11",25,159197941.569636,0,NA,0,0,0
"GRIT11",50,159251968.819735,34.9657482965413,13.896,0,6,6
"GRIT11",100,159369390.696486,628.120264600856,18.8602972972973,2,35,37
"GRIT11",200,159870817.320046,17524.3344812455,34.3804410377358,89,335,424
"GRIT11",400,161176834.577641,87344.211223154,38.6370060913706,371,1599,1970
"GRIT11",800,166196577.98446,372482.889570656,37.4076286382833,1339,7422,8761
"GRIT12",5,5210.5140973967,0,NA,0,0,0
"GRIT12",10,7380.06876975254,0,NA,0,0,0
"GRIT12",25,159183916.906413,154.745775828284,22.456625,0,4,4
"GRIT12",50,159219691.325719,924.525420878424,25.037675,3,17,20
"GRIT12",100,159290615.590806,3703.60336664795,29.8482802197802,17,74,91
"GRIT12",200,159627192.202034,21314.1757750134,33.0217987012987,115,424,539
"GRIT12",400,161328646.093194,81947.7738980383,34.1064588974855,384,1684,2068
"GRIT12",800,167438286.363751,302920.364474923,34.9791333288824,1282,6207,7489
"GRIT13",5,5009.95332038119,0.374477501231013,12.686,0,1,1
"GRIT13",10,5009.95332038119,14.4864584158895,15.52125,0,4,4
"GRIT13",25,35817.937887831,165.94191390559,17.076,0,9,9
"GRIT13",50,159226542.321525,1507.80915153823,29.4001891891892,5,32,37
"GRIT13",100,159350892.748188,6008.32444530886,34.333048951049,18,125,143
"GRIT13",200,159690852.340241,21999.6868157818,33.7253224299065,67,468,535
"GRIT13",400,160890105.447632,71310.4069483876,30.8914756355932,272,1616,1888
"GRIT13",800,164969754.045347,487868.922383815,34.6774293363622,2035,10291,12326
"GRIT14",5,9930.39817126855,0,NA,0,0,0
"GRIT14",10,159186179.594604,47.1175760264891,24.996,0,1,1
"GRIT14",25,159189114.494921,196.058957394841,34.4164,0,5,5
"GRIT14",50,159219182.438749,1552.72818505893,29.1447837837838,3,34,37
"GRIT14",100,159336134.863825,6291.32029058815,31.8093402777778,21,123,144
"GRIT14",200,159666531.036057,21354.7183395533,29.2016303088803,46,472,518
"GRIT14",400,161022116.762221,84360.0909891305,29.6278373253493,201,1803,2004
