"Purple.Air.Name","DeviceID","sensor_index","ReadKey","Notes","Address","Long","Lat","Number.of.Trees","pm2.5est_sept","pm2.5.lwr","pm2.5_upr","hrsabove25est","hrsabove25.lwr","hrsabove25_upr"
"GRIT23","48:3f:da:26:d5:3c",183513,"6YIV9KDXTG8F53T2","","1047 E 43rd Street Ct, Tacoma, WA, 98404, USA",-122.4161099,47.21800193,"0","6.86039689211739","5.51480922809052","8.20590103843754",1.12535174720921e-08,0,Inf
"GRIT24","c4:5b:be:e7:8:a0",183545," J66EKJ818WYRZMZQ","","11416 Park Ave S, Tacoma, WA, 98444, USA",-122.4399858,47.15272915,"2","7.05253258711208","5.69638410730885","8.4088233286134",1.12535174718966e-08,0,Inf
"GRIT25","a4:e5:7c:27:6e:2",183637,"RKOK5NPZQEQ005US","","9048 S Yakima Ave, Tacoma, WA 98444",-122.4436343,47.17419709,"0","7.39091702267099","6.05327944726956","8.72855405764692",0.217391304347819,0.131057800454605,0.36059646234041
"GRIT26","c4:5b:be:e6:f8:2a",183493,"HYLZ0B1ODE3B2MM7","","4851 S Tacoma Way, Tacoma, WA 98409",-122.4832621,47.21201859,"6","6.57869070895747","5.24105313355171","7.91632774393518",0.062499999999998,0.0234573660883234,0.166525516347046
"GRIT31","c4:5b:be:e7:7:b",183641,"1J3VNV36TXMBG7J5","","4002 N 37th St, Tacoma, WA, 98407, USA",-122.4905417,47.28122931,"5","5.80920313733133","4.46477174933875","7.15346947668438",0.0374999999999988,0.0120945531565225,0.116271348085442
"GRIT32"," c4:5b:be:e6:f8:7b",183479," XV8WRNKJ4WM9ASN0","","316 S G St, Tacoma, WA, 98405, USA",-122.4483785,47.26041451,"3",NA,NA,NA,1.1253517471958e-08,0,Inf
"GRIT33"," 48:3f:da:26:c1:dc",183467,"V31P1CNKG7EEH1TH","","3614 n 34th st Tacoma 98407",-122.4844209,47.27818761,"2","5.06056596293505","3.72066106105241","6.40052055734874",0.0108695652173906,0.0015311249357958,0.0771638193938109
"GRIT34","c4:5b:be:e6:c6:35",183473,"HET6NSEDC3WVKODK","","TNC Annex, 1956 S Madison St, Tacoma, WA",-122.4912362,47.24073436,NA,"5.95790833859292","4.61892807768876","7.29689990913536",0.0568181818181804,0.0236493075718026,0.136507412545683
"GRIT35"," a4:e5:7c:27:78:6a",183487,"973UNR8CI35PQKZF","","4601 N 30th St, Tacoma, WA, 98407, USA",-122.4996313,47.27530093,"1","5.99932100930285","4.66168343389699","7.33695804429621",0.0329670329670318,0.0106325742035363,0.102216569745443
"GRIT36","c4:5b:be:e0:71:3e",183867," LHST4BH97UX74IAL","","212 browns point blvd",-122.3861623,47.28789452,"0","5.99053154989847","4.59334932504713","7.38807326650559",1.12535174719397e-08,0,Inf
"GRIT41","c4:5b:be:e6:c6:1e",183489," 8AQYOXSLH3FOIIPZ","",NA,NA,NA,NA,NA,NA,NA,1.12535174720929e-08,0,Inf
"N Tacoma N 9th and Stevens","A4:E5:7C:26:24:D4",177979,"","Hannah's house",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
