"long","lat","name","sensor_index","0.10m","1.10m","0.20m","1.20m","0.30m","1.30m","0.40m","1.40m","0.50m","1.50m","0.100m","1.100m","0.200m","1.200m","0.400m","1.400m","0.800m","1.800m","impcov.10m","impcov.20m","impcov.30m","impcov.40m","impcov.50m","impcov.100m","impcov.200m","impcov.400m","impcov.800m"
-122.321116028117,47.2650850080418,"pa_167399",167399,"320","0","1273","0","2868","9","4394","716","6434","1524","19687","12182","80951","46431","385431","124110","1718735","321853",0,0,8.45507069378552e-05,0.00379014456543028,0.00517208026905677,0.0103360707828246,0.00984831211032078,0.00658136888760866,0.0042665605531182
-122.292193,47.172614,"pa_175733",175733,"218","100","831","443","1832","1048","3367","1741","5108","2854","20560","11294","75001","52387","291564","218275","1181987","857553",0.00847242226552571,0.00937943299951303,0.00984546009676359,0.00921598001175157,0.0096857723673806,0.00958262874907411,0.0111116178097257,0.0115747989198516,0.0113679282219155
-122.3391022,47.1619391,"pa_71029",71029,"210","110","557","724","1753","1127","3483","1624","5358","2596","21745","10113","97880","29573","369815","139791","1427730","610467",0.00931966449207828,0.0153289153310326,0.0105876274132181,0.00859664074617148,0.00881018397537492,0.00858058478301633,0.00627262247288485,0.00741290901754655,0.0080924969510317
-122.2180929,47.0485833333333,"pa_167257",167257,"118","200","753","524","2082","797","4039","1075","6493","1472","26926","4941","105870","21558","438671","70965","1828997","208908",0.0169448445310514,0.0110944083335098,0.00748743482549674,0.00569051034614183,0.00499560508927268,0.00419229401887508,0.00457258970244654,0.00376316850462613,0.00276933454723373
-122.287830319732,47.057738516886,"pa_167047",167047,"112","206","317","958","847","2023","1277","3817","1908","6067","8703","23139","70930","56575","361121","148445","1539536","498999",0.017453189866983,0.0202832885181343,0.0190051200150312,0.0202052818523008,0.0205899022259629,0.0196327648862073,0.0119999193995692,0.00787181777875327,0.00661485041135372
-122.627148877822,47.3297135827278,"pa_80321",80321,"292","29","1016","260","1951","922","3357","1744","5473","2482","24288","7584","107623","19766","453059","56589","1836029","202751",0.00245700245700246,0.00550485909677966,0.00866175019963361,0.0092318605057408,0.00842329608123288,0.0064348022341932,0.00419249503936164,0.00300083058561668,0.0026877158786939
-122.601055860682,47.3532795995699,"pa_171237",171237,"134","188","579","697","1336","1537","2507","2598","4133","3827","19666","12178","93738","33634","396137","113602","1438881","600270",0.0159281538591883,0.014757256886367,0.0144393818403871,0.0137525077946758,0.0129878944814175,0.0103326768997897,0.00713398655033338,0.00602414526122085,0.00795732307364002
-122.568029453636,47.3356694024408,"pa_152162",152162,"319","0","1276","0","2783","87","4780","333","7484","489","29658","2201","121920","5445","458718","51030","1867037","171866",0,0,0.000817323500399267,0.00176273483280487,0.00165954544066192,0.00186748413996034,0.00115491933063463,0.00270604507561574,0.00227829691201329
-122.572146397448,47.3477292901501,"pa_96765",96765,"319","0","1279","0","2881","0","5109","0","7970","0","31844","0","125807","1604","481694","28045","1865836","172373",0,0,0,0,0,0,0.000340218660484472,0.00148718467853505,0.0022850178255994
-122.611690108564,47.2927573043486,"pa_205579",205579,"132","187","689","587","1703","1175","3428","1665","5415","2553","24479","7384","110726","16644","424848","84789","1728697","310165",0.0158434296365331,0.0124282780377295,0.0110385645168867,0.00881367416402433,0.00866425257670731,0.0062651080824476,0.00353029886851843,0.00449623468384055,0.00411162162216262
-122.532889,47.298695,"pa_135354",135354,"206","111","779","501","1971","909","3843","1265","6345","1612","28297","3551","119757","7673","485099","24595","1849718","189144",0.00940438871473354,0.0106074400287946,0.00853962140072338,0.00669627496545993,0.00547073057330677,0.00301291966424315,0.00162749238272902,0.00130423630481617,0.00250733822353369
-122.618546978306,47.2997478973324,"pa_177455",177455,"189","130","524","756","1242","1639","2505","2603","4599","3363","24236","7616","107447","20047","450180","59463","1763149","275450",0.0110141489451834,0.0160064364506362,0.0153976231856827,0.0137789752846579,0.0114131928771902,0.0064619532984725,0.00425209693686547,0.00315323453520163,0.00365143125699126
-122.544304482717,47.2534630639203,"pa_9732",9732,"80","240","903","376","1721","1161","2760","2344","3920","4037","16023","15834","64881","62563","312475","197249","1380447","658457",0.0203338134372617,0.00796087315534289,0.0109070411949833,0.0124079593035874,0.0137005827074686,0.0134346859936993,0.0132700125036721,0.0104598213819347,0.00872866389974476
-122.375813255184,47.2751526257446,"pa_17663",17663,"106","214","527","749","1081","1792","2201","2908","3723","4242","20986","10876","93550","33874","360761","148716","1417041","621910",0.018130983648225,0.0158582287057229,0.0168349852036263,0.0153934921735632,0.0143963021662328,0.0092279679719258,0.00718489208556796,0.00788618850608017,0.00824418810323265
-122.523087499146,47.2765416418931,"pa_98105",98105,"145","174","446","834","1113","1759","2067","3034","3617","4344","16794","15048","77791","49595","337159","172471","1286778","752594",0.0147420147420147,0.0176578941796701,0.0165249659448541,0.016060472921111,0.0147424650188862,0.012767787977339,0.01051941674983,0.00914588085903435,0.00997656654719215
-122.407949717369,47.2973729050092,"pa_194473",194473,"63","256","497","778","1241","1639","2529","2583","4549","3421","16365","15488","72637","54795","353940","155705","1402999","635931",0.0216894009997458,0.0164722322203637,0.0153976231856827,0.0136731053247296,0.0116100305777187,0.0131411151111794,0.011622370013246,0.00825680479127473,0.00843005384167619
-122.441356589767,47.2513239295534,"pa_171217",171217,"0","318","0","1270","0","2876","0","5109","19","7942","6471","25383","17211","110140","66873","442924","613073","1426327",0.0269423028043718,0.0268891194342699,0.0270186481281413,0.0270444812636638,0.0269531899585623,0.021536733268793,0.023361398544738,0.0234876015887131,0.018907732766348
-122.429219760075,47.300200463549,"pa_156499",156499,"2","319","580","694","1589","1289","3085","2022","5245","2717","20236","11617","81877","45594","369439","140408","1555797","483219",0.027027027027027,0.0146937392814042,0.0121095401380995,0.0107034529487431,0.00922082814371867,0.00985668480414325,0.00967077905619017,0.00744562761075946,0.00640566694707591
-122.385214433034,47.2654743321575,"pa_15203",15203,"181","137","605","672","1536","1342","2517","2582","3547","4420","14737","17126","64820","62602","251397","258259","858670","1179850",0.0116072185037702,0.0142279435116767,0.0126074498567335,0.0136678118267332,0.0150003902816476,0.0145309102139758,0.0132782846531477,0.0136950910284822,0.0156403745455115
-122.516855555556,47.2516388888889,"pa_171177",171177,"0","317","57","1215","479","2395","839","4266","1070","6900","8277","23571","52573","74815","247374","262293","994674","1044315",0.0268575785817165,0.0257246300099511,0.0224998825684626,0.0225820624526894,0.0234168988559657,0.0199993042539778,0.0158687400773976,0.013909008054448,0.0138436900822103
-122.500919469976,47.2966605181099,"pa_174613",174613,"0","318","0","1277","0","2872","52","5056","199","7768","5410","26444","75225","52184","383469","126145","1549060","490018",0.0269423028043718,0.0270373271791832,0.0269810700361689,0.0267639258698541,0.026362676856977,0.0224369607438034,0.0110685602111731,0.00668928191384574,0.00649579612157685
-122.498634442274,47.2591889599772,"pa_177979",177979,"147","175","776","500","1545","1332","2932","2173","4442","3521","16082","15778","65160","62272","257214","252319","1042485","996595",0.01482673896467,0.010586267493807,0.0125135046268026,0.0115027711462011,0.0119494059234573,0.0133871716312105,0.0132082895422002,0.013380101654601,0.0132111023182472
-122.454978126868,47.2535593182578,"pa_50485",50485,"91","226","434","845","917","1961","1785","3325","3107","4857","13929","17912","54601","72864","184198","325544","739235","1299616",0.0191476743200881,0.0178907920645339,0.0184226595894593,0.0176008808380666,0.0164834605425254,0.0151978082303361,0.0154549204972198,0.0172631146011415,0.0172280213631728
-122.501353228968,47.2443566964095,"pa_51969",51969,"149","169","702","573","1274","1598","2294","2806","3468","4504","13969","17871","66611","60794","302864","206557","1227997","810134",0.0143183936287385,0.0121318625479029,0.0150124477429659,0.0148535553779293,0.015285465572068,0.0151630209292282,0.0128947962877138,0.0109534107913769,0.0107393305861367
-122.495108333333,47.1973,"pa_167413",167413,"57","259","164","1118","639","2240","1386","3716","2359","5609","11372","20468","64238","63199","274958","234739","1179723","858732",0.0219435736677116,0.0236708941161525,0.0210437315045329,0.0196706385546633,0.01903556314248,0.0173664994896448,0.0134049121720437,0.0124478603763465,0.0113835573286572
-122.403252086736,47.2357366006406,"pa_185377",185377,"0","320","30","1248","477","2406","1203","3903","2148","5819","14153","17686","69421","57976","257969","251588","1211978","827361",0.0271117512496823,0.0264233236645424,0.0226032223213866,0.0206605226799922,0.0197482513685311,0.0150060538388635,0.0122970804615011,0.0133413378107782,0.0109676958294266
-122.448556211967,47.2216373793252,"pa_136172",136172,"128","191","313","964","640","2242","1424","3682","2417","5548","12576","19277","54266","73164","210336","299189","971366","1068007",0.0161823265271541,0.02041032372806,0.021062520550519,0.0194906596227853,0.0188285441815794,0.0163559708159998,0.015518552416263,0.0158655481114717,0.0141577569159029
-122.414498001308,47.1979028295585,"pa_167065",167065,"282","37","1151","127","2319","566","3904","1209","6041","1920","22522","9340","75552","51844","286562","223206","1019177","1018809",0.00313479623824451,0.00268891194342699,0.00531730001409178,0.00639983907766091,0.00651600663818176,0.00792471688651958,0.0109964440362575,0.0118362825229843,0.0135055764294936
-122.446942056569,47.1836640216342,"pa_173501",173501,"55","265","112","1163","316","2561","693","4415","1612","6352","11350","20519","67944","59513","306128","203606","1190623","847824",0.0224519190036431,0.0246236581905952,0.0240593733853164,0.0233707936541546,0.021557121961318,0.01740977149834,0.0126230879933992,0.0107969236462046,0.0112389582647571
-122.462216666667,47.2544416666667,"pa_192199",192199,"266","53","675","606","1027","1853","1627","3481","2516","5447","11336","20512","44770","82640","213604","295870","877608","1160531",0.00449038380072863,0.0128305562024941,0.0174080511062051,0.0184266665255067,0.0184857750823834,0.0174038322030289,0.0175284726324419,0.0156895464731027,0.015384277248529
-122.49867257298,47.1987537962193,"pa_7384",7384,"158","160","845","430","1489","1379","2759","2349","4405","3561","19045","12829","74708","52688","289661","219987","1215904","821989",0.0135558756248411,0.00910419004467405,0.012955047207478,0.0124344267935695,0.0120851560617527,0.0108850313637216,0.0111754618351658,0.0116655837360275,0.0108964833091414
-122.49165301654,47.2402785310818,"pa_224449",224449,"321","0","1280","0","2877","0","5099","0","7948","9","31324","531","121163","6268","391003","118862","1209115","829442",0,0,0,0,3.0543781116477e-05,0.000450537972884572,0.0013294828952099,0.00630307524549948,0.0109952820644812
-122.457029019513,47.1715721683244,"pa_94745",94745,"319","0","1083","190","2230","639","3793","1312","5415","2542","17738","14113","68849","58625","265452","244123","1156122","882468",0,0.00402278164764667,0.00600310019258772,0.00694506937129124,0.00862692128867606,0.0119744678179284,0.0124347375130313,0.0129454799528619,0.0116982074369017
-122.425320224551,47.2149180813833,"pa_183853",183853,"198","120","755","516","1510","1362","2504","2599","4382","3585","20077","11773","87661","39767","300317","209484","1144852","894276",0.0101669067186309,0.0109250280536089,0.0127953403165954,0.0137578012926722,0.01216660614473,0.00998904624250482,0.00843483508197382,0.0111086252522102,0.011854737116635
-122.480456655621,47.2684692734047,"pa_183863",183863,"96","223","684","593","1379","1503","2586","2518","3765","4199","14585","17260","60100","67386","239003","270990","1005658","1034170",0.0188935016521223,0.0125553132476551,0.0141199680586218,0.0133290279549629,0.0142503707675652,0.0146446052956454,0.0142930016554904,0.0143701970417619,0.013709205529289
-122.437638888889,47.1733111111111,"pa_183883",183883,"158","159","938","338","2004","876","3539","1564","5162","2789","18404","13458","74640","52803","254586","255042","1124112","914502",0.0134711514021859,0.00715631682581355,0.00822960214195124,0.00827903086638682,0.00946517839265049,0.0114187194709615,0.011199854070799,0.0135244982985536,0.0121228578231295
-122.556395426113,47.1462073608558,"pa_183851",183851,"119","202","941","334","2221","656","3550","1557","5342","2629","20752","11092","72659","54755","296661","213064","1297375","741096",0.0171142929763619,0.0070716266858631,0.00616280708347034,0.00824197638041194,0.00892217783946867,0.00941123765581105,0.0116138857573736,0.0112984673327649,0.00982414630180139
