UTCDateTime,mac_address,current_temp_f,current_humidity,pm2_5_atm_a,pm2_5_atm_b
2025/07/01T23:33:29z,c4:5b:be:e6:ce:64,112,18,1.49,2.37
2025/07/01T23:35:29z,c4:5b:be:e6:ce:64,113,18,1.81,2.05
2025/07/01T23:37:29z,c4:5b:be:e6:ce:64,114,18,1.55,2.07
2025/07/01T23:39:29z,c4:5b:be:e6:ce:64,114,18,1.97,1.86
2025/07/01T23:41:29z,c4:5b:be:e6:ce:64,113,18,2.07,2.33
2025/07/01T23:43:29z,c4:5b:be:e6:ce:64,113,17,2.19,2.03
2025/07/01T23:45:29z,c4:5b:be:e6:ce:64,113,17,1.69,1.83
2025/07/01T23:47:29z,c4:5b:be:e6:ce:64,114,17,1.74,2.02
2025/07/01T23:49:29z,c4:5b:be:e6:ce:64,114,17,1.68,2
2025/07/01T23:51:29z,c4:5b:be:e6:ce:64,115,17,1.54,1.95
2025/07/01T23:53:29z,c4:5b:be:e6:ce:64,114,18,1.84,2
2025/07/01T23:55:29z,c4:5b:be:e6:ce:64,113,17,1.03,2
2025/07/01T23:57:29z,c4:5b:be:e6:ce:64,110,18,1.25,2
2025/07/01T23:59:29z,c4:5b:be:e6:ce:64,113,17,1.62,1.65
2025/07/02T00:01:29z,c4:5b:be:e6:ce:64,113,17,1.3,1.69
2025/07/02T00:03:29z,c4:5b:be:e6:ce:64,114,17,1.04,1.54
2025/07/02T00:05:29z,c4:5b:be:e6:ce:64,111,17,1.17,1.79
2025/07/02T00:07:29z,c4:5b:be:e6:ce:64,113,17,1.14,1.7
2025/07/02T00:09:29z,c4:5b:be:e6:ce:64,113,17,1.1,2
2025/07/02T00:11:29z,c4:5b:be:e6:ce:64,114,17,0.82,1.7
2025/07/02T00:13:29z,c4:5b:be:e6:ce:64,113,16,0.69,1.44
2025/07/02T00:15:29z,c4:5b:be:e6:ce:64,111,16,0.42,1.04
2025/07/02T00:17:29z,c4:5b:be:e6:ce:64,112,16,0.29,0.76
2025/07/02T00:19:29z,c4:5b:be:e6:ce:64,113,15,0.46,0.93
2025/07/02T00:21:29z,c4:5b:be:e6:ce:64,112,15,0.53,0.71
2025/07/02T00:23:29z,c4:5b:be:e6:ce:64,111,15,0.07,0.18
2025/07/02T00:25:29z,c4:5b:be:e6:ce:64,111,15,0,0.19
2025/07/02T00:27:29z,c4:5b:be:e6:ce:64,110,15,0,0.02
2025/07/02T00:29:29z,c4:5b:be:e6:ce:64,111,15,0,0.22
2025/07/02T00:31:29z,c4:5b:be:e6:ce:64,110,15,0.05,0.34
2025/07/02T00:33:29z,c4:5b:be:e6:ce:64,108,15,0.07,0.09
2025/07/02T00:35:29z,c4:5b:be:e6:ce:64,109,15,0,0.25
2025/07/02T00:37:29z,c4:5b:be:e6:ce:64,107,15,0.09,0.16
2025/07/02T00:39:29z,c4:5b:be:e6:ce:64,107,15,0.02,0.17
2025/07/02T00:41:29z,c4:5b:be:e6:ce:64,106,16,0,0.2
2025/07/02T00:43:29z,c4:5b:be:e6:ce:64,106,16,0,0.21
2025/07/02T00:45:29z,c4:5b:be:e6:ce:64,105,16,0,0.25
2025/07/02T00:47:29z,c4:5b:be:e6:ce:64,105,17,0,0.22
2025/07/02T00:49:29z,c4:5b:be:e6:ce:64,103,17,0,0.39
2025/07/02T00:51:29z,c4:5b:be:e6:ce:64,103,17,0,0
2025/07/02T00:53:29z,c4:5b:be:e6:ce:64,102,17,0,0.11
2025/07/02T00:55:29z,c4:5b:be:e6:ce:64,101,18,0.16,0.32
2025/07/02T00:57:29z,c4:5b:be:e6:ce:64,101,18,0.21,0.34
2025/07/02T00:59:29z,c4:5b:be:e6:ce:64,101,18,0,0.07
2025/07/02T01:01:29z,c4:5b:be:e6:ce:64,100,18,0.05,0
2025/07/02T01:03:29z,c4:5b:be:e6:ce:64,100,19,0,0.07
2025/07/02T01:05:29z,c4:5b:be:e6:ce:64,100,19,0.14,0.49
2025/07/02T01:07:29z,c4:5b:be:e6:ce:64,99,20,0.18,0.58
2025/07/02T01:09:29z,c4:5b:be:e6:ce:64,97,21,0.92,0.64
2025/07/02T01:11:29z,c4:5b:be:e6:ce:64,98,21,0.59,0.55
2025/07/02T01:13:29z,c4:5b:be:e6:ce:64,98,21,0.79,0.59
2025/07/02T01:15:29z,c4:5b:be:e6:ce:64,98,21,1.48,0.58
2025/07/02T01:17:29z,c4:5b:be:e6:ce:64,97,21,1.38,0.86
2025/07/02T01:19:29z,c4:5b:be:e6:ce:64,97,21,1.08,0.68
2025/07/02T01:21:29z,c4:5b:be:e6:ce:64,97,21,1.24,0.62
2025/07/02T01:23:29z,c4:5b:be:e6:ce:64,96,21,0.72,0.76
2025/07/02T01:25:29z,c4:5b:be:e6:ce:64,96,21,0.93,0.17
2025/07/02T01:27:29z,c4:5b:be:e6:ce:64,96,21,0.87,0.09
2025/07/02T01:29:29z,c4:5b:be:e6:ce:64,96,21,0.79,0.12
2025/07/02T01:31:29z,c4:5b:be:e6:ce:64,96,20,0.95,0.02
2025/07/02T01:33:30z,c4:5b:be:e6:ce:64,95,20,0.9,0.09
2025/07/02T01:35:30z,c4:5b:be:e6:ce:64,95,19,0.49,0
2025/07/02T01:37:30z,c4:5b:be:e6:ce:64,94,19,0.44,0.05
2025/07/02T01:39:30z,c4:5b:be:e6:ce:64,95,19,0.64,0
2025/07/02T01:41:30z,c4:5b:be:e6:ce:64,94,20,0.15,0.35
2025/07/02T01:43:30z,c4:5b:be:e6:ce:64,94,20,0.64,0
2025/07/02T01:45:30z,c4:5b:be:e6:ce:64,94,20,0.82,0.14
2025/07/02T01:47:30z,c4:5b:be:e6:ce:64,95,21,0.32,0
2025/07/02T01:49:30z,c4:5b:be:e6:ce:64,94,21,0.81,0.25
2025/07/02T01:51:30z,c4:5b:be:e6:ce:64,94,21,0.95,0
2025/07/02T01:53:30z,c4:5b:be:e6:ce:64,94,21,0.96,0.02
2025/07/02T01:55:30z,c4:5b:be:e6:ce:64,94,21,0.76,0
2025/07/02T01:57:30z,c4:5b:be:e6:ce:64,93,22,0.81,0.35
2025/07/02T01:59:30z,c4:5b:be:e6:ce:64,93,22,0.93,0.58
2025/07/02T02:01:30z,c4:5b:be:e6:ce:64,94,22,0.82,0.59
2025/07/02T02:03:30z,c4:5b:be:e6:ce:64,93,22,1.25,0.62
2025/07/02T02:05:30z,c4:5b:be:e6:ce:64,92,23,1.07,0.54
2025/07/02T02:07:30z,c4:5b:be:e6:ce:64,93,23,0.88,0.6
2025/07/02T02:09:30z,c4:5b:be:e6:ce:64,92,23,0.96,0.02
2025/07/02T02:11:30z,c4:5b:be:e6:ce:64,93,23,1.27,0.36
2025/07/02T02:13:30z,c4:5b:be:e6:ce:64,93,23,0.65,0.95
2025/07/02T02:15:30z,c4:5b:be:e6:ce:64,92,24,1.17,0.62
2025/07/02T02:17:30z,c4:5b:be:e6:ce:64,93,24,1.04,0.78
2025/07/02T02:19:30z,c4:5b:be:e6:ce:64,92,24,1,0.97
2025/07/02T02:21:30z,c4:5b:be:e6:ce:64,93,24,0.62,0.6
2025/07/02T02:23:30z,c4:5b:be:e6:ce:64,93,25,1.19,0.62
2025/07/02T02:25:30z,c4:5b:be:e6:ce:64,92,25,1.33,0.42
2025/07/02T02:27:30z,c4:5b:be:e6:ce:64,92,25,0.91,0.41
2025/07/02T02:29:30z,c4:5b:be:e6:ce:64,92,25,1.41,0.67
2025/07/02T02:31:30z,c4:5b:be:e6:ce:64,92,25,1.48,1.11
2025/07/02T02:33:30z,c4:5b:be:e6:ce:64,92,25,4.88,4.79
2025/07/02T02:35:30z,c4:5b:be:e6:ce:64,92,25,2.49,1.34
2025/07/02T02:37:30z,c4:5b:be:e6:ce:64,91,25,1.47,0.38
2025/07/02T02:39:30z,c4:5b:be:e6:ce:64,92,26,0.93,0.58
2025/07/02T02:41:30z,c4:5b:be:e6:ce:64,91,26,1.26,0.37
2025/07/02T02:43:30z,c4:5b:be:e6:ce:64,92,26,1.32,0.81
2025/07/02T02:45:30z,c4:5b:be:e6:ce:64,91,26,1.31,0.72
2025/07/02T02:47:30z,c4:5b:be:e6:ce:64,91,26,1.18,0.88
2025/07/02T02:49:30z,c4:5b:be:e6:ce:64,92,26,1.95,0.65
