"ID","radius_m","total_canopy"
"GRIT01",10,26.2907699356617
"GRIT01",25,72.4785507935071
"GRIT01",50,993.157783294749
"GRIT01",100,6863.21804680826
"GRIT01",200,32317.6781910362
"GRIT01",400,99767.385156513
"GRIT01",800,357873.658250254
"GRIT03",10,16.6107755005682
"GRIT03",25,264.10085239182
"GRIT03",50,970.754181840461
"GRIT03",100,4293.8937374449
"GRIT03",200,21517.5191755807
"GRIT03",400,89324.2211342074
"GRIT03",800,387352.23506112
"GRIT06",25,62.8579531750088
"GRIT06",50,443.182952962676
"GRIT06",100,3454.0827838801
"GRIT06",200,23095.1290507962
"GRIT06",400,120942.295248289
"GRIT06",800,444664.321852205
"GRIT07",25,76.2792756131937
"GRIT07",50,1046.32444342821
"GRIT07",100,5183.32087483698
"GRIT07",200,20674.9722294824
"GRIT07",400,103845.596057723
"GRIT07",800,592692.793414563
"GRIT09",5,31.4591860221498
"GRIT09",10,140.321007992366
"GRIT09",25,588.934805835272
"GRIT09",50,1919.52352993171
"GRIT09",100,6554.30821175494
"GRIT09",200,23328.1341928203
"GRIT09",400,70150.2576601566
"GRIT09",800,286543.986618419
"GRIT10",25,214.963720392024
"GRIT10",50,1673.54125274827
"GRIT10",100,6314.03892251399
"GRIT10",200,19299.1870979928
"GRIT10",400,74291.243665281
"GRIT10",800,350162.831900238
"GRIT11",50,34.9657483021966
"GRIT11",100,628.120264626307
"GRIT11",200,17524.3344811646
"GRIT11",400,87344.2112227027
"GRIT11",800,372482.889571593
"GRIT12",25,154.74577585561
"GRIT12",50,924.525420887225
"GRIT12",100,3703.60336659683
"GRIT12",200,21314.1757751688
"GRIT12",400,81947.7738983875
"GRIT12",800,302920.364476066
"GRIT13",5,0.374477501717784
"GRIT13",10,14.4864584178767
"GRIT13",25,165.941913917105
"GRIT13",50,1507.80915150538
"GRIT13",100,6008.3244453159
"GRIT13",200,21999.686815648
"GRIT13",400,71310.406948563
"GRIT13",800,487868.922384443
"GRIT14",10,47.1175760433634
"GRIT14",25,196.058957409023
"GRIT14",50,1552.72818503941
"GRIT14",100,6291.32029068615
"GRIT14",200,21354.7183393784
"GRIT14",400,84360.0909887666
"GRIT14",800,325706.585317981
"GRIT15",25,55.6986441934909
"GRIT15",50,1302.47984771656
"GRIT15",100,7125.21659768738
"GRIT15",200,24387.7084965207
"GRIT15",400,77160.2513093601
"GRIT15",800,318019.588692354
"GRIT16",5,19.7521140848731
"GRIT16",10,109.574087510423
"GRIT16",25,279.381386038298
"GRIT16",50,1410.85786778653
"GRIT16",100,4768.1617576993
"GRIT16",200,21313.6182699567
"GRIT16",400,81320.745185803
"GRIT16",800,349948.177356786
"GRIT17",25,6.4346027269168
"GRIT17",50,1296.75294091222
"GRIT17",100,6420.93998822497
"GRIT17",200,15871.6481983358
"GRIT17",400,59637.6739244798
"GRIT17",800,283260.787329116
"GRIT18",5,35.3942256392509
"GRIT18",10,124.786531855923
"GRIT18",25,315.893065374296
"GRIT18",50,1093.91163331564
"GRIT18",100,4242.19679081735
"GRIT18",200,19212.1060496339
"GRIT18",400,73171.8796011167
"GRIT18",800,365486.084718024
"GRIT19",25,131.623415610889
"GRIT19",50,674.312969631261
"GRIT19",100,3194.2950361881
"GRIT19",200,17047.3672553259
"GRIT19",400,87557.6775729044
"GRIT19",800,331999.31896854
"GRIT20",400,9806.13938040726
"GRIT20",800,159061.735737792
"GRIT21",10,4.75715268671796
"GRIT21",25,279.587901308217
"GRIT21",50,663.275646742328
"GRIT21",100,4089.44084101998
"GRIT21",200,22937.7172110714
"GRIT21",400,94549.3627914074
"GRIT21",800,338408.460400511
"GRIT22",5,22.289123924322
"GRIT22",10,111.34667690247
"GRIT22",25,508.511001978346
"GRIT22",50,1188.28608373176
"GRIT22",100,4140.67690940334
"GRIT22",200,21395.3791918591
"GRIT22",400,84860.7075301463
"GRIT22",800,359737.860206927
"GRIT23",5,2.0276319668082
"GRIT23",10,2.0276319668082
"GRIT23",25,2.0276319668082
"GRIT23",50,166.200476912091
"GRIT23",100,3508.70576370845
"GRIT23",200,18082.0208496263
"GRIT23",400,79956.2458670422
"GRIT23",800,321512.277703222
"GRIT25",5,6.67858062499749
"GRIT25",10,36.8205118144124
"GRIT25",25,179.129576463174
"GRIT25",50,831.615351986563
"GRIT25",100,4673.36681703075
"GRIT25",200,27654.2072683999
"GRIT25",400,94625.0112736311
"GRIT25",800,369908.389605198
"GRIT26",5,14.2812522080912
"GRIT26",10,120.275956710463
"GRIT26",25,1170.46406756529
"GRIT26",50,2763.18534451116
"GRIT26",100,8140.39748594545
"GRIT26",200,31960.9356305267
"GRIT26",400,105993.376165562
"GRIT26",800,292215.495338257
"GRIT31",10,36.1831143710144
"GRIT31",25,193.358151792738
"GRIT31",50,1353.31744178101
"GRIT31",100,4929.09550824204
"GRIT31",200,20481.0848770347
"GRIT31",400,167168.543493185
"GRIT31",800,628522.580199372
"GRIT33",5,67.0217250360219
"GRIT33",10,142.113671591817
"GRIT33",25,349.619547631372
"GRIT33",50,986.565950104481
"GRIT33",100,6591.27443348668
"GRIT33",200,46803.2956664399
"GRIT33",400,207179.342067368
"GRIT33",800,562711.11431877
"GRIT34",10,45.2138668560542
"GRIT34",25,1055.35893064014
"GRIT34",50,6369.01841380321
"GRIT34",100,26611.2569900969
"GRIT34",200,98758.7460708089
"GRIT34",400,259482.91999189
"GRIT34",800,582803.514039211
"GRIT35",5,31.2470017539948
"GRIT35",10,144.055803606892
"GRIT35",25,585.0166972592
"GRIT35",50,2481.20923854809
"GRIT35",100,5395.16362132543
"GRIT35",200,21975.3483597976
"GRIT35",400,87802.4952207808
"GRIT35",800,368686.166992545
"GRIT36",5,4.00649825411494
"GRIT36",10,54.0651844128486
"GRIT36",25,599.455483395388
"GRIT36",50,2837.6898577131
"GRIT36",100,17083.8103557368
"GRIT36",200,56421.4754152398
"GRIT36",400,138996.316347137
"GRIT36",800,575072.469379681
