"year","month","day","sensor_index","hours_present","missing_hours"
2025,8,1,"183639",23,1
2025,8,2,"183853",22,2
2025,8,4,"183853",23,1
2025,8,13,"183473",23,1
2025,8,16,"183853",23,1
2025,8,17,"183853",18,6
2025,8,19,"183523",22,2
2025,8,21,"183853",23,1
2025,8,22,"183853",21,3
2025,8,23,"183853",8,16
2025,8,24,"183853",5,19
2025,8,24,"183885",20,4
2025,8,25,"183853",8,16
2025,8,25,"183885",22,2
2025,8,26,"183853",19,5
2025,8,28,"183545",23,1
2025,8,28,"183853",23,1
2025,8,30,"183853",22,2
2025,8,31,"183515",6,18
2025,9,3,"183853",19,5
2025,9,4,"183515",4,20
2025,9,5,"183515",14,10
2025,9,5,"183853",23,1
2025,9,6,"183515",20,4
2025,9,9,"183515",22,2
2025,9,10,"183515",16,8
2025,9,11,"183515",21,3
2025,9,12,"183853",19,5
2025,9,13,"183515",23,1
2025,9,14,"183853",23,1
2025,9,16,"183467",9,15
2025,9,16,"183545",23,1
2025,9,17,"183467",23,1
2025,9,19,"183467",21,3
2025,9,19,"183515",23,1
2025,9,20,"183467",11,13
2025,9,20,"183515",21,3
2025,9,20,"183853",20,4
2025,9,22,"183467",23,1
2025,9,22,"183515",22,2
2025,9,22,"183545",23,1
2025,9,23,"183467",3,21
2025,9,23,"183515",18,6
2025,9,24,"183467",15,9
2025,9,25,"183467",22,2
2025,9,25,"183515",23,1
2025,9,25,"183853",23,1
2025,9,26,"183467",21,3
2025,9,26,"183473",23,1
2025,9,26,"183515",23,1
2025,9,27,"183467",22,2
2025,9,28,"183467",21,3
2025,9,29,"183467",17,7
2025,9,30,"183467",23,1
2025,9,30,"183853",23,1
2025,10,2,"183853",23,1
2025,10,3,"183853",22,2
2025,10,4,"183467",17,7
2025,10,4,"183853",22,2
2025,10,6,"183467",13,11
2025,10,6,"183515",20,4
2025,10,6,"183853",20,4
2025,10,7,"183467",9,15
2025,10,7,"183515",18,6
2025,10,7,"183853",22,2
2025,10,8,"183515",23,1
2025,10,9,"183467",23,1
2025,10,10,"183467",7,17
2025,10,13,"183473",23,1
2025,10,13,"183515",22,2
2025,10,13,"183843",22,2
2025,10,13,"183883",21,3
2025,10,14,"183515",23,1
2025,10,15,"183467",15,9
2025,10,15,"183515",16,8
2025,10,15,"183843",23,1
2025,10,15,"183853",22,2
2025,10,16,"183467",15,9
2025,10,16,"183515",19,5
2025,10,16,"183843",21,3
2025,10,16,"183853",23,1
2025,10,16,"183883",2,22
2025,10,17,"183467",17,7
2025,10,17,"183843",1,23
2025,10,17,"183853",23,1
2025,10,17,"183885",23,1
2025,10,18,"183467",3,21
2025,10,18,"183489",23,1
2025,10,18,"183515",18,6
2025,10,18,"183843",17,7
2025,10,19,"183515",22,2
2025,10,19,"183843",16,8
2025,10,20,"183515",22,2
2025,10,20,"183843",17,7
2025,10,20,"183853",23,1
2025,10,21,"183467",19,5
2025,10,21,"183515",19,5
2025,10,21,"183843",21,3
2025,10,22,"183467",11,13
2025,10,22,"183515",22,2
2025,10,22,"183853",23,1
2025,10,22,"183883",8,16
2025,10,23,"183467",10,14
2025,10,23,"183515",22,2
2025,10,23,"183853",22,2
2025,10,23,"183883",16,8
2025,10,24,"183467",17,7
2025,10,24,"183843",20,4
2025,10,24,"183883",22,2
2025,10,25,"183843",17,7
2025,10,26,"183883",23,1
2025,10,27,"183467",21,3
2025,10,27,"183841",23,1
2025,10,27,"183883",21,3
2025,10,28,"183467",6,18
2025,10,28,"183515",18,6
2025,10,28,"183853",23,1
2025,10,28,"183883",8,16
2025,10,29,"183467",23,1
2025,10,29,"183883",17,7
2025,10,30,"183467",18,6
2025,10,30,"183515",20,4
2025,10,30,"183841",23,1
2025,10,30,"183853",22,2
2025,10,30,"183883",20,4
2025,10,31,"183467",2,22
2025,10,31,"183515",18,6
2025,10,31,"183853",21,3
2025,10,31,"183883",23,1
