"ID","radius_m","mean_treeht_ft","total_conifers","total_nonconifer","n_features"
"GRIT23",800,33.1815459137997,1148,6671,7819
"GRIT25",10,21.34,0,1,1
"GRIT25",25,30.71325,1,3,4
"GRIT25",50,22.5924375,3,21,24
"GRIT25",100,31.816546875,13,83,96
"GRIT25",200,40.7700637755102,109,479,588
"GRIT25",400,43.0094699507389,434,1596,2030
"GRIT25",800,38.763229684109,1555,6739,8294
"GRIT26",10,60.04,0,3,3
"GRIT26",25,69.3376739130435,4,19,23
"GRIT26",50,69.3491285714286,6,29,35
"GRIT26",100,82.6218443396226,33,73,106
"GRIT26",200,72.0515216346154,124,292,416
"GRIT26",400,59.7243246835443,397,1183,1580
"GRIT26",800,45.2027282309808,1062,4393,5455
"GRIT31",10,22.698,0,1,1
"GRIT31",25,19.6399375,0,8,8
"GRIT31",50,26.121,5,31,36
"GRIT31",100,22.2088590604027,12,137,149
"GRIT31",200,23.6770187687688,63,603,666
"GRIT31",400,48.2179460190672,611,3270,3881
"GRIT31",800,52.0997955217423,2164,11703,13867
"GRIT33",10,24.921,0,2,2
"GRIT33",25,20.0773636363636,3,8,11
"GRIT33",50,19.094725,6,34,40
"GRIT33",100,36.5078085714286,24,151,175
"GRIT33",200,60.2990399082569,211,879,1090
"GRIT33",400,64.4272678132678,803,3674,4477
"GRIT33",800,48.0314470163436,1858,11297,13155
"GRIT34",25,43.2522884615385,6,20,26
"GRIT34",50,76.2605040322581,53,71,124
"GRIT34",100,70.9262983706721,197,294,491
"GRIT34",200,58.9137761270492,587,1365,1952
"GRIT34",400,61.5001794897152,1781,3275,5056
"GRIT34",800,48.9998257101405,3441,9655,13096
"GRIT35",10,21.784,0,3,3
"GRIT35",25,37.52455,0,10,10
"GRIT35",50,35.81375,2,46,48
"GRIT35",100,26.8979375,6,138,144
"GRIT35",200,28.1478879003559,57,505,562
"GRIT35",400,27.8746484978541,275,2055,2330
"GRIT35",800,31.651142226712,1311,8093,9404
"GRIT36",10,41.096,0,2,2
"GRIT36",25,42.7316111111111,4,14,18
"GRIT36",50,41.2506339285714,10,46,56
"GRIT36",100,42.7464661971831,62,293,355
"GRIT36",200,41.8336167736758,234,1012,1246
"GRIT36",400,37.8283846270928,504,2781,3285
"GRIT36",800,39.3655709997691,2098,10895,12993
