UTCDateTime,mac_address,current_temp_f,current_humidity,pm2_5_atm_a,pm2_5_atm_b
2025/08/19T20:02:38z,c4:5b:be:e7:7:9,82,37,2.53,3.13
2025/08/19T20:04:38z,c4:5b:be:e7:7:9,80,39,2.98,2.66
2025/08/19T20:06:38z,c4:5b:be:e7:7:9,81,39,1.83,2.11
2025/08/19T20:08:38z,c4:5b:be:e7:7:9,83,37,1.73,2.59
2025/08/19T20:10:38z,c4:5b:be:e7:7:9,85,35,2.05,2.67
2025/08/19T20:12:38z,c4:5b:be:e7:7:9,85,34,2.07,2.44
2025/08/19T20:14:38z,c4:5b:be:e7:7:9,82,37,2.49,1.62
2025/08/19T20:16:38z,c4:5b:be:e7:7:9,84,36,2.05,2.38
2025/08/19T20:18:38z,c4:5b:be:e7:7:9,84,36,1.81,2.43
2025/08/19T20:20:38z,c4:5b:be:e7:7:9,86,35,2.42,2.62
2025/08/19T20:22:38z,c4:5b:be:e7:7:9,86,34,1.88,2.6
2025/08/19T20:24:38z,c4:5b:be:e7:7:9,86,35,1.8,2.14
2025/08/19T20:26:38z,c4:5b:be:e7:7:9,84,36,2.55,2.4
2025/08/19T20:28:38z,c4:5b:be:e7:7:9,86,35,2.07,2.54
2025/08/19T20:30:38z,c4:5b:be:e7:7:9,81,37,2.55,2.81
2025/08/19T20:32:38z,c4:5b:be:e7:7:9,80,38,1.97,2.51
2025/08/19T20:34:38z,c4:5b:be:e7:7:9,82,37,2.48,2.29
2025/08/19T20:36:38z,c4:5b:be:e7:7:9,82,37,1.77,2.34
2025/08/19T20:38:38z,c4:5b:be:e7:7:9,82,37,1.66,1.83
2025/08/19T20:40:38z,c4:5b:be:e7:7:9,81,38,2.76,2.25
2025/08/19T20:42:38z,c4:5b:be:e7:7:9,82,38,2.34,2.73
2025/08/19T20:44:38z,c4:5b:be:e7:7:9,84,37,2.33,2.5
2025/08/19T20:46:38z,c4:5b:be:e7:7:9,84,36,2.38,2.2
2025/08/19T20:48:38z,c4:5b:be:e7:7:9,86,34,2.14,2.2
2025/08/19T20:50:38z,c4:5b:be:e7:7:9,86,34,1.76,1.45
2025/08/19T20:52:38z,c4:5b:be:e7:7:9,85,35,1.93,1.91
2025/08/19T20:54:38z,c4:5b:be:e7:7:9,81,37,2.3,2.12
2025/08/19T20:56:38z,c4:5b:be:e7:7:9,83,38,2.28,1.37
2025/08/19T20:58:38z,c4:5b:be:e7:7:9,86,36,1.93,2.61
2025/08/19T21:00:38z,c4:5b:be:e7:7:9,84,36,2.18,1.77
2025/08/19T21:02:46z,c4:5b:be:e7:7:9,81,39,2.68,2.59
2025/08/19T21:04:46z,c4:5b:be:e7:7:9,85,38,2.18,1.95
2025/08/19T21:06:46z,c4:5b:be:e7:7:9,86,37,1.96,2.37
2025/08/19T21:08:46z,c4:5b:be:e7:7:9,86,37,1.91,2.18
2025/08/19T21:10:46z,c4:5b:be:e7:7:9,86,36,2.14,2.02
2025/08/19T21:12:46z,c4:5b:be:e7:7:9,84,37,2,2.17
2025/08/19T21:14:46z,c4:5b:be:e7:7:9,85,38,2.16,2.19
2025/08/19T21:16:46z,c4:5b:be:e7:7:9,81,40,1.49,2.07
2025/08/19T21:18:46z,c4:5b:be:e7:7:9,80,41,2.25,2.46
2025/08/19T21:20:46z,c4:5b:be:e7:7:9,79,43,2.33,2.19
2025/08/19T21:22:46z,c4:5b:be:e7:7:9,83,41,2.14,2.07
2025/08/19T21:24:46z,c4:5b:be:e7:7:9,81,41,1.56,2.03
2025/08/19T21:26:46z,c4:5b:be:e7:7:9,81,42,2.66,2.77
2025/08/19T21:28:46z,c4:5b:be:e7:7:9,81,42,2.31,2.48
2025/08/19T21:30:46z,c4:5b:be:e7:7:9,84,40,1.86,2
2025/08/19T21:32:46z,c4:5b:be:e7:7:9,80,41,2.47,2
2025/08/19T21:34:46z,c4:5b:be:e7:7:9,81,43,2.59,2.54
2025/08/19T21:36:46z,c4:5b:be:e7:7:9,85,39,2.58,2.04
2025/08/19T21:38:46z,c4:5b:be:e7:7:9,84,38,2.23,2.14
2025/08/19T21:40:46z,c4:5b:be:e7:7:9,82,39,2.62,2.15
2025/08/19T21:42:46z,c4:5b:be:e7:7:9,82,40,2.34,2.26
2025/08/19T21:44:46z,c4:5b:be:e7:7:9,83,39,1.58,1.89
2025/08/19T21:46:46z,c4:5b:be:e7:7:9,82,40,2.48,2.09
2025/08/19T21:48:46z,c4:5b:be:e7:7:9,86,37,2.37,2.33
2025/08/19T21:50:46z,c4:5b:be:e7:7:9,86,36,1.68,2.02
2025/08/19T21:52:46z,c4:5b:be:e7:7:9,81,39,2.58,2.02
2025/08/19T21:54:46z,c4:5b:be:e7:7:9,81,40,1.07,1.54
2025/08/19T21:56:46z,c4:5b:be:e7:7:9,82,41,1.2,1.66
2025/08/19T21:58:46z,c4:5b:be:e7:7:9,80,44,1.77,2.46
2025/08/19T22:00:46z,c4:5b:be:e7:7:9,81,43,2.35,2.48
2025/08/19T22:02:54z,c4:5b:be:e7:7:9,80,44,3.95,4.1
2025/08/19T22:04:54z,c4:5b:be:e7:7:9,81,44,2.61,3.18
2025/08/19T22:06:54z,c4:5b:be:e7:7:9,80,45,2.45,2.58
2025/08/19T22:08:54z,c4:5b:be:e7:7:9,83,42,2.55,3.12
2025/08/19T22:10:54z,c4:5b:be:e7:7:9,84,43,2.59,3.61
2025/08/19T22:12:54z,c4:5b:be:e7:7:9,86,39,1.54,2.05
2025/08/19T22:14:54z,c4:5b:be:e7:7:9,85,39,1.69,2.83
2025/08/19T22:16:54z,c4:5b:be:e7:7:9,81,42,2.04,2.36
2025/08/19T22:18:54z,c4:5b:be:e7:7:9,83,43,2.46,2.62
2025/08/19T22:20:54z,c4:5b:be:e7:7:9,86,41,1.88,2.36
2025/08/19T22:22:54z,c4:5b:be:e7:7:9,85,41,1.85,2.65
2025/08/19T22:24:54z,c4:5b:be:e7:7:9,85,42,2.07,3.17
2025/08/19T22:26:54z,c4:5b:be:e7:7:9,83,42,2.09,2.83
2025/08/19T22:28:54z,c4:5b:be:e7:7:9,81,44,2.08,3.21
2025/08/19T22:30:54z,c4:5b:be:e7:7:9,84,42,2.58,2.82
2025/08/19T22:32:54z,c4:5b:be:e7:7:9,84,41,2.09,2.85
2025/08/19T22:34:54z,c4:5b:be:e7:7:9,81,44,2.12,3.24
2025/08/19T22:36:54z,c4:5b:be:e7:7:9,83,44,1.83,2.58
2025/08/19T22:38:54z,c4:5b:be:e7:7:9,84,42,1.53,2.75
2025/08/19T22:40:54z,c4:5b:be:e7:7:9,83,42,2.16,2.72
2025/08/19T22:42:54z,c4:5b:be:e7:7:9,86,40,1.89,2.14
2025/08/19T22:44:54z,c4:5b:be:e7:7:9,85,40,1.98,2.24
2025/08/19T22:46:54z,c4:5b:be:e7:7:9,80,44,1.98,2.82
2025/08/19T22:48:54z,c4:5b:be:e7:7:9,79,46,1.6,2.93
2025/08/19T22:50:54z,c4:5b:be:e7:7:9,80,46,2.16,2.85
2025/08/19T22:52:54z,c4:5b:be:e7:7:9,78,48,1.33,2.88
2025/08/19T22:54:54z,c4:5b:be:e7:7:9,77,50,1.64,2.82
2025/08/19T22:56:54z,c4:5b:be:e7:7:9,77,51,2.34,3.28
2025/08/19T22:58:54z,c4:5b:be:e7:7:9,77,51,1.98,2.97
2025/08/19T23:00:54z,c4:5b:be:e7:7:9,78,51,3.35,2.52
2025/08/19T23:03:03z,c4:5b:be:e7:7:9,81,48,2.6,3.08
2025/08/19T23:05:03z,c4:5b:be:e7:7:9,78,49,1.84,2.6
2025/08/19T23:07:03z,c4:5b:be:e7:7:9,79,49,1.9,2.98
2025/08/19T23:09:03z,c4:5b:be:e7:7:9,79,49,2.41,3.28
2025/08/19T23:11:03z,c4:5b:be:e7:7:9,80,47,1.91,3.32
2025/08/19T23:13:03z,c4:5b:be:e7:7:9,79,47,2.39,3.1
2025/08/19T23:15:03z,c4:5b:be:e7:7:9,77,49,2.6,2.96
2025/08/19T23:17:03z,c4:5b:be:e7:7:9,78,50,2.81,3.3
2025/08/19T23:19:03z,c4:5b:be:e7:7:9,79,48,1.7,2.62
2025/08/19T23:21:03z,c4:5b:be:e7:7:9,80,48,1.88,2.28
2025/08/19T23:23:03z,c4:5b:be:e7:7:9,82,46,1.78,2.62
2025/08/19T23:25:03z,c4:5b:be:e7:7:9,82,44,2.28,2.44
2025/08/19T23:27:03z,c4:5b:be:e7:7:9,79,46,1.57,2.47
2025/08/19T23:29:03z,c4:5b:be:e7:7:9,78,48,1.04,2.55
2025/08/19T23:31:03z,c4:5b:be:e7:7:9,81,46,1.71,2.42
2025/08/19T23:33:03z,c4:5b:be:e7:7:9,81,45,1.29,1.93
2025/08/19T23:35:03z,c4:5b:be:e7:7:9,80,45,0.88,1.91
2025/08/19T23:37:03z,c4:5b:be:e7:7:9,79,47,1.42,1.71
2025/08/19T23:39:03z,c4:5b:be:e7:7:9,80,46,1,1.4
2025/08/19T23:41:03z,c4:5b:be:e7:7:9,80,45,0.95,1.95
2025/08/19T23:43:03z,c4:5b:be:e7:7:9,78,47,0.68,1.33
2025/08/19T23:45:03z,c4:5b:be:e7:7:9,79,48,0.26,1
2025/08/19T23:47:03z,c4:5b:be:e7:7:9,81,46,0.79,1.24
2025/08/19T23:49:03z,c4:5b:be:e7:7:9,80,45,0,1.29
2025/08/19T23:51:03z,c4:5b:be:e7:7:9,77,47,0.54,1.49
2025/08/19T23:53:03z,c4:5b:be:e7:7:9,80,47,0.39,1.22
2025/08/19T23:55:03z,c4:5b:be:e7:7:9,80,47,0.48,1.43
2025/08/19T23:57:03z,c4:5b:be:e7:7:9,78,47,0.69,1.64
2025/08/19T23:59:03z,c4:5b:be:e7:7:9,76,49,0.93,1.36
2025/08/20T00:01:03z,c4:5b:be:e7:7:9,79,48,1.41,1.32
2025/08/20T00:03:11z,c4:5b:be:e7:7:9,77,49,1.59,1.73
2025/08/20T00:05:11z,c4:5b:be:e7:7:9,77,49,1.64,1.68
2025/08/20T00:07:11z,c4:5b:be:e7:7:9,79,48,1.47,1.81
2025/08/20T00:09:11z,c4:5b:be:e7:7:9,80,46,1.12,1.54
2025/08/20T00:11:11z,c4:5b:be:e7:7:9,81,45,0.88,2.5
2025/08/20T00:13:11z,c4:5b:be:e7:7:9,81,45,1.34,1.16
2025/08/20T00:15:11z,c4:5b:be:e7:7:9,81,44,0.72,1.8
