"","Purple.Air.Name","radius_m","total_imp","total_canopy","mean_treeht_ft","total_conifers","total_nonconifer","n_trees","TRACTCE","BLKGRPCE","indicator_title","score","geometry","sensor_index","Long","Lat","pm2.5est_sept","pm2.5.lwr_sept","pm2.5.upr_sept","pm2.5est_jan","pm2.5.lwr_jan","pm2.5.upr_jan","tempest_sept","temp.lwr_sept","temp.upr_sept","tempest_jan","temp.lwr_jan","temp.upr_jan","total_area_m2","canopy_perc"
"1","GRIT01",5,1346.96945385289,0,0,0,0,0,"062300","2","Community Impact Index",0.0669195339936918,c(-122.425289, 47.21496104),183853,-122.425289,47.21496104,7.20371843896457,5.89366484168864,8.51378213627399,8.68491580760012,6.523700795795,10.8456425702686,76.712,75.391,78.034,55.55,54.246,56.854,78.5398163397448,0
"2","GRIT01",10,8806.91410836228,26.290769939842,62.5175,1,0,1,"062300","2","Community Impact Index",0.0669195339936918,c(-122.425289, 47.21496104),183853,-122.425289,47.21496104,7.20371843896457,5.89366484168864,8.51378213627399,8.68491580760012,6.523700795795,10.8456425702686,76.712,75.391,78.034,55.55,54.246,56.854,314.159265358979,8.36861198723533
"3","GRIT01",25,159189932.497295,72.4785507852212,62.5175,1,0,1,"062300","2","Community Impact Index",0.0669195339936918,c(-122.425289, 47.21496104),183853,-122.425289,47.21496104,7.20371843896457,5.89366484168864,8.51378213627399,8.68491580760012,6.523700795795,10.8456425702686,76.712,75.391,78.034,55.55,54.246,56.854,1963.49540849362,3.69130228019358
"4","GRIT01",50,159202989.845121,993.157783362298,40.9664375,5,11,16,"062300","2","Community Impact Index",0.0669195339936918,c(-122.425289, 47.21496104),183853,-122.425289,47.21496104,7.20371843896457,5.89366484168864,8.51378213627399,8.68491580760012,6.523700795795,10.8456425702686,76.712,75.391,78.034,55.55,54.246,56.854,7853.98163397448,12.645277639384
"5","GRIT01",100,159292060.044936,6863.2180469367,38.114902027027,30,118,148,"062300","2","Community Impact Index",0.0669195339936918,c(-122.425289, 47.21496104),183853,-122.425289,47.21496104,7.20371843896457,5.89366484168864,8.51378213627399,8.68491580760012,6.523700795795,10.8456425702686,76.712,75.391,78.034,55.55,54.246,56.854,31415.9265358979,21.8463015537496
"6","GRIT01",200,159548761.403039,32317.6781908876,43.4194425113464,158,503,661,"062300","2","Community Impact Index",0.0669195339936918,c(-122.425289, 47.21496104),183853,-122.425289,47.21496104,7.20371843896457,5.89366484168864,8.51378213627399,8.68491580760012,6.523700795795,10.8456425702686,76.712,75.391,78.034,55.55,54.246,56.854,125663.706143592,25.7175911666645
"7","GRIT01",400,160947174.49237,99767.3851566051,39.4779377797672,425,1809,2234,"062300","2","Community Impact Index",0.0669195339936918,c(-122.425289, 47.21496104),183853,-122.425289,47.21496104,7.20371843896457,5.89366484168864,8.51378213627399,8.68491580760012,6.523700795795,10.8456425702686,76.712,75.391,78.034,55.55,54.246,56.854,502654.824574367,19.8480906337834
"8","GRIT01",800,166206540.086103,357873.658249852,34.27514146429,1216,7143,8359,"062300","2","Community Impact Index",0.0669195339936918,c(-122.425289, 47.21496104),183853,-122.425289,47.21496104,7.20371843896457,5.89366484168864,8.51378213627399,8.68491580760012,6.523700795795,10.8456425702686,76.712,75.391,78.034,55.55,54.246,56.854,2010619.29829747,17.7991755352636
"9","GRIT03",5,1950.00537314645,0,0,0,0,0,"063402","1","Community Impact Index",-0.144721429753152,c(-122.4376598, 47.1732918),183883,-122.4376598,47.1732918,7.57832171595409,6.26871518866943,8.88792796055813,9.84055042750112,7.66530779132896,12.0149179110623,74.617,73.299,75.936,55.343,54.023,56.663,78.5398163397448,0
"10","GRIT03",10,2527.27918969951,16.6107755014527,18.2255,0,1,1,"063402","1","Community Impact Index",-0.144721429753152,c(-122.4376598, 47.1732918),183883,-122.4376598,47.1732918,7.57832171595409,6.26871518866943,8.88792796055813,9.84055042750112,7.66530779132896,12.0149179110623,74.617,73.299,75.936,55.343,54.023,56.663,314.159265358979,5.28737405929191
"11","GRIT03",25,159186353.950465,264.100852408912,19.40253125,1,15,16,"063402","1","Community Impact Index",-0.144721429753152,c(-122.4376598, 47.1732918),183883,-122.4376598,47.1732918,7.57832171595409,6.26871518866943,8.88792796055813,9.84055042750112,7.66530779132896,12.0149179110623,74.617,73.299,75.936,55.343,54.023,56.663,1963.49540849362,13.4505459634117
"12","GRIT03",50,159217394.376038,970.75418186665,23.8932625,3,37,40,"063402","1","Community Impact Index",-0.144721429753152,c(-122.4376598, 47.1732918),183883,-122.4376598,47.1732918,7.57832171595409,6.26871518866943,8.88792796055813,9.84055042750112,7.66530779132896,12.0149179110623,74.617,73.299,75.936,55.343,54.023,56.663,7853.98163397448,12.3600261256965
"13","GRIT03",100,159340581.628104,4293.89373750714,26.6455340909091,15,117,132,"063402","1","Community Impact Index",-0.144721429753152,c(-122.4376598, 47.1732918),183883,-122.4376598,47.1732918,7.57832171595409,6.26871518866943,8.88792796055813,9.84055042750112,7.66530779132896,12.0149179110623,74.617,73.299,75.936,55.343,54.023,56.663,31415.9265358979,13.6678882687119
"14","GRIT03",200,159829698.45505,21517.5191759487,38.8646291913215,108,399,507,"063402","1","Community Impact Index",-0.144721429753152,c(-122.4376598, 47.1732918),183883,-122.4376598,47.1732918,7.57832171595409,6.26871518866943,8.88792796055813,9.84055042750112,7.66530779132896,12.0149179110623,74.617,73.299,75.936,55.343,54.023,56.663,125663.706143592,17.1230976996344
"15","GRIT03",400,161758575.425743,89324.2211349203,40.456104805726,395,1561,1956,"063402","1","Community Impact Index",-0.144721429753152,c(-122.4376598, 47.1732918),183883,-122.4376598,47.1732918,7.57832171595409,6.26871518866943,8.88792796055813,9.84055042750112,7.66530779132896,12.0149179110623,74.617,73.299,75.936,55.343,54.023,56.663,502654.824574367,17.7704891643201
"16","GRIT03",800,167577667.127606,387352.235062592,40.9661162304291,1812,6555,8367,"063402","1","Community Impact Index",-0.144721429753152,c(-122.4376598, 47.1732918),183883,-122.4376598,47.1732918,7.57832171595409,6.26871518866943,8.88792796055813,9.84055042750112,7.66530779132896,12.0149179110623,74.617,73.299,75.936,55.343,54.023,56.663,2010619.29829747,19.2653196649704
"17","GRIT05",5,886.37827461817,63.6010903278657,50.35925,0,2,2,"060700","1","Community Impact Index",0.546561692220564,c(-122.4683736, 47.26333983),183865,-122.4683736,47.26333983,6.39113204495118,5.08152551763636,7.70073828958024,8.02313251953986,5.87627326450305,10.1705185075757,74.451,73.132,75.77,56.249,54.961,57.536,78.5398163397448,80.9794232937117
"18","GRIT05",10,3813.17642832108,184.274188405194,43.910625,0,4,4,"060700","1","Community Impact Index",0.546561692220564,c(-122.4683736, 47.26333983),183865,-122.4683736,47.26333983,6.39113204495118,5.08152551763636,7.70073828958024,8.02313251953986,5.87627326450305,10.1705185075757,74.451,73.132,75.77,56.249,54.961,57.536,314.159265358979,58.6562959378677
