"Address","Latitude","Longitude","Num","0.10m","1.10m","2.10m","0.20m","1.20m","2.20m","0.30m","1.30m","2.30m","0.40m","1.40m","2.40m","0.50m","1.50m","2.50m","0.100m","1.100m","2.100m","0.200m","1.200m","2.200m","0.400m","1.400m","2.400m","0.800m","1.800m","2.800m","cancov.10m","cancov.20m","cancov.30m","cancov.40m","cancov.50m","cancov.100m","cancov.200m","cancov.400m","cancov.800m"
"4801 S Tacoma Way, Tacoma, WA 98409",47.275058,-122.499778,"1",72,244,0,487,770,0,1428,1398,0,3042,1987,0,5615,2217,22,26258,5009,138,105330,20062,219,423023,77715,1693,1666118,334029,9559,0.772151898734177,0.612569610182975,0.494692144373673,0.395108371445615,0.282276546982429,0.159496895398822,0.159715311557109,0.154677955779002,0.166207893094811
"3722 N 26th St, Tacoma, WA 98407",47.27085,-122.486986,"2",145,171,0,721,535,0,2268,558,0,4475,558,0,7261,589,0,29734,1676,0,113901,11159,554,414073,85591,2766,1539639,457003,13059,0.541139240506329,0.425955414012739,0.197452229299363,0.110868269421816,0.075031847133758,0.0533588029290035,0.0888356393395641,0.170354079175208,0.22739850355849
"1919 S Tyler St, Tacoma, WA 98405",47.242074,-122.493079,"3",41,271,0,284,971,0,591,2234,0,1270,3746,2,2183,5355,305,10260,16895,4242,60793,54431,10372,289614,190292,22500,1310805,648724,50168,0.868589743589744,0.773705179282869,0.790796460176991,0.74651255480271,0.68277444855285,0.538108736503488,0.433381636357846,0.378761400142514,0.322796919137562
"1721 E 56th St, Tacoma, WA 98404",47.207132,-122.406666,"4",19,294,0,206,1047,0,614,2208,0,1300,3718,0,2567,5283,0,20072,11027,292,98911,25091,1605,395178,102338,4907,1348490,617625,43583,0.939297124600639,0.835594573024741,0.782423812898653,0.740932642487047,0.672993630573248,0.351279029021057,0.199757975272079,0.203688923476831,0.307322294195446
"316 S G St, Tacoma, WA 98405",47.260034,-122.448125,"5",72,241,0,415,836,0,1258,1562,0,2019,2999,0,2834,5017,0,12703,18640,46,69171,56377,51,380114,121901,398,1615373,388728,5586,0.769968051118211,0.668265387689848,0.553900709219858,0.597648465524113,0.639026875557254,0.593838605881041,0.448865038734385,0.242631062492412,0.19342713566839
"3019 South 7th Street ",47.254662,-122.475951,"6",314,0,0,1240,21,0,2645,187,0,4591,439,0,7110,742,0,29687,1723,0,110811,14725,79,426652,74700,1098,1680328,322824,6562,0,0.0166534496431404,0.0660310734463277,0.0872763419483101,0.0944982170147733,0.0548551416746259,0.117223261553158,0.148671509602946,0.160631811292552
"1111 North E Street",47.270496,-122.462108,"7",149,0,162,981,57,215,2389,217,215,4469,331,215,6907,719,215,25720,5119,557,104774,19762,1060,359851,136173,6382,1526172,454427,29093,0,0.0454908220271349,0.0769230769230769,0.0660019940179462,0.0916974875653616,0.163046247929673,0.157345775343164,0.271041747112893,0.226117733463635
"2533 Jefferson Ave",47.236636,-122.439185,"8",107,205,0,508,749,0,1514,1313,0,3303,1717,0,5775,2078,0,27388,3837,174,111763,13493,346,425415,72100,4897,1723569,259093,27035,0.657051282051282,0.595863166268894,0.464449946940219,0.34203187250996,0.264612250095505,0.122201343991847,0.107426633333864,0.143507718764679,0.128921424473441
"N 30TH ST and Cheyenne",47.2751,-122.499582,"9",99,217,0,430,829,0,1347,1483,0,3133,1893,0,5612,2244,0,26219,5012,181,105960,19418,237,419828,80808,1814,1663124,337052,9524,0.686708860759494,0.65845909451946,0.524028268551237,0.376641464385197,0.285641547861507,0.159556857252006,0.15458344942881,0.160827943078913,0.16771259391949
"N 18TH and Washington",47.265867,-122.485299,"10",115,200,0,731,526,0,2088,738,0,4059,960,10,6488,1284,80,26633,4622,145,104889,20434,284,390495,108669,3262,1646033,353577,10082,0.634920634920635,0.418456642800318,0.261146496815287,0.19089282163452,0.163525216505349,0.147197452229299,0.162682016129674,0.216288567868701,0.175935914558052
"N 20TH and Junett  ",47.2668202,-122.4752515,"11",316,0,0,1192,64,0,2364,463,0,4466,560,0,6959,893,0,27019,4373,16,95982,29115,519,381534,118655,2248,1511441,490099,8163,0,0.0509554140127389,0.16377785638486,0.11142061281337,0.113728986245543,0.139232042791645,0.231777799006496,0.236158961222999,0.243866382246531
"3614 North 34th St, Tacoma 98407",47.278359,-122.485138,"12",215,97,0,903,352,0,2273,551,0,4016,915,91,6563,1154,134,27366,3304,721,83509,40512,1583,287218,209046,6151,1379493,604933,25264,0.310897435897436,0.280478087649402,0.195113314447592,0.182198327359618,0.146987644886002,0.105253098021726,0.322537498805771,0.416082322382891,0.301008115679533
"4002 N. 37th St. Tacoma",47.281298,-122.490628,"13",202,110,0,1140,114,0,2702,124,0,4557,454,10,6917,824,100,26870,4409,121,105339,18697,1549,323464,174608,4343,1322141,663616,23943,0.352564102564103,0.0909090909090909,0.0438782731776362,0.0904202350129456,0.105088636653488,0.140414012738854,0.148879245132779,0.34753739438512,0.330206498482361
