"Species","TBA_cm2","freq"
"Pseudotsuga",192620,"4"
"Quercus",121303,"5"
"Acer",114653,"7"
"Prunus",34434,"10"
"Chamaecyparis",17064,"1"
"Unknown",6736,"4"
"Pinus",6723,"3"
"Robinia",5847,"1"
"Liquidumbar",5580,"3"
"Arbutus",3901,"2"
"Rhamnus",3339,"1"
"Crataegus",3321,"3"
"Syringa",3142,"10"
"palm",1963,"1"
"Ulmus",1571,"1"
"Alnus",1095,"1"
"Rhodendron",836,"1"
"Camillia",757,"1"
"Fagus",452,"1"
"Amelanchier",346,"1"
"Thuja",201,"1"
"Holodiscus",116,"1"
"conifer",50,"1"
