,Distance = 10m,,,,Distance = 20m,,,,Distance = 30m,,,,Distance = 40m,,,,Distance = 50m,,,
,Estimate,SE,c2,p,Estimate,SE,c2,p,Estimate,SE,c2,p,Estimate,SE,c2,p,Estimate,SE,c2,p
Intercept,15.201,0.383,1571.31,<0.001,15.202,0.384,1570.161,<0.001,15.229,0.384,1574.382,<0.001,15.234,0.384,1574.649,<0.001,15.248,0.384,1574.704,<0.001
Coarse vegetation,-0.012,0.004,9.392,0.002,<0.001,<0.001,7.691,0.006,<0.001,<0.001,10.943,0.001,<0.001,<0.001,11.169,0.001,<0.001,<0.001,11.298,0.001
Cloud cover,-0.024,0.007,11.842,0.001,-0.024,0.007,11.854,0.001,-0.025,0.007,12.136,<0.001,-0.025,0.007,12.188,<0.001,-0.025,0.007,12.258,<0.001
Coarse Veg*cloud,<0.001,<0.001,65.373,<0.001,<0.001,<0.001,53.37,<0.001,<0.001,<0.001,75.561,<0.001,<0.001,<0.001,78.718,<0.001,<0.001,<0.001,70.181,<0.001
Intercept,15.042,0.386,1517.553,<0.001,15.046,0.386,1517.423,<0.001,15.075,0.386,1523.573,<0.001,15.069,0.386,1521.778,<0.001,15.062,0.386,1521.002,<0.001
Medium vegeetation,0.01,0.208,0.002,0.961,-0.002,0.007,0.049,0.824,-0.006,0.004,2.463,0.117,-0.003,0.003,1.593,0.207,-0.002,0.002,1.101,0.294
Cloud cover,-0.023,0.007,10.551,0.001,-0.023,0.007,10.59,0.001,-0.023,0.007,10.933,0.001,-0.023,0.007,10.887,0.001,-0.023,0.007,10.821,0.001
Med.Veg*cloud,-0.001,0.001,1.913,0.167,<0.001,<0.001,0.091,0.763,<0.001,<0.001,22.796,<0.001,<0.001,<0.001,16.068,<0.001,<0.001,<0.001,12.357,<0.001
Intercept,15.767,0.392,1619.935,<0.001,15.813,0.39,1641.477,<0.001,16.051,0.389,1706.058,<0.001,16.059,0.39,1698.025,<0.001,16.015,0.392,1672.212,<0.001
Fine vegetation,-0.008,0.001,78.407,<0.001,-0.002,<0.001,108.709,<0.001,-0.001,<0.001,224.233,<0.001,-0.001,<0.001,197.794,<0.001,<0.001,<0.001,146.284,<0.001
Cloud cover,-0.03,0.007,17.994,<0.001,-0.03,0.007,17.875,<0.001,-0.032,0.007,20.759,<0.001,-0.032,0.007,20.67,<0.001,-0.032,0.007,20.01,<0.001
Fine Veg*cloud,<0.001,<0.001,318.087,<0.001,<0.001,<0.001,328.406,<0.001,<0.001,<0.001,484.913,<0.001,<0.001,<0.001,433.328,<0.001,<0.001,<0.001,360.417,<0.001
