WptNo,Hobo_SN,Pole_No,Location,DBH_cm,DistFromLogger_m,Species,,,,
20,21223108,Tp5817,South Puget sound ave; just north of 54,10,4,Lilac,,,,
21,21223137,Tp10073,South Puget sound ave;  north of 43 ,NA,NA,NA,,,,
22,21223113,Tp9241,South Puget sound ave;  north of 43 and north of tp10073 ,8,3,Acer,,,,
22,21223113,Tp9241,South Puget sound ave;  north of 43 and north of tp10073 ,4,6,,,,,
23,21223121,Tp23269,45th east of warner,6,7,Camillia,,,,
23,21223121,Tp23269,45th east of warner,8,7,Camillia,,,,
23,21223121,Tp23269,45th east of warner,5,7,Camillia,,,,
23,21223121,Tp23269,45th east of warner,10,7,Camillia,,,,
23,21223121,Tp23269,45th east of warner,4,7,Camillia,,,,
24,21223112,Tp24408,45th west of lawrence,30,4,Robinia,,,,
24,21223112,Tp24408,45th west of lawrence,31,5,Robinia,,,,
25,21123119,TP9179,45th between Alder and Cedar,9 stems,6,,,,,
25,21123119,TP9179,45th between Alder and Cedar,6 stems,10,,,,,
26,21223111,TP4182 06040,45th at Cedar,NA,NA,NA,,,,
27,21223124,TP24199/A1566119,Junette @ 45th ,25,10,palm,,,,
28,21223107,TP20001/A1341143,Junette between 43rd and 45th ,NA,NA,NA,,,,
29,21223125,TP32711/A0572122,Junette between 43rd and 45th ,4,10,conifer,,,,
30,21223110,14998,Outside Tacoma schools,NA,NA,NA,,,,
31,21223118,A1341105,outside USPS,25,7,Prunus,,,,
32,21223126,TP3972,43rd at Cedar,2,10,Pinus,,,,
33,21223129,A1341128,"43rd between Lawrence and Alder, North side of 43rd",NA,NA,NA,,,,
35,21223132,A1341119,45th at Lawrence ,18,6,Pinus,,,,
35,21223132,A1341119,45th at Lawrence ,24,6,Pinus,,,,
35,21223132,A1341119,45th at Lawrence ,20,6,Pinus,,,,
35,21223132,A1341119,45th at Lawrence ,20,6,Pinus,,,,
35,21223132,A1341119,45th at Lawrence ,20,6,Pinus,,,,
38,21223138,Tp21036,South puget sound ave; just north of 47 (south of tp21035),27.5,4,Acer,,,,
38,21223138,Tp21036,South puget sound ave; just north of 47 (south of tp21035),29.5,4,Acer,,,,
39,21223136,TP13307,Prospect between 50th and 49th,5,3,,,,,
40,21223105,NA,South Tacoma Wetland 1,67.5,9,Pseudotsuga,,,,
