"time_stamp","humidity","humidity_a","humidity_b","temperature","temperature_a","temperature_b","pressure","pressure_a","pressure_b","pm2.5_cf_1","pm2.5_cf_1_a","pm2.5_cf_1_b"
"2024-07-03T00:00:00Z",29.9,29.9,NA,86.534,86.534,NA,1009.568,1009.568,NA,3.8325,2.79,4.875
"2024-07-03T01:00:00Z",31.467,31.467,NA,84.567,84.567,NA,1009.347,1009.347,NA,4.1715,3.097,5.246
"2024-07-03T02:00:00Z",33.667,33.667,NA,81.967,81.967,NA,1009.326,1009.326,NA,3.274,2.185,4.363
"2024-07-03T03:00:00Z",40.667,40.667,NA,75.233,75.233,NA,1009.568,1009.568,NA,3.0615,1.905,4.218
"2024-07-03T04:00:00Z",47.534,47.534,NA,68.233,68.233,NA,1009.959,1009.959,NA,2.5605,1.542,3.579
"2024-07-03T05:00:00Z",52.166,52.166,NA,64.6,64.6,NA,1010.25,1010.25,NA,2.911,1.848,3.974
"2024-07-03T06:00:00Z",54.567,54.567,NA,63.367,63.367,NA,1010.783,1010.783,NA,3.46,2.431,4.489
"2024-07-03T07:00:00Z",56.767,56.767,NA,61.4,61.4,NA,1011.222,1011.222,NA,2.8475,1.719,3.976
"2024-07-03T08:00:00Z",58.633,58.633,NA,60.434,60.434,NA,1011.971,1011.971,NA,3.1085,1.994,4.223
"2024-07-03T09:00:00Z",59,59,NA,60.034,60.034,NA,1012.065,1012.065,NA,3.079,1.953,4.205
"2024-07-03T10:00:00Z",59.367,59.367,NA,59.467,59.467,NA,1012.018,1012.018,NA,3.135,1.97,4.3
"2024-07-03T11:00:00Z",59.966,59.966,NA,58.767,58.767,NA,1012.009,1012.009,NA,3.371,2.139,4.603
"2024-07-03T12:00:00Z",61,61,NA,57.767,57.767,NA,1012.514,1012.514,NA,4.513,3.429,5.597
"2024-07-03T13:00:00Z",58.266,58.266,NA,61.334,61.334,NA,1012.661,1012.661,NA,3.769,2.682,4.856
"2024-07-03T14:00:00Z",57.467,57.467,NA,62,62,NA,1012.755,1012.755,NA,3.44,2.489,4.391
"2024-07-03T15:00:00Z",55.8,55.8,NA,63.733,63.733,NA,1013.011,1013.011,NA,3.645,2.585,4.705
"2024-07-03T16:00:00Z",51.8,51.8,NA,66.466,66.466,NA,1013.151,1013.151,NA,4.2515,3.348,5.155
"2024-07-03T17:00:00Z",48.434,48.434,NA,69.334,69.334,NA,1013.186,1013.186,NA,4.729,3.846,5.612
"2024-07-03T18:00:00Z",43.367,43.367,NA,73.8,73.8,NA,1012.866,1012.866,NA,5.3725,4.458,6.287
"2024-07-03T19:00:00Z",38.833,38.833,NA,77.8,77.8,NA,1012.601,1012.601,NA,5.8355,4.942,6.729
"2024-07-03T20:00:00Z",34.5,34.5,NA,82.2,82.2,NA,1011.965,1011.965,NA,5.9955,4.893,7.098
"2024-07-03T21:00:00Z",29.85,29.85,NA,87.684,87.684,NA,1011.513,1011.513,NA,5.789,4.721,6.857
"2024-07-03T22:00:00Z",26.867,26.867,NA,91.133,91.133,NA,1011.243,1011.243,NA,5.6275,4.699,6.556
"2024-07-03T23:00:00Z",24.233,24.233,NA,93.8,93.8,NA,1010.864,1010.864,NA,4.665,3.689,5.641
"2024-07-04T00:00:00Z",20.667,20.667,NA,95.6,95.6,NA,1010.609,1010.609,NA,3.228,2.223,4.233
"2024-07-04T01:00:00Z",20,20,NA,95.967,95.967,NA,1010.166,1010.166,NA,3.128,1.95,4.306
"2024-07-04T02:00:00Z",22.9,22.9,NA,95.2,95.2,NA,1009.931,1009.931,NA,4.17,3.255,5.085
"2024-07-04T03:00:00Z",27.1,27.1,NA,89.667,89.667,NA,1009.803,1009.803,NA,5.351,4.435,6.267
"2024-07-04T04:00:00Z",34.3,34.3,NA,80.833,80.833,NA,1010.14,1010.14,NA,10.8325,10.285,11.38
"2024-07-04T05:00:00Z",42.666,42.666,NA,74.267,74.267,NA,1010.392,1010.392,NA,15.1415,14.843,15.44
"2024-07-04T06:00:00Z",47.767,47.767,NA,70.767,70.767,NA,1010.534,1010.534,NA,12.0525,11.735,12.37
"2024-07-04T07:00:00Z",51,51,NA,68,68,NA,1010.811,1010.811,NA,10.6295,10.214,11.045
"2024-07-04T08:00:00Z",52.733,52.733,NA,66.2,66.2,NA,1011.04,1011.04,NA,16.4365,16.093,16.78
"2024-07-04T09:00:00Z",55.166,55.166,NA,63.966,63.966,NA,1011.112,1011.112,NA,16.4035,16.233,16.574
"2024-07-04T10:00:00Z",57.833,57.833,NA,62.034,62.034,NA,1011.279,1011.279,NA,14.7565,14.422,15.091
"2024-07-04T11:00:00Z",59.966,59.966,NA,60.267,60.267,NA,1011.181,1011.181,NA,15.7285,15.244,16.213
"2024-07-04T12:00:00Z",61.233,61.233,NA,59.334,59.334,NA,1011.588,1011.588,NA,19.852,19.37,20.334
"2024-07-04T13:00:00Z",60.733,60.733,NA,61.066,61.066,NA,1011.87,1011.87,NA,17.0635,16.735,17.392
"2024-07-04T14:00:00Z",55.567,55.567,NA,66.4,66.4,NA,1011.818,1011.818,NA,17.3235,17.047,17.6
"2024-07-04T15:00:00Z",48.733,48.733,NA,71.8,71.8,NA,1011.779,1011.779,NA,7.2555,6.493,8.018
"2024-07-04T16:00:00Z",42.4,42.4,NA,76.133,76.133,NA,1011.602,1011.602,NA,6.299,5.447,7.151
"2024-07-04T17:00:00Z",38.067,38.067,NA,80.166,80.166,NA,1011.391,1011.391,NA,5.7725,4.756,6.789
"2024-07-04T18:00:00Z",33.2,33.2,NA,83.567,83.567,NA,1011.102,1011.102,NA,5.1195,4.131,6.108
"2024-07-04T19:00:00Z",29.566,29.566,NA,87,87,NA,1010.787,1010.787,NA,4.691,3.661,5.721
"2024-07-04T20:00:00Z",27.433,27.433,NA,90.1,90.1,NA,1010.457,1010.457,NA,4.723,3.708,5.738
"2024-07-04T21:00:00Z",24.267,24.267,NA,93.467,93.467,NA,1010.023,1010.023,NA,5.371,4.514,6.228
"2024-07-04T22:00:00Z",21.166,21.166,NA,96.7,96.7,NA,1009.496,1009.496,NA,3.668,2.76,4.576
"2024-07-04T23:00:00Z",20.867,20.867,NA,98.367,98.367,NA,1009.053,1009.053,NA,4.396,3.635,5.157
"2024-07-03T00:00:00Z",31.834,31.834,NA,83.767,83.767,NA,1010.691,1010.691,NA,0.0845,0.033,0.136
"2024-07-03T01:00:00Z",33.6,33.6,NA,81.333,81.333,NA,1010.482,1010.482,NA,0.105,0.097,0.113
"2024-07-03T02:00:00Z",37.566,37.566,NA,78.166,78.166,NA,1010.477,1010.477,NA,0.1185,0.116,0.121
"2024-07-03T03:00:00Z",40.367,40.367,NA,74.933,74.933,NA,1010.669,1010.669,NA,0.1635,0.204,0.123
"2024-07-03T04:00:00Z",43.733,43.733,NA,71.367,71.367,NA,1010.936,1010.936,NA,0.9,0.935,0.865
"2024-07-03T05:00:00Z",47.567,47.567,NA,67.767,67.767,NA,1011.246,1011.246,NA,0.031,0.021,0.041
"2024-07-03T06:00:00Z",50.1,50.1,NA,65.767,65.767,NA,1011.666,1011.666,NA,0.0375,0.019,0.056
"2024-07-03T07:00:00Z",51.934,51.934,NA,64.467,64.467,NA,1012.285,1012.285,NA,0.0415,0.034,0.049
"2024-07-03T08:00:00Z",52.8,52.8,NA,64.334,64.334,NA,1012.822,1012.822,NA,0.1575,0.096,0.219
"2024-07-03T09:00:00Z",52.034,52.034,NA,65,65,NA,1012.904,1012.904,NA,0.2515,0.245,0.258
"2024-07-03T10:00:00Z",52.633,52.633,NA,64.233,64.233,NA,1012.974,1012.974,NA,0.0885,0.072,0.105
"2024-07-03T11:00:00Z",53.2,53.2,NA,63.834,63.834,NA,1012.972,1012.972,NA,0.2585,0.215,0.302
"2024-07-03T12:00:00Z",54.5,54.5,NA,62.767,62.767,NA,1013.354,1013.354,NA,0.95,0.867,1.033
"2024-07-03T13:00:00Z",53.8,53.8,NA,63.8,63.8,NA,1013.576,1013.576,NA,0.4835,0.387,0.58
"2024-07-03T14:00:00Z",52.167,52.167,NA,65.367,65.367,NA,1013.766,1013.766,NA,0.2545,0.307,0.202
"2024-07-03T15:00:00Z",50.933,50.933,NA,66.2,66.2,NA,1013.936,1013.936,NA,0.3325,0.303,0.362
"2024-07-03T16:00:00Z",48.867,48.867,NA,68.4,68.4,NA,1013.99,1013.99,NA,0.7145,0.776,0.653
"2024-07-03T17:00:00Z",46.267,46.267,NA,70.434,70.434,NA,1014.154,1014.154,NA,1.169,1.155,1.183
"2024-07-03T18:00:00Z",43.267,43.267,NA,73.433,73.433,NA,1013.926,1013.926,NA,1.668,1.672,1.664
"2024-07-03T19:00:00Z",40.067,40.067,NA,76.733,76.733,NA,1013.544,1013.544,NA,2.2635,2.341,2.186
"2024-07-03T20:00:00Z",36.066,36.066,NA,81.2,81.2,NA,1013.116,1013.116,NA,3.0845,2.997,3.172
"2024-07-03T21:00:00Z",29.5,29.5,NA,89.733,89.733,NA,1012.663,1012.663,NA,1.5745,1.615,1.534
"2024-07-03T22:00:00Z",26.566,26.566,NA,90.733,90.733,NA,1012.427,1012.427,NA,0.8045,0.824,0.785
"2024-07-03T23:00:00Z",24.333,24.333,NA,91.567,91.567,NA,1012.043,1012.043,NA,0.2045,0.19,0.219
"2024-07-04T00:00:00Z",22.066,22.066,NA,92.966,92.966,NA,1011.762,1011.762,NA,0.0065,0,0.013
"2024-07-04T01:00:00Z",25,25,NA,89.433,89.433,NA,1011.353,1011.353,NA,0.118,0.1,0.136
"2024-07-04T02:00:00Z",30.533,30.533,NA,85.667,85.667,NA,1011.169,1011.169,NA,0.6045,0.488,0.721
"2024-07-04T03:00:00Z",31.567,31.567,NA,83.166,83.166,NA,1011.066,1011.066,NA,1.055,0.883,1.227
"2024-07-04T04:00:00Z",35.534,35.534,NA,80.067,80.067,NA,1011.33,1011.33,NA,4.407,4.395,4.419
"2024-07-04T05:00:00Z",38.867,38.867,NA,77.8,77.8,NA,1011.561,1011.561,NA,4.286,4.141,4.431
"2024-07-04T06:00:00Z",39.6,39.6,NA,76.233,76.233,NA,1011.653,1011.653,NA,1.163,1.047,1.279
"2024-07-04T07:00:00Z",40.466,40.466,NA,74.967,74.967,NA,1011.914,1011.914,NA,0.959,0.752,1.166
"2024-07-04T08:00:00Z",42.066,42.066,NA,73.7,73.7,NA,1012.096,1012.096,NA,1.7235,1.623,1.824
"2024-07-04T09:00:00Z",44.5,44.5,NA,72.233,72.233,NA,1012.187,1012.187,NA,2.059,1.81,2.308
"2024-07-04T10:00:00Z",47.167,47.167,NA,70.7,70.7,NA,1012.313,1012.313,NA,4.1335,4.063,4.204
"2024-07-04T11:00:00Z",49.633,49.633,NA,69.6,69.6,NA,1012.296,1012.296,NA,5.297,5.187,5.407
"2024-07-04T12:00:00Z",51.334,51.334,NA,68.966,68.966,NA,1012.592,1012.592,NA,5.408,5.279,5.537
"2024-07-04T13:00:00Z",51.666,51.666,NA,69.333,69.333,NA,1012.786,1012.786,NA,6.659,6.413,6.905
"2024-07-04T14:00:00Z",49.267,49.267,NA,71.167,71.167,NA,1012.809,1012.809,NA,5.0735,4.889,5.258
"2024-07-04T15:00:00Z",46.166,46.166,NA,73.233,73.233,NA,1012.836,1012.836,NA,3.227,3.091,3.363
"2024-07-04T16:00:00Z",42.9,42.9,NA,75.8,75.8,NA,1012.76,1012.76,NA,1.905,1.857,1.953
"2024-07-04T17:00:00Z",39.233,39.233,NA,78.567,78.567,NA,1012.567,1012.567,NA,3.5725,3.703,3.442
"2024-07-04T18:00:00Z",34.767,34.767,NA,81.867,81.867,NA,1012.286,1012.286,NA,0.2785,0.312,0.245
"2024-07-04T19:00:00Z",31.534,31.534,NA,85.133,85.133,NA,1011.986,1011.986,NA,0.3635,0.359,0.368
"2024-07-04T20:00:00Z",27.233,27.233,NA,89.834,89.834,NA,1011.667,1011.667,NA,0.154,0.119,0.189
"2024-07-04T21:00:00Z",22.066,22.066,NA,96.233,96.233,NA,1011.249,1011.249,NA,0.0015,0,0.003
"2024-07-04T22:00:00Z",20.834,20.834,NA,99.433,99.433,NA,1010.767,1010.767,NA,0.059,0.06,0.058
