WptNo,Hobo_SN,Pole_No,Location,Install_Date,Install_Time,Data_collection_StartDate,Data_collection_StartTime,LoggingInterval,Shield?,Winter2021Notes,Spring2022DownloadDate,Summer2022DownloadDate,Fall2022Download Date,ReplacementHobo_SN,Winter2023DownloadDate,Spring2023DownloadRelaunchDate,Spring2023LoggingInterval,Data_collection_EndDate,Data_collection_EndTime,Logger Removed Date,Notes
9,21223130,11049   50/3,Fife @ 51st,1/20/2022,11:11:00,1/11/2022,14:00:00,1 hour,Yes,,29-Mar-22,6/30/2022,10/5/2022,,12/15/2022,NA,NA,4/28/2023,15:00:00,,
9,BT21616949,11049   50/3,Fife @ 51st,4/28/2023,15:00:00,5/5/2023,15:00:00,1 min,Yes,,NA,NA,NA,,NA,NA,1 min,,,,
10,21162230,TP24409,Pine at 48th,1/20/2022,9:40:00,1/11/2022,14:00:00,1 hour,No,,29-Mar-22,6/30/2022,10/5/2022,,12/15/2022,NA,NA,4/28/2023,13:34:00,,
10,21223120,TP24409,Pine at 48th,1/20/2022,9:40:00,1/11/2022,14:00:00,1 hour,Yes,,29-Mar-22,6/30/2022,10/5/2022,,12/15/2022,NA,NA,4/28/2023,13:34:00,,
10,BT21302942,TP24409,Pine at 48th,4/28/2023,13:34:00 PM,4/28/2023,14:00:00,1 min,Yes,,NA,NA,NA,,NA,NA,1 min,,,,
12,21223139,TP34225,Pine between 49th and 50th,1/20/2022,10:30:00,1/20/2022,14:00:00,1 hour,Yes,,29-Mar-22,,10/5/2022,,12/15/2022,NA,NA,4/28/2023,,,
12,BT21302958,TP34225,Pine between 49th and 50th,4/28/2023,13:42:00,4/28/2023,14:00:00,1 min,Yes,,NA,NA,NA,,NA,NA,1 min,,,,
13,21223115,TP34216,Pine @ 50th,1/20/2022,10:30:00,1/20/2022,14:00:00,1 hour,Yes,,29-Mar-22,,10/5/2022,,12/15/2022,NA,NA,before 5/5/2023,13:37:00,,
13,BT21616951,TP34216,Pine @ 50th,5/5/2023,13:37:00,5/5/2023,14:00:00,1 min,Yes,,NA,NA,NA,,NA,NA,1 min,,,,
15,21223134,No Num,Pine @ 51,1/20/2022,10:30:00,1/20/2022,14:00:00,1 hour,Yes,,29-Mar-22,,10/5/2022,,12/15/2022,NA,NA,5/5/2023,14:00:00,,
15,BT21616926,No Num,Pine @ 51,4/28/2023,14:00:00,4/28/2023,14:00:00,1 min,Yes,,NA,NA,NA,,NA,NA,1 min,,,,
16,21223123,TP20171,"Junett Street, outside Mortuary",1/20/2022,9:00:00,?,14:00:00,1 hour,Yes,,8-Apr-22,,10/5/2022,,12/15/2022,NA,NA,4/28/2023,14:00:00,,
16,21162234,TP20171,"Junett Street, outside Mortuary",1/20/2022,9:00:00,?,14:00:00,1 hour,No,,8-Apr-22,,10/5/2022,,12/15/2022,NA,NA,4/28/2023,14:00:00,,
16,BT21616944,TP20171,"Junett Street, outside Mortuary",4/28/2023,14:00:00,4/28/2023,14:00:00,1 min,Yes,,NA,NA,NA,,NA,NA,1 min,,,,
17,21223109,TP15041,Park at warner,12/16/2021,11:00:00,12/16/2021,14:00:00,1 hr(collected 1 min data for 15 min)for both pilot and regular),Yes,Downloaded and relaunched old logger,8-Apr-22,6/29/2022,9/29/2022,,12/15/2022,NA,NA,3/31/2023,9:30:00,,
17,21162233,TP15041,Park at warner,12/16/2021,11:00:00,12/16/2021,14:00:00,1 hr(collected 1 min data for 15 min)for both pilot and regular),No,Downloaded and relaunched old logger,8-Apr-22,6/29/2022,9/29/2022,,12/15/2022,NA,NA,3/31/2023,9:30:00,,
17,21119848,TP15041,Park at warner,,,,,1 hr,No,,,,,,,NA,NA,3/31/2023,9:30:00,,
17,BT21616938,TP15041,Park at warner,3/31/2023,9:30:00,3/31/2023,10:00:00,1 min,Yes,,,,,,NA,NA,1 min,,,,
18,21223106,TPU927,47th at S Tacoma Way,1/11/2022,11:10:00,1/11/2022,14:00:00,1 hr(collected 1 min data for 15 min),Yes,Downloaded and relaunched old logger,,6/29/2022,9/29/2022,,1/6/2023,NA,NA,3/31/2023,10:00:00,,
18,21119941,TPU927,47th at S Tacoma Way,1/11/2022,11:10:00,1/11/2022,14:00:00,1 hr(collected 1 min data for 15 min),No,"Downloaded and relaunched old logger, stolen on 3/31/2023 visit",,6/29/2022,9/29/2022,,1/6/2023,NA,NA,3/31/2023,10:00:00,,
18,BT21616946,TPU927,47th at S Tacoma Way,3/31/2023,9:47:00,3/31/2023,10:00:00,1 min,Yes,,NA,NA,NA,,NA,NA,1 min,,,,
19,21223122,TP21035,South Puget sound ave; north of tp21036,1/11/2022,12:15:00,1/11/2022,14:00:00,1 hour,Yes,,8-Mar-22,,9/29/2022,,12/15/2022,NA,NA,5/5/2023,9:30:00,,
19,B!21616946,TP21035,South Puget sound ave; north of tp21036,5/5/2023,10:33:00,5/5/2023,11:00:00,1 min,Yes,,NA,NA,NA,,NA,NA,1 min,,,,
20,21223108,TP5817,South Puget sound ave; just north of 45 ,1/11/2022,12:39:00,1/11/2022,14:00:00,1 hour,Yes,,8-Mar-22,,9/29/2022,,12/15/2022,NA,NA,5/5/2023,11:07:00,,
20,BT21616937,TP5817,South Puget sound ave; just north of 45 ,5/5/2023,11:07:00,5/5/2023,12:00:00,1 min,Yes,,NA,NA,NA,,NA,NA,1 min,,,,
21,21223137,TP10073,South Puget sound ave;  north of 43 ,1/11/2022,12:45:00,1/11/2022,14:00:00,1 hour,Yes,,8-Mar-22,,9/29/2022,,12/15/2022,NA,NA,5/5/2023,10:47:00,,
21,BT2161693,TP10073,South Puget sound ave;  north of 43 ,5/5/2023,10:47:00,5/5/2023,11:00:00,1 min,Yes,,NA,NA,NA,,NA,NA,1 min,,,,
22,21223113,TP9241,South Puget sound ave;  north of 43 and north of tp10073 ,1/11/2022,13:00:00,1/11/2022,14:00:00,1 hour,Yes,,8-Mar-22,,9/29/2022,,12/15/2022,NA,NA,3/31/2022,11:00:00,,
22,BT21616947,TP9241,South Puget sound ave;  north of 43 and north of tp10073 ,3/31/2023,12:00:00,3/31/2023,14:00:00,1 min,Yes,,NA,NA,NA,,NA,NA,1 min,,,,
23,21223121,TP23269,45th east of warner,1/11/2022,13:20:00,1/11/2022,14:00:00,1 hour,Yes,,8-Mar-22,,9/29/2022,,1/6/2023,NA,NA,3/31/2022,11:00:00,,
23,BT21616962,TP23269,45th east of warner,3/31/2023,11:15:00,3/31/2023,12:00:00,1 min,Yes,,NA,NA,NA,,NA,NA,1 min,,,,
24,21223112,TP24408,45th west of lawrence,1/11/2022,13:40:00,1/11/2022,14:00:00,1 hour,Yes,,8-Mar-22,,9/29/2022,,1/6/2023,NA,NA,3/31/2022,11:00:00,,
24,BT21616952,TP24408,45th west of lawrence,3/31/2023,15:00:00 PM,3/31/2023,15:00:00,1 min,Yes,,NA,NA,NA,,NA,NA,1 min,,,,
25,21223119,TP9179,45th between Alder and Cedar,1/13/2022,11:45:00,1/13/2022,14:00:00,1 hour,Yes,south side of 45th,8-Mar-22,,9/29/2022,,1/6/2023,NA,NA,4/28/2023,11:00:00,,
25,BT21302954,TP9179,45th between Alder and Cedar,4/28/2023,12:00:00,4/28/2023,12:00:00,1 min,Yes,south side of 45th,NA,NA,NA,,NA,NA,1 min,,,,
