WptNo,Hobo_SN,Pole_No,Location,Install_Date,Install_Time,Data_collection_StartDate,Data_collection_StartTime,LoggingInterval,Shield?,Winter2021Notes,Spring2022DownloadDate,Summer2022DownloadDate,Fall2022Download Date,ReplacementHobo_SN,Winter2023DownloadDate,Spring2023DownloadRelaunchDate,Spring2023LoggingInterval,Fall2023DownloadRelaunchDate,Fall2023LoggingInterval,Data_collection_EndDate,Data_collection_EndTime,Logger Removed Date,Notes
58,BT21302947,TP21898?/A1353781,"California & Lewis Place, near Lincoln Park",10/25/2023,9:55:00 AM,10/25/2023,10:00:00,1 hour,Yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
59,BT21302944,TP21897/A1353217,near playground next to big road,6/8/2022,10am-12:30pm,6/8/2022,13:00:00,1 hour,Yes,,NA,NA,10/5/2022,,1/6/2023,4/28/2023,1 min,10/25/2023,unresponsive,10/25/2023,9:45:00,removed,
59,BT21302969,TP21897/A1353217,near playground next to big road,10/25/2023,9:45:00 AM,10/25/2023,10:00:00,1 hour,Yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
60,BT21302971,TP25239/A1353202,36th & Pine,6/8/2022,10am-12:30pm,6/8/2022,13:00:00,1 hour,Yes,,NA,NA,10/5/2022,,1/6/2023,4/28/2023,1 min,10/25/2023,unresponsive,10/25/2023,10:18:00,removed,
60,BT21302980,TP25239/A1353202,36th & Pine,10/25/2023,10:18:00 AM,10/25/2023,11:00:00,1 hour,Yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
61,BT21302979,TP23810,35th & Pine,6/8/2022,10am-12:30pm,6/8/2022,13:00:00,1 hour,Yes,,NA,NA,10/5/2022,,1/6/2023,4/28/2023,1 min,10/25/2023,unresponsive,10/25/2023,10:42:00,removed,
61,BT21616929,TP23810,35th & Pine,10/25/2023,10:42:00 AM,10/25/2023,11:00:00,1 hour,Yes,,NA,NA,NA,NA,NA,NA,NA,,,,,,
62,BT21302962,TP6319,38th & Pine (Taco Time),6/8/2022,10am-12:30pm,6/8/2022,13:00:00,1 hour,Yes,,NA,6/29/2022,10/5/2022,,NA,NA,NA,NA,NA,missing on 1/6/2023,,,
62,9784301,TP6319,38th & Pine (Taco Time),1/6/2023,14:15:00,1/6/2023,13:00:00,1 hour,Yes,,NA,NA,NA,,NA,NA,NA,NA,NA,missing on 4/28/2023,,,
62,BT21302945,TP6319,38th & Pine (Taco Time),4/28/2023,,4/28/2023,,1 min,Yes,,NA,NA,NA,,NA,NA,1 min,10/16/2023,1 hour,,,,
63,BT21302960,TP25887,"40/38th & Pine, Pacific Southern",6/8/2022,10am-12:30pm,6/8/2022,13:00:00,1 hour,Yes,,NA,6/29/2022,10/5/2022,,1/6/2023,4/28/2023,1 min,,,,,,
63,BT21302943,TP25887,"40/38th & Pine, Pacific Southern",10/16/2023,11:43:00,10/16/2023,12:00:00,1 hour,Yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
